date lat lon z km_lat km_lon
2007-01-01 23.4730484612 120.45276259119998 0.07894539 -1286.986931329872 -1504.0958158361311
2007-01-02 23.4730484388 120.45276259190001 0.07895197 -1286.9869338206386 -1504.0958157724056
2007-01-03 23.4730484493 120.45276258360002 0.0789637 -1286.986932653092 -1504.0958165279785
2007-01-04 23.4730484437 120.45276258360002 0.0789479 -1286.9869332757833 -1504.0958165279785
2007-01-05 23.473048441 120.4527626062 0.07894741000000001 -1286.9869335760097 -1504.0958144706353
2007-01-06 23.4730484604 120.45276259809998 0.07894388 -1286.9869314188281 -1504.095815208004
2007-01-07 23.4730484379 120.45276260510002 0.07894599 -1286.986933920714 -1504.0958145707696
2007-01-08 23.4730484462 120.45276260930001 0.07894703 -1286.9869329977962 -1504.0958141884319
2007-01-09 23.4730484595 120.45276261059996 0.07894804000000001 -1286.9869315189037 -1504.0958140700934
2007-01-10 23.4730484667 120.45276260269998 0.07894831999999999 -1286.9869307183 -1504.0958147892525
2007-01-11 23.4730484452 120.45276258130002 0.07894856 -1286.986933108991 -1504.0958167373542
2007-01-12 23.4730484377 120.45276259629998 0.07894424 -1286.9869339429529 -1504.0958153718636
2007-01-13 23.4730484567 120.45276259269997 0.07894645 -1286.9869318302494 -1504.095815699583
2007-01-14 23.4730484448 120.45276259139996 0.07894976 -1286.986933153469 -1504.0958158179267
2007-01-15 23.4730484422 120.4527625924 0.07894902000000001 -1286.986933442576 -1504.0958157268897
2007-01-16 23.4730484371 120.45276259510001 0.07895171999999999 -1286.9869340096698 -1504.0958154811
2007-01-17 23.4730484305 120.45276262239997 0.07895685000000001 -1286.9869347435565 -1504.095812995903
2007-01-18 23.4730484461 120.45276258800004 0.07895451 -1286.9869330089155 -1504.0958161274316
2007-01-19 23.4730484372 120.4527626053 0.07894588 -1286.9869339985505 -1504.0958145525651
2007-01-20 23.4730484329 120.45276260770004 0.07893925 -1286.9869344766885 -1504.0958143340822
2007-01-21 23.4730484448 120.45276260770004 0.07894752 -1286.986933153469 -1504.0958143340822
2007-01-22 23.4730484454 120.45276260119999 0.07894673 -1286.986933086752 -1504.0958149258006
2007-01-23 23.4730484302 120.45276262749996 0.07895093 -1286.9869347769152 -1504.0958125316358
2007-01-24 23.4730484442 120.4527626117 0.07894983000000001 -1286.986933220186 -1504.095813969954
2007-01-25 23.473048441 120.45276260820003 0.07895153 -1286.9869335760097 -1504.095814288566
2007-01-26 23.4730484274 120.45276262179999 0.07894263 -1286.986935088261 -1504.0958130505214
2007-01-27 23.4730484246 120.45276263339997 0.07894574 -1286.9869353996064 -1504.0958119945406
2007-01-28 23.4730484211 120.45276262639999 0.07894597 -1286.9869357887887 -1504.09581263177
2007-01-29 23.4730484305 120.45276262869999 0.07894815 -1286.9869347435565 -1504.0958124223941
2007-01-30 23.4730484567 120.45276261309999 0.07894906 -1286.9869318302494 -1504.0958138425083
2007-01-31 23.473048433 120.45276261250001 0.07895123 -1286.9869344655692 -1504.0958138971264
2007-02-01 23.4730484395 120.45276263580001 0.07894918 -1286.986933742802 -1504.0958117760576
2007-02-02 23.4730484281 120.4527626405 0.07895066 -1286.9869350104243 -1504.095811348204
2007-02-03 23.4730484284 120.4527626464 0.07894902999999999 -1286.986934977066 -1504.095810811109
2007-02-04 23.4730484096 120.45276263330004 0.07894854 -1286.9869370675303 -1504.0958120036375
2007-02-05 23.4730484228 120.4527626418 0.07895166999999999 -1286.9869355997573 -1504.0958112298604
