date lat lon z km_lat km_lon
2007-01-01 24.1707806216 120.89488164279999 0.5638046000000001 -1209.402654936645 -1463.8484010983182
2007-01-02 24.1707806023 120.89488164779999 0.5638126099999999 -1209.402657082707 -1463.848400643153
2007-01-03 24.1707806163 120.89488162689997 0.56380937 -1209.402655525978 -1463.848402545744
2007-01-04 24.1707806057 120.89488164880004 0.56380909 -1209.4026567046442 -1463.848400552116
2007-01-05 24.1707806045 120.89488165609998 0.56380454 -1209.402656838078 -1463.84839988758
2007-01-06 24.1707806168 120.89488165199998 0.5638019000000001 -1209.4026554703805 -1463.8484002608154
2007-01-07 24.1707805978 120.8948816738 0.56380194 -1209.402657583084 -1463.8483982762946
2007-01-08 24.1707806041 120.89488166059999 0.56380633 -1209.4026568825561 -1463.8483994779308
2007-01-09 24.1707806172 120.89488165490002 0.5638005500000001 -1209.4026554259026 -1463.8483999968164
2007-01-10 24.1707806298 120.8948816665 0.5638026700000001 -1209.4026540248465 -1463.8483989408358
2007-01-11 24.1707806184 120.89488163300001 0.56379406 -1209.4026552924686 -1463.8484019904392
2007-01-12 24.170780612 120.89488166210003 0.56380417 -1209.402656004116 -1463.8483993413774
2007-01-13 24.1707806191 120.89488165290004 0.5638026700000001 -1209.402655214632 -1463.8484001788804
2007-01-14 24.170780619 120.89488165860001 0.5637995 -1209.4026552257517 -1463.8483996599948
2007-01-15 24.170780618 120.8948816587 0.56380468 -1209.4026553369467 -1463.8483996508926
2007-01-16 24.1707806152 120.89488167089996 0.5638021599999999 -1209.402655648292 -1463.8483985402938
2007-01-17 24.1707806303 120.894881683 0.56379 -1209.4026539692488 -1463.8483974387918
2007-01-18 24.1707806297 120.89488166320001 0.56379782 -1209.4026540359657 -1463.8483992412434
2007-01-19 24.1707806428 120.89488167210004 0.56379633 -1209.4026525793122 -1463.8483984310471
2007-01-20 24.1707806293 120.89488165490002 0.56379974 -1209.4026540804437 -1463.8483999968164
2007-01-21 24.1707806256 120.89488166590002 0.56380205 -1209.4026544918652 -1463.8483989954539
2007-01-22 24.1707806195 120.89488166859996 0.56380478 -1209.402655170154 -1463.8483987496695
2007-01-23 24.1707806187 120.89488168650001 0.56381142 -1209.40265525911 -1463.8483971201747
2007-01-24 24.1707806292 120.89488168150001 0.56379817 -1209.4026540915634 -1463.84839757534
2007-01-25 24.1707806287 120.89488166820001 0.5638042799999999 -1209.4026541471605 -1463.8483987860782
2007-01-26 24.1707806149 120.89488169330002 0.56379556 -1209.4026556816507 -1463.8483965011496
2007-01-27 24.170780635 120.8948817104 0.56379935 -1209.4026534466327 -1463.8483949444876
2007-01-28 24.1707806021 120.8948816861 0.56380218 -1209.402657104946 -1463.8483971565884
2007-01-29 24.1707806129 120.89488169399999 0.56380144 -1209.4026559040406 -1463.8483964374293
2007-01-30 24.1707806334 120.89488168549997 0.56380247 -1209.4026536245447 -1463.8483972112117
2007-01-31 24.1707805998 120.89488167909997 0.56380507 -1209.402657360694 -1463.8483977938229
2007-02-01 24.1707806199 120.89488167859997 0.56380551 -1209.4026551256761 -1463.848397839339
2007-02-02 24.1707806136 120.89488170959999 0.56380742 -1209.402655826204 -1463.8483950173154
2007-02-03 24.1707806231 120.89488170620001 0.56381324 -1209.4026547698522 -1463.8483953268253
2007-02-04 24.1707805965 120.89488169430001 0.5638060699999999 -1209.4026577276375 -1463.8483964101176
2007-02-05 24.1707806115 120.89488171170001 0.56380291 -1209.4026560597135 -1463.848394826144
