date lat lon z km_lat km_lon
2007-01-01 24.8277531041 121.01426099310004 0.04885535 -1136.3506479375635 -1452.980943101951
2007-01-02 24.8277530917 121.01426100840001 0.04885563 -1136.3506493163807 -1452.9809417091487
2007-01-03 24.8277531039 121.01426099690002 0.04886961 -1136.3506479598025 -1452.9809427560272
2007-01-04 24.8277531037 121.01426099410003 0.04885488 -1136.3506479820414 -1452.980943010919
2007-01-05 24.8277530959 121.01426102030001 0.048852089999999994 -1136.350648849362 -1452.9809406258562
2007-01-06 24.8277531235 121.01426101560003 0.04885235 -1136.3506457803821 -1452.9809410537098
2007-01-07 24.8277530931 121.01426101999999 0.04885324 -1136.3506491607077 -1452.9809406531679
2007-01-08 24.8277530972 121.01426102440001 0.04885731 -1136.3506487048087 -1452.980940252621
2007-01-09 24.8277531063 121.01426103450001 0.048856569999999995 -1136.3506476929347 -1452.9809393331882
2007-01-10 24.8277531148 121.01426100890001 0.04886061 -1136.3506467477778 -1452.9809416636326
2007-01-11 24.8277530935 121.0142609856 0.0488546 -1136.3506491162298 -1452.9809437847014
2007-01-12 24.8277530876 121.01426101710001 0.04885401 -1136.3506497722797 -1452.980940917162
2007-01-13 24.8277531114 121.01426101660002 0.04885555 -1136.3506471258406 -1452.9809409626778
2007-01-14 24.8277531007 121.01426100520001 0.04885604 -1136.3506483156264 -1452.9809420004542
2007-01-15 24.827753096 121.01426102020002 0.04885733 -1136.3506488382427 -1452.9809406349584
2007-01-16 24.8277531013 121.0142610163 0.04885569 -1136.3506482489092 -1452.9809409899894
2007-01-17 24.8277531043 121.01426102239998 0.048856329999999996 -1136.3506479153245 -1452.98094043469
2007-01-18 24.8277531182 121.01426101380002 0.04885927 -1136.3506463697152 -1452.9809412175696
2007-01-19 24.8277530988 121.01426102469998 0.04885819 -1136.3506485268967 -1452.9809402253143
2007-01-20 24.8277531053 121.01426100980001 0.04885153 -1136.3506478041295 -1452.9809415817028
2007-01-21 24.8277531111 121.0142610346 0.04885713 -1136.3506471591988 -1452.980939324086
2007-01-22 24.8277531115 121.0142610208 0.048856229999999994 -1136.350647114721 -1452.9809405803403
2007-01-23 24.8277530964 121.01426104590001 0.04886073 -1136.3506487937648 -1452.9809382954118
2007-01-24 24.8277531013 121.01426103770001 0.048856540000000004 -1136.3506482489092 -1452.9809390418825
2007-01-25 24.8277531 121.01426102900001 0.04885573 -1136.350648393463 -1452.9809398338693
2007-01-26 24.8277530834 121.01426102890002 0.048857500000000005 -1136.3506502392984 -1452.9809398429716
2007-01-27 24.827753105 121.01426104309996 0.04885396 -1136.3506478374882 -1452.9809385503086
2007-01-28 24.8277530738 121.01426105940004 0.048857109999999995 -1136.3506513067698 -1452.980937066464
2007-01-29 24.8277530833 121.01426104259997 0.048858780000000004 -1136.350650250418 -1452.9809385958247
2007-01-30 24.8277531074 121.01426103099999 0.04886173 -1136.3506475706204 -1452.9809396518053
2007-01-31 24.8277530731 121.01426103200004 0.048858040000000005 -1136.3506513846064 -1452.9809395607683
2007-02-01 24.8277531031 121.0142610474 0.048859879999999994 -1136.3506480487583 -1452.9809381588639
2007-02-02 24.8277530874 121.01426106129998 0.04885854 -1136.3506497945186 -1452.9809368935073
2007-02-03 24.8277530864 121.0142610597 0.04886044 -1136.3506499057137 -1452.9809370391574
2007-02-04 24.8277530698 121.01426104040002 0.04886638 -1136.3506517515495 -1452.9809387960931
2007-02-05 24.8277530807 121.01426107559996 0.04886251 -1136.3506505395248 -1452.980935591737
2007-02-06 24.8277530924 121.0142610492 0.04885437 -1136.3506492385445 -1452.980937995004
2007-02-07 24.827753087 121.01426105690001 0.04885351 -1136.3506498389966 -1452.9809372940492
2007-02-08 24.827753073 121.01426105050001 0.04885803 -1136.3506513957257 -1452.9809378766604
2007-02-09 24.8277530983 121.01426107470002 0.04885723 -1136.3506485824942 -1452.9809356736616
2007-02-10 24.8277530977 121.01426104839999 0.04885817 -1136.350648649211 -1452.9809380678316
2007-02-11 24.8277530775 121.0142610616 0.04886395 -1136.3506508953487 -1452.9809368661956
2007-02-12 24.8277530826 121.01426107700001 0.04885951 -1136.3506503282545 -1452.980935464286
2007-02-13 24.8277531069 121.0142610872 0.048854329999999994 -1136.3506476262176 -1452.9809345357512
2007-02-14 24.8277530972 121.01426105669998 0.04885825 -1136.3506487048087 -1452.9809373122587
2007-02-15 24.8277531055 121.01426106010001 0.04886282 -1136.3506477818905 -1452.9809370027438
2007-02-16 24.8277530917 121.01426106179997 0.048866019999999996 -1136.3506493163807 -1452.9809368479914
2007-02-17 24.8277530788 121.01426107489999 0.04885123 -1136.3506507507952 -1452.9809356554574
2007-02-18 24.8277530995 121.01426104159998 0.04886595 -1136.3506484490601 -1452.9809386868567
2007-02-19 24.8277531038 121.01426108019996 0.04886078 -1136.3506479709222 -1452.9809351729857
