date lat lon z km_lat km_lon
1997-01-01 31.4253120739 130.87857291 0.13446179 -402.7355622575022 -555.0032346411729
1997-01-02 31.4253119573 130.8785728986 0.13448493 -402.73557522283056 -555.0032356789493
1997-01-03 31.4253119901 130.8785730144 0.13451239 -402.73557157563704 -555.0032251373309
1997-01-04 31.4253119796 130.87857297289997 0.13449852999999998 -402.7355727431837 -555.003228915201
1997-01-05 31.4253120211 130.8785729438 0.1344653 -402.735568128594 -555.0032315642576
1997-01-06 31.425311952 130.87857294909998 0.13450554 -402.7355758121635 -555.0032310817859
1997-01-07 31.4253119989 130.8785729865 0.13449312 -402.7355705971216 -555.0032276771511
1997-01-08 31.4253120089 130.87857304830004 0.13448674 -402.7355694851722 -555.0032220513083
1997-01-09 31.4253120017 130.8785729823 0.13450624 -402.7355702857758 -555.0032280594887
1997-01-10 31.4253119798 130.8785729856 0.13450097 -402.7355727209447 -555.003227759081
1997-01-11 31.4253119867 130.87857299710004 0.13451365999999998 -402.73557195369983 -555.0032267121973
1997-01-12 31.4253120005 130.8785730051 0.13449408 -402.7355704192097 -555.003225983936
1997-01-13 31.4253119821 130.8785730331 0.13451442 -402.7355724651965 -555.0032234350136
1997-01-14 31.4253119824 130.8785729932 0.13450279 -402.73557243183785 -555.0032270672283
1997-01-15 31.4253119768 130.87857302129999 0.1345077 -402.7355730545295 -555.0032245092038
1997-01-16 31.4253119545 130.87857292770002 0.13452061 -402.73557553417635 -555.0032330298876
1997-01-17 31.425311972 130.8785730252 0.13450701 -402.7355735882652 -555.0032241541727
1997-01-18 31.4253119831 130.8785730499 0.1345124 -402.7355723540016 -555.0032219056582
1997-01-19 31.4253119418 130.8785730391 0.13451002 -402.73557694635184 -555.0032228888164
1997-01-20 31.4253119753 130.87857297439996 0.13449351999999998 -402.7355732213217 -555.003228778653
1997-01-21 31.4253120021 130.87857295879996 0.1344928 -402.7355702412978 -555.003230198767
1997-01-22 31.4253119854 130.87857302730004 0.13451359999999998 -402.73557209825304 -555.0032239630013
1997-01-23 31.4253119762 130.87857297439996 0.13451205 -402.73557312124643 -555.003228778653
1997-01-24 31.4253118558 130.8785730865 0.13452832 -402.73558650911554 -555.0032185738511
1997-01-25 31.425311963 130.8785730588 0.13452357 -402.7355745890196 -555.003221095467
1997-01-26 31.4253119572 130.8785729878 0.13453214 -402.7355752339498 -555.0032275588075
1997-01-27 31.4253120461 130.87857295460003 0.13449095 -402.735565348721 -555.0032305810994
1997-01-28 31.4253120202 130.87857293349998 0.13449139 -402.73556822866965 -555.0032325018998
1997-01-29 31.4253119883 130.87857286860003 0.1344878 -402.73557177578795 -555.0032384099356
1997-01-30 31.42531195 130.87857302409998 0.1345199 -402.7355760345534 -555.0032242543122
1997-01-31 31.4253119425 130.8785730729 0.13452153 -402.7355768685156 -555.003219811901
1997-02-01 31.4253119385 130.8785730212 0.13451272 -402.7355773132953 -555.003224518306
1997-02-02 31.4253119351 130.8785730222 0.1345023 -402.7355776913577 -555.003224427274
1997-02-03 31.4253119305 130.8785730469 0.13451711 -402.7355782028544 -555.0032221787593
1997-02-04 31.4253119754 130.8785730569 0.13451441 -402.7355732102024 -555.0032212684288
1997-02-05 31.4253119438 130.8785729745 0.13450529 -402.73557672396197 -555.0032287695457
1997-02-06 31.4253119365 130.8785730678 0.1345199 -402.7355775356848 -555.0032202761685
1997-02-07 31.4253119542 130.8785730262 0.13450954999999998 -402.7355755675346 -555.0032240631407
1997-02-08 31.425311961 130.87857298 0.13450452999999998 -402.7355748114095 -555.0032282688644
1997-02-09 31.4253119451 130.87857297749997 0.13451012 -402.73557657940876 -555.0032284964497
1997-02-10 31.4253119648 130.87857297389996 0.13450704 -402.7355743888687 -555.003228824169
1997-02-11 31.4253119564 130.8785728116 0.13451285 -402.7355753229058 -555.0032435988176
1997-02-12 31.4253119625 130.87857302240002 0.1345098 -402.73557464461686 -555.0032244090645
1997-02-13 31.4253119385 130.87857303140004 0.13451161 -402.7355773132953 -555.003223589766
1997-02-14 31.4253119407 130.87857298430004 0.13451343 -402.7355770686665 -555.0032278774195
1997-02-15 31.4253119508 130.87857292479998 0.13448776 -402.7355759455974 -555.0032332938866
1997-02-16 31.4253119386 130.8785729992 0.13451480000000002 -402.7355773021756 -555.003226521031
1997-02-17 31.4253119273 130.8785730335 0.13451457 -402.73557855867824 -555.0032233985997
1997-02-18 31.4253119634 130.8785729609 0.13450067999999998 -402.73557454454163 -555.0032300075957
1997-02-19 31.4253119268 130.87857303060002 0.13452793 -402.7355786142759 -555.0032236625937
1997-02-20 31.4253119522 130.87857290479997 0.13451349999999998 -402.7355757899245 -555.0032351145477
1997-02-21 31.4253119361 130.87857297480002 0.13452387 -402.7355775801628 -555.003228742234
1997-02-22 31.4253119162 130.87857301370002 0.13452234000000002 -402.7355797929422 -555.0032252010514
1997-02-23 31.4253119267 130.878573018 0.13451891 -402.7355786253952 -555.0032248096115
1997-02-24 31.4253118694 130.8785730555 0.13452151 -402.7355849968644 -555.0032213958747
1997-02-25 31.4253119233 130.8785728477 0.13450393 -402.735579003458 -555.0032403125266
1997-02-26 31.4253118936 130.87857301079998 0.13450073 -402.73558230594733 -555.0032254650504
1997-02-27 31.4253119254 130.8785730683 0.13453443999999998 -402.7355787699488 -555.0032202306525
1997-02-28 31.4253119308 130.8785730322 0.13449337 -402.73557816949614 -555.0032235169434
1997-03-01 31.4253119257 130.87857300869996 0.13449955 -402.7355787365901 -555.0032256562217
1997-03-02 31.4253119634 130.87857306679996 0.13450663 -402.73557454454163 -555.0032203672057
1997-03-03 31.4253119306 130.87857301359998 0.1345291 -402.7355781917351 -555.0032252101587
1997-03-04 31.4253119423 130.87857303919998 0.13451499 -402.7355768907546 -555.0032228797141
1997-03-05 31.4253119592 130.8785730266 0.13451593 -402.73557501156034 -555.0032240267269
1997-03-06 31.4253119398 130.878572888 0.13450637000000001 -402.7355771687417 -555.0032366438979
1997-03-07 31.4253119413 130.8785730665 0.13450779 -402.73557700194954 -555.0032203945121
1997-03-08 31.4253119259 130.87857307579998 0.1345143 -402.7355787143511 -555.0032195479072
1997-03-09 31.4253119269 130.8785730769 0.13450591 -402.73557860315617 -555.0032194477678
1997-03-10 31.4253119025 130.87857294970001 0.13451508999999998 -402.7355813163126 -555.0032310271625
1997-03-11 31.4253119104 130.87857302090003 0.13451962 -402.73558043787244 -555.0032245456125
1997-03-12 31.4253119207 130.87857304470003 0.13451911000000003 -402.7355792925648 -555.0032223790278
1997-03-13 31.425311925 130.8785730316 0.13451156 -402.7355788144268 -555.0032235715616
1997-03-14 31.4253119476 130.8785729426 0.13451842 -402.73557630142125 -555.0032316734992
1997-03-15 31.4253119004 130.87857301129998 0.13452787 -402.7355815498218 -555.0032254195344
1997-03-16 31.4253118854 130.87857304739998 0.1345256 -402.73558321774584 -555.0032221332433
1997-03-17 31.4253118898 130.8785730335 0.13452234999999998 -402.7355827284881 -555.0032233985997
1997-03-18 31.4253119357 130.8785730929 0.13451275000000001 -402.73557762464077 -555.00321799124
1997-03-19 31.4253119008 130.87857301270003 0.13451082 -402.7355815053438 -555.0032252920834
1997-03-20 31.4253119014 130.8785730463 0.13452298 -402.73558143862687 -555.0032222333775
1997-03-21 31.4253119164 130.87857304830004 0.13451048 -402.7355797707032 -555.0032220513083
1997-03-22 31.4253118983 130.87857304980002 0.13451436 -402.7355817833314 -555.0032219147603
1997-03-23 31.4253119136 130.87857306399997 0.13451567 -402.73558008204867 -555.0032206220974
1997-03-24 31.4253118947 130.87857304199997 0.1345228 -402.73558218363314 -555.0032226248225
1997-03-25 31.4253119227 130.8785730126 0.13452878999999998 -402.73557907017494 -555.0032253011907
1997-03-26 31.4253119131 130.87857300550002 0.13448527999999998 -402.7355801376463 -555.0032259475221
1997-03-27 31.4253118865 130.8785730509 0.13450904 -402.7355830954312 -555.0032218146262
