date lat lon z km_lat km_lon
2007-01-12 25.0410511713 121.08042210580004 0.03205668 -1112.6329850018333 -1446.9580998593547
2007-01-13 25.0410511956 121.08042209799999 0.03205525 -1112.6329822997966 -1446.9581005694167
2007-01-17 25.0410511646 121.08042212179998 0.03206485 -1112.6329857468395 -1446.958098402832
2007-01-18 25.0410511918 121.0804221043 0.03205285 -1112.6329827223374 -1446.9580999959078
2007-01-20 25.0410511945 121.08042208530003 0.0320475 -1112.6329824221111 -1446.9581017255318
2007-01-26 25.0410511732 121.08042211680004 0.032052779999999996 -1112.6329847905631 -1446.9580988579921
2007-01-27 25.0410511745 121.08042214310001 0.03205338 -1112.6329846460094 -1446.9580964638274
2007-01-28 25.0410511916 121.08042211680004 0.03205383 -1112.6329827445763 -1446.9580988579921
2007-02-07 25.0410511654 121.0804221427 0.03205812 -1112.6329856578836 -1446.9580965002413
2007-02-08 25.0410511493 121.08042214709997 0.03205955 -1112.6329874481219 -1446.9580960996993
2007-02-09 25.0410511652 121.08042216659999 0.03205901 -1112.6329856801226 -1446.9580943245542
2007-02-10 25.0410511717 121.08042214800003 0.03206104 -1112.6329849573553 -1446.9580960177643
2007-02-11 25.041051152 121.08042215130001 0.03206424 -1112.6329871478954 -1446.9580957173564
2007-02-12 25.0410511556 121.08042215969999 0.03206266 -1112.6329867475936 -1446.9580949526814
2007-02-13 25.0410511725 121.0804221688 0.03206055 -1112.6329848683993 -1446.9580941242807
2007-02-14 25.0410511718 121.08042215069997 0.03206073 -1112.632984946236 -1446.9580957719797
2007-02-15 25.0410511656 121.08042214290003 0.03206696 -1112.6329856356447 -1446.9580964820316
2007-02-16 25.0410511655 121.08042213990001 0.03206324 -1112.632985646764 -1446.9580967551328
2007-02-17 25.0410511483 121.08042216260003 0.03205849 -1112.632987559317 -1446.9580946886822
2007-02-18 25.0410511663 121.080422118 0.03206921 -1112.632985557808 -1446.958098748756
2007-02-19 25.04105115 121.08042215720002 0.03206395 -1112.6329873702853 -1446.9580951802614
2007-02-20 25.0410511655 121.08042215680001 0.032065130000000004 -1112.632985646764 -1446.9580952166752
2007-02-21 25.0410511718 121.08042213889996 0.03206204 -1112.632984946236 -1446.95809684617
2007-02-22 25.0410511404 121.0804221473 0.03206788 -1112.6329884377567 -1446.9580960814897
2007-02-23 25.0410511424 121.08042214609998 0.032060540000000005 -1112.6329882153668 -1446.9580961907313
2007-02-24 25.0410511529 121.08042214479997 0.03206494 -1112.63298704782 -1446.958096309075
2007-02-25 25.0410511552 121.0804221528 0.03206148 -1112.6329867920715 -1446.9580955808085
2007-02-26 25.0410511535 121.08042215529997 0.032061320000000004 -1112.6329869811032 -1446.9580953532284
2007-02-27 25.0410511677 121.08042216780001 0.03206165 -1112.632985402135 -1446.9580942153127
2007-02-28 25.0410511615 121.08042215750004 0.03206124 -1112.6329860915437 -1446.9580951529497
2007-03-01 25.0410511609 121.08042215520004 0.03206148 -1112.6329861582606 -1446.9580953623254
2007-03-02 25.0410511451 121.0804221519 0.03205645 -1112.6329879151406 -1446.9580956627383
2007-03-03 25.0410511497 121.0804221532 0.03205789 -1112.632987403644 -1446.9580955443946
2007-03-04 25.0410511945 121.08042214479997 0.032065550000000005 -1112.6329824221111 -1446.958096309075
2007-03-05 25.0410511605 121.0804221578 0.03205492 -1112.6329862027385 -1446.9580951256432
2007-03-06 25.0410511598 121.08042215199998 0.03206479 -1112.6329862805753 -1446.958095653636
2007-03-07 25.0410511537 121.08042215440003 0.032057499999999996 -1112.6329869588642 -1446.9580954351532
2007-03-08 25.0410511448 121.08042216780001 0.032057180000000005 -1112.6329879484988 -1446.9580942153127
2007-03-09 25.0410511534 121.08042217119998 0.032064669999999997 -1112.6329869922224 -1446.9580939058028
2007-03-10 25.0410511535 121.08042214570003 0.03205753 -1112.6329869811032 -1446.95809622714
2007-03-11 25.0410511579 121.08042216000001 0.03205996 -1112.6329864918455 -1446.9580949253698
2007-03-12 25.0410511603 121.08042215859996 0.0320586 -1112.6329862249777 -1446.9580950528207
2007-03-13 25.0410511619 121.08042216269996 0.03205855 -1112.6329860470657 -1446.9580946795852
2007-03-14 25.0410511732 121.08042215329999 0.03206693 -1112.6329847905631 -1446.9580955352924
2007-03-15 25.0410511836 121.0804221574 0.032059939999999995 -1112.6329836341358 -1446.9580951620571
2007-03-16 25.0410511745 121.0804221578 0.032059370000000004 -1112.6329846460094 -1446.9580951256432
2007-03-17 25.041051174 121.0804221537 0.03205903 -1112.6329847016073 -1446.9580954988787
2007-03-18 25.0410511833 121.08042214889997 0.032063209999999995 -1112.6329836674945 -1446.9580959358395
