date lat lon z km_lat km_lon
2012-09-06 22.9063193534 121.13056206019996 0.20358681 -1350.0043328990294 -1442.3937103982678
2012-09-07 22.906319344 121.13056204010002 0.20358208 -1350.0043339442618 -1442.3937122280258
2012-09-08 22.9063193451 121.13056205229998 0.20357397 -1350.0043338219475 -1442.393711117427
2012-09-09 22.9063193573 121.1305620462 0.20356769 -1350.0043324653693 -1442.3937116727263
2012-09-10 22.906319358 121.130562048 0.20357967 -1350.0043323875327 -1442.3937115088668
2012-09-11 22.9063193756 121.13056201840004 0.20357356999999998 -1350.0043304305023 -1442.3937142034392
2012-09-12 22.9063193323 121.1305620508 0.20356438 -1350.0043352452424 -1442.393711253975
2012-09-13 22.9063193274 121.1305620348 0.20357543 -1350.0043357900977 -1442.3937127105028
2012-09-14 22.9063193635 121.13056204910004 0.20358411 -1350.0043317759607 -1442.3937114087273
2012-09-15 22.9063193382 121.13056206509998 0.20356851 -1350.0043345891925 -1442.3937099522047
2012-09-16 22.9063193432 121.13056204450004 0.20357807 -1350.0043340332177 -1442.3937118274787
2012-09-17 22.9063193294 121.1305620064 0.20357356999999998 -1350.0043355677078 -1442.393715295839
2012-09-18 22.9063193701 121.1305620434 0.20356763 -1350.0043310420742 -1442.3937119276181
2012-09-19 22.906319353 121.13056201569998 0.20357346 -1350.0043329435073 -1442.393714449234
2012-09-20 22.9063193686 121.13056204190002 0.20356817000000002 -1350.0043312088667 -1442.3937120641663
2012-09-21 22.9063193206 121.13056203359997 0.20358008 -1350.004336546223 -1442.3937128197442
2012-09-22 22.9063193489 121.1305620444 0.20357356 -1350.0043333994067 -1442.3937118365861
2012-09-23 22.9063193554 121.13056205409998 0.20357861 -1350.0043326766395 -1442.3937109535673
2012-09-24 22.9063193611 121.13056202539997 0.20356744000000002 -1350.0043320428285 -1442.3937135662152
2012-09-25 22.9063193422 121.1305619963 0.20355308 -1350.0043341444127 -1442.3937162152718
2012-09-26 22.9063193556 121.13056203309998 0.20355777 -1350.0043326544005 -1442.3937128652603
2012-09-27 22.9063193414 121.13056201360001 0.20357754 -1350.0043342333686 -1442.3937146404003
2012-09-28 22.9063193509 121.1305620178 0.20356802 -1350.0043331770169 -1442.3937142580626
2012-09-29 22.9063193535 121.1305620114 0.20356869 -1350.00433288791 -1442.3937148406737
2012-09-30 22.9063193604 121.130562016 0.20357029 -1350.004332120665 -1442.3937144219224
2012-10-01 22.9063193505 121.13056201350003 0.20357408000000002 -1350.0043332214948 -1442.3937146495023
2012-10-02 22.9063193584 121.1305620311 0.20357738 -1350.0043323430548 -1442.3937130473244
2012-10-03 22.9063193499 121.13056202990003 0.20357503 -1350.004333288212 -1442.3937131565608
2012-10-04 22.9063193459 121.1305620311 0.20356906 -1350.0043337329917 -1442.3937130473244
2012-10-05 22.906319362 121.1305620132 0.2035722 -1350.004331942753 -1442.393714676814
2012-10-06 22.906319354 121.13056199940002 0.20356755999999998 -1350.0043328323125 -1442.3937159330683
2012-10-07 22.9063193718 121.13056198649997 0.20356928999999999 -1350.004330853043 -1442.3937171073978
2012-10-08 22.9063193682 121.1305620078 0.20356289 -1350.0043312533446 -1442.393715168393
2012-10-09 22.9063193606 121.1305620036 0.20356327999999999 -1350.0043320984257 -1442.3937155507308
