date lat lon z km_lat km_lon
2008-08-18 23.4686251916 120.70120064219998 1.2183114700000002 -1287.4787764685732 -1481.4797597329957
2008-08-19 23.468625188 120.70120063579998 1.21832163 -1287.478776868875 -1481.4797603156069
2008-08-20 23.4686252046 120.70120064640003 1.21832827 -1287.4787750230394 -1481.479759350653
2008-08-21 23.4686251865 120.70120067369999 1.21832412 -1287.4787770356675 -1481.4797568654562
2008-08-22 23.4686251768 120.7012006621 1.21831358 -1287.4787781142581 -1481.4797579214369
2008-08-23 23.4686251845 120.70120065150002 1.2183234299999999 -1287.4787772580573 -1481.4797588863855
2008-08-24 23.4686252024 120.70120066430002 1.21830747 -1287.4787752676682 -1481.4797577211634
2008-08-25 23.4686252005 120.7012006567 1.21831616 -1287.4787754789384 -1481.479758413016
2008-08-26 23.4686252017 120.70120062340004 1.2183157100000002 -1287.4787753455046 -1481.47976144441
2008-08-27 23.4686252014 120.70120060350001 1.21832691 -1287.4787753788632 -1481.479763255969
2008-08-28 23.4686251732 120.70120064529999 1.21832077 -1287.47877851456 -1481.4797594507925
2008-08-29 23.4686251843 120.70120063889999 1.21832473 -1287.4787772802965 -1481.4797600334034
2008-08-30 23.4686251844 120.70120062770002 1.21831916 -1287.4787772691768 -1481.4797610529704
2008-08-31 23.4686251824 120.70120064560001 1.2183198400000002 -1287.4787774915667 -1481.4797594234808
2008-09-01 23.4686251854 120.70120065719999 1.21832573 -1287.4787771579818 -1481.4797583675
2008-09-02 23.4686251976 120.70120065840001 1.21832111 -1287.4787758014036 -1481.4797582582585
2008-09-03 23.4686251605 120.70120064000002 1.2183166699999999 -1287.4787799267356 -1481.4797599332642
2008-09-04 23.4686251799 120.70120062820001 1.21832576 -1287.4787777695542 -1481.4797610074543
2008-09-05 23.4686251947 120.7012006562 1.21831998 -1287.478776123869 -1481.479758458532
2008-09-06 23.4686251802 120.70120066300001 1.21831985 -1287.4787777361955 -1481.479757839507
2008-09-07 23.4686251747 120.70120064859998 1.21831758 -1287.4787783477675 -1481.4797591503846
2008-09-08 23.468625185 120.70120065920003 1.21831757 -1287.4787772024597 -1481.4797581854307
2008-09-09 23.4686251855 120.7012006686 1.2183125700000002 -1287.4787771468625 -1481.4797573297235
2008-09-10 23.4686251855 120.7012006439 1.21833634 -1287.4787771468625 -1481.4797595782381
2008-09-11 23.4686251971 120.70120064039997 1.21832371 -1287.4787758570012 -1481.4797598968555
2008-09-12 23.4686251601 120.70120062759997 1.2183281099999999 -1287.4787799712135 -1481.4797610620776
2008-09-13 23.4686251586 120.70120066419997 1.2183304499999998 -1287.4787801380062 -1481.4797577302706
2008-09-14 23.4686251727 120.70120066430002 1.2183346 -1287.4787785701574 -1481.4797577211634
2008-09-15 23.4686251853 120.70120063690001 1.21832452 -1287.4787771691015 -1481.4797602154674
