date lat lon z km_lat km_lon
2012-01-01 24.1533747241 120.63423110389999 0.12180031 -1211.3381024323398 -1487.5761963669863
2012-01-02 24.1533747318 120.63423111010002 0.12179777 -1211.338101576139 -1487.5761958025794
2012-01-03 24.1533747329 120.63423110899998 0.12180239 -1211.3381014538245 -1487.5761959027188
2012-01-04 24.1533747278 120.63423112320004 0.12180199 -1211.3381020209188 -1487.5761946100456
2012-01-05 24.153374716 120.63423111190002 0.12179657 -1211.338103333019 -1487.5761956387198
2012-01-06 24.15337474 120.6342311135 0.12179421 -1211.3381006643406 -1487.5761954930695
2012-01-07 24.1533747383 120.6342311084 0.12179717 -1211.3381008533722 -1487.576195957337
2012-01-08 24.1533747259 120.6342311157 0.12179724 -1211.338102232189 -1487.576195292796
2012-01-09 24.1533747303 120.63423111079999 0.12179423 -1211.3381017429313 -1487.576195738859
2012-01-10 24.153374745 120.63423109889999 0.12179267 -1211.3381001083658 -1487.5761968221516
2012-01-11 24.1533747065 120.63423112379996 0.12179040999999999 -1211.3381043893708 -1487.5761945554325
2012-01-12 24.1533747247 120.63423112750002 0.12179882 -1211.338102365623 -1487.576194218606
2012-01-13 24.1533747019 120.63423113639999 0.12180007000000001 -1211.3381049008674 -1487.5761934084146
2012-01-14 24.1533747077 120.63423113019996 0.1218082 -1211.3381042559367 -1487.5761939728213
2012-01-15 24.1533747084 120.6342311212 0.12180539 -1211.3381041781001 -1487.5761947921148
2012-01-16 24.1533747344 120.6342311336 0.12179841000000001 -1211.3381012870323 -1487.5761936633064
2012-01-17 24.1533747501 120.63423111099996 0.12180133 -1211.338099541272 -1487.5761957206548
2012-01-18 24.1533747577 120.63423111830002 0.12179919 -1211.3380986961904 -1487.5761950561086
2012-01-19 24.1533747469 120.63423111869997 0.12180331999999999 -1211.3380998970956 -1487.5761950197
2012-01-20 24.1533747447 120.6342311015 0.12180417 -1211.3381001417245 -1487.5761965854642
2012-01-21 24.1533747337 120.63423110759999 0.12180347000000001 -1211.3381013648684 -1487.5761960301647
2012-01-22 24.1533747195 120.63423112689998 0.12180246 -1211.3381029438365 -1487.5761942732292
2012-01-23 24.1533747022 120.63423112830003 0.1218001 -1211.3381048675087 -1487.5761941457781
2012-01-24 24.1533747242 120.63423112980001 0.12180117 -1211.3381024212206 -1487.57619400923
2012-01-25 24.1533747062 120.63423113530001 0.12180128000000001 -1211.338104422729 -1487.5761935085488
