date lat lon z km_lat km_lon
2007-01-01 23.2636382787 120.8262633256 0.92570061 -1310.2722812115833 -1470.0949309887728
2007-01-02 23.2636382608 120.82626336099997 0.92568436 -1310.2722832019724 -1470.0949277662073
2007-01-03 23.2636382504 120.82626336320004 0.92569062 -1310.2722843584 -1470.0949275659286
2007-01-04 23.2636382462 120.82626336980002 0.92568166 -1310.2722848254186 -1470.0949269651132
2007-01-05 23.2636382465 120.82626340310003 0.9256637 -1310.27228479206 -1470.094923933714
2007-01-06 23.2636382668 120.82626338930004 0.92567272 -1310.2722825348028 -1470.094925189968
2007-01-07 23.263638244 120.8262633823 0.92568169 -1310.2722850700475 -1470.0949258272026
2007-01-08 23.2636382452 120.82626338879999 0.92568878 -1310.2722849366135 -1470.0949252354894
2007-01-09 23.2636382608 120.8262634006 0.92568012 -1310.2722832019724 -1470.094924161299
2007-01-10 23.2636382663 120.8262633891 0.92567597 -1310.2722825904004 -1470.0949252081778
2007-01-11 23.2636382583 120.82626337010004 0.92567774 -1310.27228347996 -1470.0949269378016
2007-01-12 23.263638248 120.82626341130003 0.92567427 -1310.2722846252677 -1470.094923187243
2007-01-13 23.2636382585 120.82626338299997 0.92568268 -1310.272283457721 -1470.0949257634823
2007-01-14 23.2636382562 120.82626338829999 0.9256736600000001 -1310.2722837134693 -1470.0949252810053
2007-01-15 23.2636382395 120.82626339399997 0.92568015 -1310.2722855704244 -1470.0949247621197
2007-01-16 23.2636382589 120.82626339540002 0.9256795600000001 -1310.272283413243 -1470.0949246346688
2007-01-17 23.2636382569 120.8262634001 0.92568658 -1310.272283635633 -1470.0949242068152
2007-01-18 23.2636382527 120.82626339929999 0.92568036 -1310.2722841026514 -1470.0949242796428
2007-01-19 23.2636382654 120.82626340569999 0.92567811 -1310.2722826904758 -1470.0949236970316
2007-01-20 23.2636382694 120.82626338220001 0.92567877 -1310.272282245696 -1470.0949258363048
2007-01-21 23.263638255 120.8262633759 0.92569002 -1310.272283846903 -1470.0949264098138
2007-01-22 23.2636382481 120.82626338759997 0.92568058 -1310.272284614148 -1470.0949253447309
2007-01-23 23.2636382465 120.82626340720003 0.92568349 -1310.27228479206 -1470.0949235604785
2007-01-24 23.2636382403 120.82626340299998 0.92566617 -1310.2722854814685 -1470.0949239428212
2007-01-25 23.2636382553 120.8262633992 0.92567513 -1310.2722838135448 -1470.094924288745
2007-01-26 23.2636382465 120.8262634107 0.9256769699999999 -1310.27228479206 -1470.0949232418664
2007-01-27 23.2636382542 120.82626340720003 0.925685 -1310.2722839358592 -1470.0949235604785
2007-01-28 23.2636382611 120.82626342039998 0.9256737500000001 -1310.2722831686142 -1470.0949223588475
2007-01-29 23.2636382399 120.82626341510002 0.9256808999999999 -1310.2722855259465 -1470.0949228413194
2007-01-30 23.2636382603 120.82626339090001 0.92567448 -1310.27228325757 -1470.094925044318
2007-02-15 23.2636382389 120.82626341640002 0.9256772600000001 -1310.2722856371413 -1470.0949227229758
2007-02-16 23.2636382436 120.82626338670002 0.925686 -1310.2722851145254 -1470.0949254266554
2007-02-17 23.2636382353 120.82626341560001 0.9256926999999999 -1310.272286037443 -1470.0949227958033
2007-02-18 23.2636382338 120.8262634097 0.92568293 -1310.2722862042358 -1470.0949233328984
2007-02-19 23.2636382471 120.82626344419998 0.92567755 -1310.2722847253428 -1470.0949201922629
2007-02-20 23.2636382581 120.82626342590004 0.9256867200000001 -1310.2722835021991 -1470.0949218581611
2007-02-21 23.2636382583 120.82626339820001 0.92567876 -1310.27228347996 -1470.094924379777
2007-02-22 23.263638228 120.8262634138 0.92568898 -1310.272286849166 -1470.094922959663
2007-02-23 23.2636382119 120.826263423 0.9256884599999999 -1310.2722886394047 -1470.0949221221601
2007-02-24 23.2636382316 120.82626339570004 0.92569168 -1310.2722864488642 -1470.0949246073571
2007-02-25 23.2636382368 120.82626337900001 0.9256831600000001 -1310.2722858706509 -1470.0949261276103
2007-02-26 23.2636382443 120.82626341130003 0.92568602 -1310.2722850366888 -1470.094923187243
2007-02-27 23.263638244 120.82626342770004 0.92568785 -1310.2722850700475 -1470.0949216943015
