date lat lon z km_lat km_lon
2004-06-15 24.9678214533 121.18752032179998 0.17055779000000001 -1120.775758123045 -1437.2086301148813
2004-06-16 24.9678214557 121.18752033070001 0.1705594 -1120.7757578561773 -1437.208629304685
2004-06-17 24.9678214512 121.18752032660001 0.17055448999999998 -1120.7757583565547 -1437.2086296779205
2004-06-18 24.9678214461 121.18752035839998 0.17055673 -1120.7757589236485 -1437.2086267830744
2004-06-19 24.9678214617 121.18752032819998 0.17055797 -1120.7757571890077 -1437.2086295322702
2004-06-20 24.9678214549 121.18752034260001 0.17055417 -1120.7757579451331 -1437.2086282213927
2004-06-21 24.9678214488 121.18752034939996 0.17055709 -1120.7757586234225 -1437.2086276023729
2004-06-22 24.9678214385 121.18752035240004 0.17055634 -1120.77575976873 -1437.2086273292664
2004-06-23 24.9678214514 121.18752035479997 0.17055401 -1120.7757583343157 -1437.2086271107937
2004-06-24 24.9678214701 121.18752033190003 0.17055033 -1120.7757562549705 -1437.2086291954436
2004-06-25 24.9678214602 121.1875203427 0.17055665 -1120.7757573558001 -1437.2086282122905
2004-06-26 24.9678214601 121.18752034440001 0.17055002 -1120.7757573669194 -1437.208628057533
2004-06-27 24.9678214456 121.187520344 0.17055301 -1120.7757589792463 -1437.2086280939468
2004-06-28 24.9678214284 121.1875203326 0.17054741 -1120.7757608917987 -1437.2086291317232
2004-06-29 24.9678214152 121.1875203409 0.17055983 -1120.775762359572 -1437.2086283761503
2004-06-30 24.9678214378 121.18752034839997 0.17056372 -1120.7757598465664 -1437.2086276934049
2004-07-01 24.9678214473 121.1875203207 0.17056549000000001 -1120.7757587902147 -1437.2086302150155
2004-07-02 24.9678214324 121.18752035379998 0.17056678 -1120.775760447019 -1437.2086272018257
2004-07-03 24.9678214271 121.18752034520003 0.17055572000000002 -1120.7757610363524 -1437.2086279847053
2004-07-04 24.9678214482 121.18752033570001 0.17056499 -1120.7757586901394 -1437.2086288495198
2004-07-05 24.967821444 121.18752034789998 0.17055484 -1120.775759157158 -1437.2086277389208
2004-07-06 24.9678214505 121.18752034609997 0.1705523 -1120.7757584343908 -1437.2086279027806
2004-07-07 24.9678214301 121.1875203592 0.1705539 -1120.7757607027675 -1437.2086267102466
2004-07-08 24.9678214312 121.18752035199998 0.17056008 -1120.775760580453 -1437.2086273656855
2004-07-09 24.9678214102 121.1875203569 0.1705555 -1120.7757629155465 -1437.2086269196225
2004-07-10 24.9678214347 121.18752034869999 0.17055196 -1120.7757601912708 -1437.2086276660932
2004-07-11 24.967821467 121.18752034440001 0.17055062 -1120.7757565996747 -1437.208628057533
2004-07-12 24.9678214432 121.1875203592 0.17054755 -1120.7757592461141 -1437.2086267102466
2004-07-13 24.9678214323 121.1875203596 0.17054927 -1120.7757604581386 -1437.208626673833
2004-07-14 24.9678214342 121.18752037080003 0.17054531 -1120.775760246868 -1437.2086256542607
2004-07-15 24.96782143 121.1875203665 0.17054525 -1120.775760713887 -1437.2086260457056
2004-07-16 24.9678214171 121.18752035559999 0.17054942 -1120.7757621483013 -1437.2086270379662
2004-07-17 24.9678214329 121.18752035290004 0.17055468 -1120.7757603914217 -1437.2086272837505
2004-07-18 24.9678214306 121.1875203903 0.170558 -1120.7757606471698 -1437.208623879121
2004-07-19 24.9678214492 121.18752035509999 0.17055653 -1120.7757585789445 -1437.208627083482
2004-07-20 24.9678214344 121.18752037140001 0.17054502 -1120.775760224629 -1437.2086255996426
2004-07-21 24.967821445 121.187520361 0.17054846 -1120.7757590459632 -1437.208626546387
2004-07-22 24.967821434 121.18752036910001 0.17054669 -1120.7757602691072 -1437.2086258090183
2004-07-23 24.9678214353 121.18752036770002 0.17055201 -1120.775760124554 -1437.2086259364642
2004-07-24 24.9678214385 121.1875203747 0.17055361 -1120.77575976873 -1437.2086252992349
2004-07-25 24.9678214296 121.1875203733 0.17055600999999998 -1120.7757607583649 -1437.2086254266808
2004-07-26 24.9678214407 121.18752038000002 0.17054506 -1120.7757595241012 -1437.208624816758
2004-07-27 24.9678214475 121.18752036379999 0.17055284 -1120.7757587679757 -1437.2086262914952
2004-07-28 24.9678214446 121.18752037219997 0.17055072999999998 -1120.7757590904412 -1437.20862552682
2004-07-29 24.9678214315 121.18752036440003 0.1705476 -1120.7757605470947 -1437.2086262368719
2004-07-30 24.9678214615 121.18752035520004 0.17055320000000002 -1120.7757572112466 -1437.2086270743748
2004-07-31 24.9678214489 121.18752036980004 0.17055318 -1120.7757586123028 -1437.2086257452927
2004-08-01 24.9678214547 121.1875203656 0.17054959 -1120.775757967372 -1437.2086261276356
2004-08-02 24.9678214538 121.18752036130002 0.17054967999999998 -1120.7757580674477 -1437.2086265190753
