date lat lon z km_lat km_lon
2007-01-01 24.9328984978 121.01016342080004 0.05283835 -1124.659013598079 -1453.3539573187763
2007-01-02 24.9328984948 121.01016340629997 0.052830379999999996 -1124.6590139316636 -1453.3539586387612
2007-01-03 24.9328984947 121.01016339419999 0.05283012 -1124.6590139427828 -1453.353959740258
2007-01-04 24.9328984907 121.01016342259999 0.052836379999999995 -1124.6590143875626 -1453.3539571549218
2007-01-05 24.9328984915 121.01016343360004 0.052830039999999995 -1124.6590142986067 -1453.353956153554
2007-01-06 24.9328985067 121.01016342809999 0.05282991 -1124.659012608444 -1453.3539566542406
2007-01-07 24.9328984868 121.01016342499997 0.05283474 -1124.659014821223 -1453.3539569364439
2007-01-08 24.9328984853 121.01016342439999 0.052831069999999994 -1124.6590149880153 -1453.3539569910622
2007-01-09 24.9328985103 121.0101634367 0.0528343 -1124.6590122081423 -1453.353955871356
2007-01-10 24.9328985134 121.01016343050003 0.05283893 -1124.6590118634379 -1453.3539564357575
2007-01-11 24.9328984878 121.01016340490003 0.0528305 -1124.6590147100283 -1453.353958766202
2007-01-12 24.9328984811 121.01016343369997 0.0528343 -1124.659015455034 -1453.353956144457
2007-01-13 24.9328984945 121.01016343449999 0.05283684 -1124.6590139650218 -1453.3539560716295
2007-01-14 24.9328984941 121.01016342000003 0.05283719 -1124.6590140095 -1453.3539573916041
2007-01-15 24.9328984895 121.01016344269999 0.052839 -1124.6590145209966 -1453.3539553251587
2007-01-16 24.9328984764 121.01016344819999 0.05283925 -1124.6590159776504 -1453.3539548244773
2007-01-17 24.9328985022 121.01016343250001 0.05283188 -1124.659013108821 -1453.3539562536935
2007-01-18 24.9328984966 121.0101634426 0.052835059999999996 -1124.6590137315127 -1453.3539553342607
2007-01-19 24.9328984882 121.01016344460004 0.05284051 -1124.65901466555 -1453.3539551521915
2007-01-20 24.9328984967 121.01016344000004 0.05283099 -1124.6590137203934 -1453.353955570943
2007-01-21 24.9328984969 121.01016344620001 0.05283403 -1124.6590136981545 -1453.3539550065414
2007-01-22 24.9328984928 121.0101634554 0.05283597 -1124.6590141540535 -1453.3539541690386
2007-01-23 24.9328984953 121.01016346929998 0.052838880000000005 -1124.659013876066 -1453.353952903682
2007-01-24 24.9328984933 121.01016345469998 0.05283853 -1124.6590140984558 -1453.353954232764
2007-01-25 24.9328984996 121.01016344200002 0.052839889999999994 -1124.659013397928 -1453.353955388879
2007-01-26 24.9328984846 121.01016345710002 0.052836509999999996 -1124.659015065852 -1453.353954014281
2007-01-27 24.9328984956 121.0101634756 0.05283674 -1124.6590138427077 -1453.3539523301731
2007-01-28 24.9328984665 121.01016346649999 0.05283534 -1124.65901707848 -1453.3539531585739
2007-01-29 24.9328984713 121.01016348300004 0.05283869 -1124.6590165447444 -1453.353951656525
2007-01-30 24.9328985066 121.01016346360001 0.0528363 -1124.6590126195633 -1453.3539534225677
2007-01-31 24.9328984839 121.01016346480003 0.052839550000000006 -1124.6590151436883 -1453.3539533133262
2007-02-01 24.9328984905 121.01016346450001 0.052842 -1124.6590144098016 -1453.3539533406379
2007-02-02 24.9328984854 121.01016348019999 0.05284358 -1124.659014976896 -1453.3539519114217
2007-02-03 24.9328984788 121.01016349060001 0.052841149999999996 -1124.6590157107826 -1453.3539509646773
2007-02-04 24.9328984585 121.0101635341 0.0528537 -1124.6590179680395 -1453.3539470047433
2007-02-05 24.9328984754 121.0101634897 0.05284232 -1124.6590160888454 -1453.3539510466073
2007-02-06 24.9328984819 121.01016347940003 0.05284014 -1124.6590153660782 -1453.3539519842443
2007-02-07 24.9328984792 121.01016346789999 0.05283806 -1124.6590156663046 -1453.353953031128
2007-02-08 24.9328984571 121.01016347250004 0.05283637 -1124.6590181237125 -1453.3539526123714
2007-02-09 24.932898482 121.0101635099 0.052840649999999996 -1124.659015354959 -1453.3539492077418
2007-02-10 24.9328984946 121.0101634824 0.05283654 -1124.6590139539026 -1453.3539517111483
2007-02-11 24.9328984617 121.01016348179996 0.052844340000000004 -1124.6590176122158 -1453.3539517657716
2007-02-12 24.9328984666 121.01016349209999 0.05283777 -1124.6590170673603 -1453.3539508281294
2007-03-03 24.9328984508 121.01016349719998 0.05283392 -1124.6590188242403 -1453.353950363862
2007-03-04 24.9328985009 121.01016347250004 0.05283972 -1124.6590132533747 -1453.3539526123714
2007-03-05 24.9328984805 121.01016348220003 0.05282729 -1124.659015521751 -1453.3539517293525
2007-03-06 24.9328984853 121.01016348709999 0.05284208 -1124.6590149880153 -1453.3539512832947
2007-03-07 24.9328984776 121.01016348680002 0.052836799999999996 -1124.6590158442166 -1453.3539513106011
2007-03-08 24.9328984685 121.01016349240001 0.052836440000000005 -1124.6590168560901 -1453.3539508008178
2007-03-09 24.9328984679 121.0101635044 0.05283582 -1124.6590169228073 -1453.3539497084232
2007-03-10 24.9328984743 121.01016347309996 0.05283858 -1124.6590162111597 -1453.3539525577585
2007-03-11 24.9328984742 121.01016348500002 0.05284121 -1124.659016222279 -1453.353951474461
2007-03-12 24.9328984665 121.0101634797 0.05283972 -1124.65901707848 -1453.3539519569379
2007-03-13 24.9328984806 121.0101634962 0.05283817 -1124.6590155106317 -1453.353950454894
2007-03-14 24.9328984797 121.0101634897 0.05284846 -1124.659015610707 -1453.3539510466073
2007-03-15 24.9328985163 121.01016348489998 0.052840490000000004 -1124.6590115409726 -1453.3539514835682
2007-03-16 24.9328985022 121.0101634801 0.05284409 -1124.659013108821 -1453.353951920524
2007-03-17 24.9328984793 121.0101634952 0.052842190000000004 -1124.659015655185 -1453.353950545926
2007-03-18 24.932898501 121.01016348019999 0.05284068 -1124.659013242255 -1453.3539519114217
2007-03-19 24.93289848 121.01016348849998 0.052837470000000004 -1124.6590155773488 -1453.3539511558488
2007-03-20 24.9328984921 121.01016349420001 0.052837760000000004 -1124.6590142318898 -1453.353950636958
2007-03-21 24.9328984704 121.01016349309998 0.05283607 -1124.6590166448198 -1453.3539507370974
2007-03-22 24.9328984683 121.01016350399999 0.05284131 -1124.6590168783293 -1453.3539497448369
2007-03-23 24.9328984654 121.01016349550002 0.05283923 -1124.6590172007943 -1453.3539505186143
2007-03-24 24.9328984552 121.0101635016 0.05283993 -1124.6590183349826 -1453.3539499633148
2007-03-25 24.9328984807 121.01016351160001 0.05284048 -1124.659015499512 -1453.3539490529843
2007-03-26 24.9328984807 121.0101635112 0.05283871 -1124.659015499512 -1453.3539490893982
2007-03-27 24.9328984861 121.01016350730004 0.05284537 -1124.6590148990595 -1453.353949444424
2007-03-28 24.9328984788 121.01016349899999 0.05285579 -1124.6590157107826 -1453.3539502000021
2007-03-29 24.9328984703 121.01016349349999 0.052843919999999996 -1124.6590166559395 -1453.3539507006835
2007-03-30 24.9328984836 121.01016351229998 0.05284259 -1124.659015177047 -1453.353948989264
2007-03-31 24.9328984815 121.0101634788 0.052838090000000004 -1124.659015410556 -1453.3539520388676
2007-04-01 24.932898506 121.01016348179996 0.05283444 -1124.6590126862804 -1453.3539517657716
2007-04-02 24.9328984867 121.01016351420003 0.052838630000000004 -1124.6590148323423 -1453.353948816297
2007-04-03 24.9328984695 121.01016351279998 0.052840780000000004 -1124.6590167448953 -1453.353948943748
2007-04-04 24.9328984645 121.010163508 0.052846380000000005 -1124.65901730087 -1453.3539493807036
2007-04-05 24.9328984945 121.01016352319999 0.052848059999999995 -1124.6590139650218 -1453.3539479970036
2007-04-06 24.9328985064 121.01016351739997 0.05284094 -1124.6590126418023 -1453.3539485249964
2007-04-07 24.9328984644 121.01016352700003 0.052840490000000004 -1124.6590173119894 -1453.3539476510748
2007-04-08 24.9328984603 121.01016353349996 0.05284449 -1124.6590177678888 -1453.3539470593666
2007-04-09 24.932898467 121.01016354019998 0.05284502 -1124.6590170228824 -1453.3539464494438
2007-04-10 24.9328984645 121.01016353390003 0.05283442 -1124.65901730087 -1453.3539470229475
2007-04-11 24.932898461 121.01016351729999 0.05284361 -1124.659017690052 -1453.3539485340987
2007-04-12 24.9328984523 121.01016353349996 0.052845289999999996 -1124.6590186574479 -1453.3539470593666
2007-04-13 24.9328984511 121.01016354929999 0.052847540000000005 -1124.6590187908816 -1453.353945621043
2007-04-14 24.9328984747 121.01016354289999 0.05285096 -1124.6590161666816 -1453.3539462036542
2007-04-15 24.9328984645 121.01016354490002 0.0528463 -1124.65901730087 -1453.353946021585
2007-04-16 24.9328984736 121.01016353249997 0.05283778 -1124.6590162889959 -1453.3539471503987
2007-04-17 24.9328984731 121.01016353850002 0.05284877 -1124.6590163445935 -1453.3539466041962
