date lat lon z km_lat km_lon
2015-11-10 25.1785002647 121.43136023069997 0.06833168 -1097.3493431438594 -1415.0111565891145
2015-11-11 25.1785002456 121.43136021470002 0.06833249999999999 -1097.3493452676826 -1415.011158045637
2015-11-12 25.1785002543 121.43136022800002 0.06832396 -1097.3493443002865 -1415.0111568348989
2015-11-13 25.1785002578 121.4313602277 0.06833161 -1097.3493439111044 -1415.0111568622106
2015-11-14 25.1785002492 121.43136022140004 0.06833531000000001 -1097.3493448673808 -1415.0111574357143
2015-11-15 25.178500234 121.431360213 0.06833185 -1097.3493465575434 -1415.0111582003947
2015-11-16 25.1785002409 121.43136024570003 0.06832223999999999 -1097.3493457902985 -1415.0111552236135
2015-11-17 25.1785002628 121.43136022470003 0.06832483 -1097.3493433551296 -1415.0111571353066
2015-11-18 25.1785002534 121.43136021789996 0.06832692 -1097.349344400362 -1415.0111577543366
2015-11-19 25.1785002356 121.4313602094 0.06832680000000001 -1097.3493463796315 -1415.011158528114
2015-11-20 25.1785002395 121.4313601764 0.06833388 -1097.3493459459714 -1415.0111615322016
2015-11-21 25.17850023 121.4313602405 0.06831289 -1097.3493470023232 -1415.0111556969882
2015-11-22 25.1785002632 121.43136022670001 0.06832933 -1097.3493433106516 -1415.0111569532426
2015-11-23 25.1785002565 121.43136022479996 0.06832104 -1097.3493440556576 -1415.0111571262096
2015-11-24 25.1785002589 121.43136022709996 0.06832604 -1097.3493437887896 -1415.011156916834
2015-11-25 25.1785002678 121.4313602153 0.06832841 -1097.349342799155 -1415.011157991019
2015-11-26 25.1785002577 121.43136022409999 0.06831931000000001 -1097.3493439222236 -1415.01115718993
2015-11-27 25.1785002441 121.4313602176 0.06832545000000001 -1097.3493454344748 -1415.011157781643
2015-11-28 25.1785002718 121.43136021890001 0.06832218 -1097.3493423543753 -1415.0111576632994
2015-11-29 25.178500252 121.43136024040001 0.06832347 -1097.349344556035 -1415.0111557060904
2015-11-30 25.1785002698 121.43136024879999 0.06832263000000001 -1097.3493425767651 -1415.0111549414153
2015-12-01 25.178500264 121.43136024579997 0.06832603000000001 -1097.3493432216958 -1415.0111552145165
2015-12-02 25.1785002478 121.431360246 0.06832039000000001 -1097.3493450230537 -1415.011155196307
2015-12-03 25.1785002623 121.43136022609997 0.06832147999999999 -1097.3493434107274 -1415.011157007866
2015-12-04 25.1785002381 121.43136023720001 0.06833259 -1097.3493461016444 -1415.011155997396
2015-12-05 25.1785002214 121.4313602254 0.06832612 -1097.3493479585995 -1415.0111570715862
2015-12-06 25.1785002668 121.43136023599999 0.06832867000000001 -1097.3493429103498 -1415.0111561066376
2015-12-07 25.1785002512 121.43136022650003 0.06832763 -1097.3493446449909 -1415.0111569714468
2015-12-08 25.1785002241 121.43136022160002 0.06831953 -1097.3493476583735 -1415.0111574175098
2015-12-09 25.1785002184 121.43136025310002 0.06832389000000001 -1097.3493482921845 -1415.0111545499703
2015-12-10 25.1785002596 121.43136022549999 0.06832217 -1097.3493437109535 -1415.011157062484
2015-12-11 25.1785002374 121.4313602464 0.06832381 -1097.3493461794806 -1415.0111551598932
2015-12-12 25.1785002442 121.4313602414 0.06832421 -1097.3493454233555 -1415.0111556150584
2015-12-13 25.1785002539 121.43136023369999 0.06832955 -1097.3493443447644 -1415.0111563160133
2015-12-14 25.1785002471 121.43136023490001 0.06832189 -1097.3493451008899 -1415.0111562067716
2015-12-15 25.1785002567 121.431360229 0.06832514999999999 -1097.3493440334187 -1415.0111567438669
2015-12-16 25.1785002513 121.4313602258 0.06832276 -1097.3493446338712 -1415.0111570351723
2015-12-17 25.1785002646 121.43136023149998 0.06832436 -1097.3493431549787 -1415.0111565162867
2015-12-18 25.1785002675 121.43136022880003 0.06832497 -1097.3493428325137 -1415.011156762071
2015-12-19 25.1785002701 121.4313602108 0.06832725 -1097.349342543407 -1415.0111584006681
2015-12-20 25.1785002548 121.43136023779999 0.06833145 -1097.349344244689 -1415.0111559427778
2015-12-21 25.1785002508 121.43136024110004 0.06833001 -1097.3493446894688 -1415.0111556423649
2015-12-22 25.1785002497 121.43136024659998 0.06832737 -1097.349344811783 -1415.0111551416887
2015-12-23 25.1785002546 121.43136023839998 0.06832827 -1097.349344266928 -1415.0111558881597
2015-12-24 25.1785002369 121.4313602634 0.06832953 -1097.3493462350782 -1415.0111536123334
2015-12-25 25.1785002591 121.43136025629997 0.06832763 -1097.3493437665506 -1415.0111542586699
2015-12-26 25.1785002566 121.43136026330001 0.06833035999999999 -1097.3493440445382 -1415.0111536214356
2015-12-27 25.178500257 121.4313602615 0.06832851 -1097.3493440000602 -1415.0111537852952
2015-12-28 25.178500246 121.43136025499996 0.06832017 -1097.3493452232046 -1415.0111543770136
2015-12-29 25.1785002647 121.43136025960001 0.06832479 -1097.3493431438594 -1415.011153958257
2015-12-30 25.1785002459 121.43136025749999 0.06832774999999999 -1097.349345234324 -1415.0111541494284
2015-12-31 25.1785002678 121.43136025169997 0.06832529 -1097.349342799155 -1415.0111546774215
2016-01-01 25.1785002461 121.43136023700004 0.06832831 -1097.349345212085 -1415.0111560156004
2016-01-02 25.1785002545 121.43136024989997 0.06833309 -1097.3493442780475 -1415.011154841281
2016-01-03 25.1785002761 121.43136026460002 0.06833634999999999 -1097.3493418762373 -1415.0111535030917
2016-01-04 25.1785002567 121.43136027150001 0.0683296 -1097.3493440334187 -1415.0111528749646
2016-01-05 25.17850025 121.4313602638 0.06832819999999999 -1097.349344778425 -1415.0111535759195
2016-01-06 25.1785002546 121.43136025620004 0.06832663 -1097.349344266928 -1415.0111542677669
2016-01-07 25.1785002342 121.43136026690001 0.06832214 -1097.3493465353044 -1415.011153293716
2016-01-08 25.1785002372 121.43136026849999 0.06832783 -1097.3493462017195 -1415.011153148066
2016-01-09 25.1785002483 121.43136025909996 0.06832633 -1097.349344967456 -1415.0111540037783
2016-01-10 25.1785002607 121.43136027499997 0.06832979 -1097.349343588639 -1415.0111525563525
2016-01-11 25.1785002556 121.431360267 0.06832666 -1097.3493441557332 -1415.011153284614
2016-01-12 25.1785002653 121.4313602551 0.06832494 -1097.3493430771425 -1415.0111543679063
2016-01-13 25.1785002406 121.4313602588 0.06832529 -1097.3493458236571 -1415.0111540310847
2016-01-14 25.178500253 121.43136026640002 0.06832841 -1097.34934444484 -1415.0111533392321
2016-01-15 25.1785002544 121.4313602748 0.06833196999999999 -1097.3493442891672 -1415.011152574557
2016-01-16 25.1785002607 121.43136027290001 0.0683223 -1097.349343588639 -1415.0111527475187
2016-01-17 25.1785002549 121.4313602533 0.06832651 -1097.3493442335694 -1415.0111545317661
2016-01-18 25.178500241 121.43136027740002 0.06832559 -1097.3493457791792 -1415.0111523378696
2016-01-19 25.1785002496 121.43136025519999 0.06832768 -1097.3493448229028 -1415.011154358804
2016-01-20 25.1785002689 121.4313602629 0.06832566 -1097.3493426768407 -1415.0111536578493
2016-01-21 25.1785002664 121.43136025629997 0.06832511 -1097.349342954828 -1415.0111542586699
2016-01-22 25.1785002647 121.43136024130001 0.06832481 -1097.3493431438594 -1415.0111556241607
2016-01-23 25.1785002709 121.4313602286 0.06832545000000001 -1097.3493424544508 -1415.0111567802805
2016-01-24 25.1785002727 121.43136023080001 0.06832217 -1097.3493422543 -1415.011156580007
2016-01-25 25.1785002484 121.4313602419 0.06832375 -1097.3493449563368 -1415.0111555695423
2016-01-26 25.1785002398 121.431360256 0.06832107999999999 -1097.3493459126128 -1415.0111542859765
2016-01-27 25.1785002273 121.43136026330001 0.06832678 -1097.3493473025496 -1415.0111536214356
2016-01-28 25.178500245 121.43136027829996 0.06832618 -1097.3493453343995 -1415.0111522559448
2016-01-29 25.1785002447 121.4313602922 0.06832663 -1097.349345367758 -1415.0111509905832
2016-01-30 25.1785002273 121.43136027649996 0.06832724 -1097.3493473025496 -1415.0111524198046
2016-01-31 25.1785002544 121.43136026180002 0.06832317 -1097.3493442891672 -1415.0111537579835
2016-02-01 25.1785002497 121.43136026310003 0.06832639 -1097.349344811783 -1415.0111536396398
2016-02-02 25.1785002515 121.43136027729997 0.06832801000000001 -1097.3493446116322 -1415.0111523469768
2016-02-03 25.1785002531 121.4313602789 0.06832871 -1097.3493444337203 -1415.0111522013215
2016-02-04 25.178500243 121.43136026130003 0.068327 -1097.3493455567893 -1415.0111538034996
2016-02-05 25.1785002296 121.43136027150001 0.06832930000000001 -1097.349347046801 -1415.0111528749646
2016-02-06 25.1785002528 121.43136028510003 0.06832492999999999 -1097.349344467079 -1415.0111516369147
2016-02-07 25.1785002622 121.43136028640004 0.068324 -1097.3493434218467 -1415.011151518571
2016-02-08 25.1785002373 121.43136028779998 0.06832489 -1097.3493461906003 -1415.0111513911304
2016-02-09 25.1785002423 121.4313602689 0.06833381 -1097.3493456346257 -1415.011153111652
2016-02-10 25.1785002551 121.43136028020001 0.06832689 -1097.3493442113304 -1415.0111520829778
2016-02-11 25.1785002404 121.43136028610002 0.06833115 -1097.3493458458963 -1415.0111515458827
2016-02-12 25.1785002359 121.4313603004 0.06831951 -1097.3493463462733 -1415.0111502441125
2016-02-13 25.1785002553 121.43136027039998 0.06832784 -1097.3493441890914 -1415.011152975104
2016-02-14 25.1785002336 121.4313603 0.06832627 -1097.3493466020213 -1415.0111502805264
2016-02-15 25.1785002325 121.43136029210001 0.06832343 -1097.349346724336 -1415.0111509996855
2016-02-16 25.1785002466 121.43136028980001 0.06832965 -1097.3493451564875 -1415.0111512090612
2016-02-17 25.178500243 121.43136028859999 0.06833266 -1097.3493455567893 -1415.0111513183026
2016-02-18 25.1785002463 121.43136027950004 0.06832562 -1097.349345189846 -1415.0111521466981
2016-02-19 25.1785002384 121.4313602958 0.06833011 -1097.3493460682857 -1415.0111506628639
2016-02-20 25.1785002315 121.43136028460003 0.06832656 -1097.349346835531 -1415.0111516824309
2016-02-21 25.1785002648 121.4313602972 0.06832761999999999 -1097.3493431327397 -1415.011150535418
2016-02-22 25.1785002398 121.4313602931 0.06832736 -1097.3493459126128 -1415.0111509086535
2016-02-23 25.1785002456 121.43136028250001 0.0683261 -1097.3493452676826 -1415.011151873602
2016-02-24 25.1785002539 121.43136027599996 0.06832347 -1097.3493443447644 -1415.0111524653205
2016-02-25 25.178500244 121.43136028020001 0.06832041 -1097.3493454455945 -1415.0111520829778
2016-02-26 25.1785002356 121.43136029760001 0.06833337 -1097.3493463796315 -1415.011150499004
2016-02-27 25.1785002341 121.43136029690004 0.06833502 -1097.3493465464242 -1415.0111505627244
2016-02-28 25.1785002393 121.43136029819999 0.06831552 -1097.3493459682104 -1415.011150444386
2016-02-29 25.178500244 121.43136029519997 0.06832169 -1097.3493454455945 -1415.0111507174872
2016-03-01 25.1785002371 121.43136030400001 0.06832398 -1097.3493462128392 -1415.0111499163932
2016-03-02 25.1785002314 121.43136031590001 0.06832237000000001 -1097.3493468466502 -1415.0111488331006
2016-03-03 25.1785002264 121.43136032300004 0.06833342 -1097.349347402625 -1415.011148186764
2016-03-04 25.1785002379 121.43136031810002 0.06832793 -1097.3493461238834 -1415.0111486328271
2016-03-05 25.1785002426 121.4313603141 0.0683265 -1097.3493456012673 -1415.0111489969604
2016-03-06 25.1785002289 121.4313603 0.06832895 -1097.3493471246377 -1415.0111502805264
2016-03-07 25.1785002295 121.43136031380004 0.06832331999999999 -1097.3493470579208 -1415.0111490242668
2016-03-08 25.178500262 121.43136031 0.06833615 -1097.3493434440857 -1415.0111493701959
2016-03-09 25.1785002517 121.43136030159997 0.06832476 -1097.3493445893932 -1415.011150134876
2016-03-10 25.178500249 121.4313603123 0.06832743000000001 -1097.3493448896197 -1415.01114916082
2016-03-11 25.1785002317 121.43136031309996 0.0683317 -1097.349346813292 -1415.0111490879976
2016-03-12 25.1785002478 121.43136032309997 0.06833137 -1097.3493450230537 -1415.011148177667
2016-03-13 25.1785002288 121.43136032500001 0.06832942 -1097.3493471357572 -1415.0111480047
2016-03-14 25.1785002412 121.43136031070003 0.0683261 -1097.3493457569402 -1415.0111493064703
2016-03-15 25.1785002411 121.43136029339996 0.06832859000000001 -1097.3493457680595 -1415.011150881347
2016-03-16 25.1785002303 121.4313603356 0.06833402 -1097.349346968965 -1415.0111470397512
2016-03-17 25.1785002122 121.4313603059 0.06833452 -1097.349348981593 -1415.0111497434311
2016-03-18 25.1785002226 121.43136031 0.06833488 -1097.3493478251658 -1415.0111493701959
2016-03-19 25.1785002268 121.43136032609999 0.06832792 -1097.349347358147 -1415.0111479045659
2016-03-20 25.1785002268 121.4313603196 0.0683266 -1097.349347358147 -1415.011148496279
2016-03-21 25.1785002363 121.43136032929999 0.0683274 -1097.3493463017953 -1415.0111476132602
2016-03-22 25.1785002348 121.43136031849997 0.06832909 -1097.3493464685876 -1415.0111485964185
2016-03-23 25.1785002541 121.43136032389998 0.06832795 -1097.3493443225254 -1415.0111481048393
2016-03-24 25.1785002321 121.4313603228 0.06832748999999999 -1097.349346768814 -1415.0111482049736
2016-03-25 25.1785002384 121.43136031400002 0.06832628 -1097.3493460682857 -1415.0111490060626
2016-03-28 25.1785001987 121.43136030610003 0.06832534 -1097.3493504827245 -1415.0111497252217
2016-03-29 25.1785002198 121.4313603347 0.06832736 -1097.3493481365115 -1415.0111471216812
2016-03-30 25.178500224 121.43136034090003 0.06832695 -1097.3493476694928 -1415.0111465572743
2016-03-31 25.1785002221 121.43136033589997 0.06833046 -1097.3493478807634 -1415.0111470124448
2016-04-01 25.178500213 121.43136032609999 0.06832691 -1097.3493488926372 -1415.0111479045659
2016-04-02 25.1785002206 121.4313603448 0.06832776 -1097.3493480475556 -1415.0111462022485
2016-04-03 25.1785002319 121.43136033209998 0.0683253 -1097.349346791053 -1415.0111473583686
2016-04-04 25.1785001978 121.43136033409996 0.06833163 -1097.3493505828 -1415.0111471763046
