date lat lon z km_lat km_lon
2014-07-09 24.4727965107 120.70410636970001 0.06363275 -1175.820020302679 -1481.2152426998896
2014-08-03 24.4727965135 120.70410638149997 0.06364017 -1175.820019991333 -1481.2152416257045
2014-08-18 24.4727964824 120.70410642590002 0.06364361 -1175.8200234494955 -1481.2152375838352
2014-08-19 24.4727964928 120.70410641850003 0.06362509 -1175.8200222930682 -1481.2152382574784
2014-08-20 24.4727964797 120.704106406 0.06363268999999999 -1175.8200237497217 -1481.215239395394
2014-08-21 24.47279648 120.70410643859998 0.06363525 -1175.8200237163633 -1481.2152364277204
2014-08-22 24.4727964787 120.7041064348 0.06363503999999999 -1175.8200238609165 -1481.2152367736442
2014-08-23 24.4727964975 120.70410642449997 0.06363232 -1175.820021770452 -1481.2152377112864
2014-08-24 24.4727964917 120.70410642870002 0.06362945 -1175.8200224153827 -1481.2152373289434
2014-08-25 24.4727964946 120.7041064183 0.06363167 -1175.8200220929173 -1481.2152382756879
2014-08-26 24.4727964795 120.70410643499997 0.06362352 -1175.8200237719607 -1481.2152367554397
2014-08-27 24.472796491 120.704106449 0.06363436 -1175.820022493219 -1481.215235480976
2014-08-28 24.4727965039 120.70410643280002 0.06364327 -1175.8200210588045 -1481.2152369557082
2014-08-29 24.4727964858 120.7041064293 0.06363714000000001 -1175.8200230714326 -1481.2152372743253
2014-08-30 24.4727964905 120.70410643130003 0.06362816 -1175.8200225488167 -1481.215237092256
2014-08-31 24.47279648 120.7041064297 0.06363223 -1175.8200237163633 -1481.2152372379114
2014-09-01 24.4727964806 120.7041064371 0.0636298 -1175.8200236496464 -1481.2152365642685
2014-09-02 24.4727964864 120.70410641950002 0.06363418 -1175.8200230047157 -1481.2152381664464
2014-09-03 24.4727964865 120.70410640670002 0.06362604000000001 -1175.8200229935965 -1481.2152393316687
2014-09-04 24.472796475 120.70410642549996 0.06363813 -1175.820024272338 -1481.2152376202544
2014-09-05 24.4727965001 120.7041063876 0.06363185 -1175.8200214813453 -1481.2152410703998
2014-09-06 24.4727964932 120.70410642640002 0.06363925 -1175.8200222485902 -1481.2152375383193
2014-09-07 24.4727964764 120.70410645230004 0.06363774 -1175.820024116665 -1481.215235180563
2014-09-08 24.4727964973 120.70410643629998 0.06363057 -1175.8200217926913 -1481.215236637096
2014-09-09 24.4727964991 120.70410643740001 0.06363552 -1175.8200215925403 -1481.2152365369568
2014-09-10 24.4727965011 120.70410641929999 0.06363449 -1175.8200213701505 -1481.2152381846558
2014-09-11 24.4727965005 120.70410644239996 0.0636377 -1175.8200214368674 -1481.2152360817965
2014-09-12 24.4727964735 120.7041064338 0.06364036 -1175.8200244391303 -1481.2152368646762
2014-09-13 24.472796494 120.70410644079999 0.06363875000000001 -1175.8200221596342 -1481.215236227447
2014-09-14 24.4727964942 120.70410645870004 0.06363802 -1175.8200221373952 -1481.215234597952
