date lat lon z km_lat km_lon
2007-01-07 24.0283995177 120.8225670763 0.27778843999999997 -1225.2347113403766 -1470.4314115770053
2007-01-08 24.0283987235 120.82256852219996 0.27797268 -1225.2347996513872 -1470.4312799524237
2007-01-09 24.0283990414 120.82256810579997 0.27825309 -1225.23476430252 -1470.4313178585553
2007-01-12 24.0283985521 120.82256977899999 0.27887885999999995 -1225.2348187101977 -1470.4311655421716
2007-01-13 24.0283986917 120.82257065149997 0.27894045 -1225.2348031873858 -1470.4310861158983
2007-01-16 24.0427847042 120.6993910425 0.10969301000000001 -1223.635151582741 -1481.6444929861116
2007-01-17 24.0427847183 120.69939103720003 0.10969444 -1223.6351500148924 -1481.6444934685835
2007-01-18 24.0427847265 120.69939103000002 0.10969414999999999 -1223.635149103094 -1481.6444941240222
2007-01-19 24.0427847185 120.6993910315 0.10968958000000001 -1223.6351499926534 -1481.644493987474
2007-01-20 24.0427847169 120.69939103370001 0.10969066 -1223.6351501705649 -1481.6444937872006
2007-01-21 24.0427847177 120.6993910407 0.10968877 -1223.6351500816095 -1481.6444931499714
2007-01-22 24.0427847123 120.69939104010001 0.10969195000000001 -1223.6351506820617 -1481.6444932045895
2007-01-23 24.0427847163 120.6993910507 0.10969514 -1223.635150237282 -1481.6444922396408
2007-01-24 24.0427847246 120.6993910407 0.10969147 -1223.635149314364 -1481.6444931499714
2007-01-25 24.0427847166 120.69939104039997 0.10969441 -1223.6351502039236 -1481.644493177283
2007-01-26 24.0427847138 120.69939104779996 0.10969271 -1223.6351505152695 -1481.6444925036399
2007-01-27 24.0427847209 120.69939106929996 0.10968846 -1223.6351497257856 -1481.644490546431
2007-01-28 24.0427846829 120.69939105259999 0.10969243000000001 -1223.6351539511927 -1481.644492066679
2007-01-29 24.0427846972 120.69939105419996 0.10969169 -1223.6351523611054 -1481.6444919210287
2007-01-30 24.0427847181 120.6993910425 0.10969321 -1223.6351500371313 -1481.6444929861116
2007-01-31 24.0427846909 120.69939105879996 0.10969287 -1223.6351530616332 -1481.6444915022773
2007-02-01 24.0427847123 120.69939104579998 0.10969653 -1223.6351506820617 -1481.6444926857039
2007-02-02 24.0427846953 120.69939106699997 0.1096949 -1223.6351525723755 -1481.6444907558066
2007-02-03 24.0427847036 120.6993910749 0.10969589 -1223.6351516494578 -1481.6444900366423
2007-02-06 24.0427847111 120.69939106089998 0.10969092000000001 -1223.6351508154955 -1481.644491311106
2007-02-07 24.0427847035 120.6993910603 0.10969013 -1223.635151660577 -1481.6444913657242
2007-02-08 24.0427846835 120.69939107419998 0.10969487 -1223.6351538844758 -1481.6444901003676
2007-02-09 24.042784697 120.69939107330003 0.10970242000000001 -1223.6351523833443 -1481.6444901822924
2007-02-10 24.0427847222 120.69939106269999 0.1096898 -1223.635149581232 -1481.6444911472463
2007-02-11 24.0427846926 120.6993910644 0.1096979 -1223.6351528726018 -1481.6444909924887
2007-02-12 24.0427846987 120.69939106790002 0.10969602 -1223.6351521943127 -1481.6444906738716
2007-02-13 24.0427847137 120.69939107409999 0.10968998 -1223.6351505263888 -1481.6444901094699
2007-02-14 24.0427847131 120.69939107300002 0.10969625000000001 -1223.6351505931057 -1481.644490209604
2007-02-15 24.0427847154 120.6993910685 0.10969843 -1223.6351503373576 -1481.6444906192532
2007-02-16 24.0427847108 120.69939106519996 0.1097003 -1223.6351508488542 -1481.6444909196662
2007-02-17 24.0427847042 120.6993910695 0.10969490999999999 -1223.635151582741 -1481.6444905282212
2007-02-18 24.0427847113 120.69939106009997 0.10970004 -1223.6351507932566 -1481.6444913839337
2007-02-19 24.0427847079 120.69939109250004 0.10969561 -1223.6351511713194 -1481.6444884344592
2007-02-20 24.0427847278 120.69939108699998 0.10969347 -1223.6351489585404 -1481.6444889351455
2007-02-21 24.0427847044 120.69939106560003 0.10970461000000001 -1223.6351515605018 -1481.6444908832473
2007-02-22 24.0427846903 120.6993910713 0.1096941 -1223.6351531283503 -1481.6444903643617
2007-02-23 24.0427846959 120.69939107879998 0.10969107 -1223.6351525056587 -1481.6444896816163
2007-02-24 24.0427847013 120.69939105410003 0.10969324 -1223.635151905206 -1481.6444919301257
2007-02-25 24.0427847013 120.69939107699997 0.10970015999999999 -1223.635151905206 -1481.644489845476
2007-02-26 24.0427846994 120.69939107009998 0.10969577999999999 -1223.6351521164765 -1481.6444904736031
2007-02-27 24.042784711 120.69939107760001 0.10970065 -1223.6351508266152 -1481.6444897908527
2007-02-28 24.042784706 120.69939107319999 0.10969738999999999 -1223.63515138259 -1481.6444901913997
2007-03-01 24.0427846983 120.69939107059997 0.10969127000000001 -1223.6351522387909 -1481.6444904280872
2007-03-02 24.0427846986 120.6993910626 0.10969865 -1223.6351522054324 -1481.6444911563485
2007-03-03 24.0427847081 120.69939106690003 0.10969838 -1223.6351511490805 -1481.6444907649036
2007-03-04 24.0427847121 120.69939107690004 0.10969432999999999 -1223.6351507043007 -1481.644489854573
2007-03-05 24.0427847139 120.69939107510004 0.10969232 -1223.6351505041498 -1481.6444900184326
2007-03-06 24.042784709 120.699391075 0.10969804999999999 -1223.6351510490051 -1481.64449002754
2007-03-07 24.0427846962 120.6993910837 0.10968701 -1223.6351524723004 -1481.6444892355532
2007-03-08 24.042784697 120.69939107850001 0.10969134999999999 -1223.6351523833443 -1481.6444897089227
2007-03-09 24.0427846973 120.69939108389997 0.10969053 -1223.6351523499857 -1481.6444892173488
2007-03-10 24.0427846985 120.69939107560003 0.10968747999999999 -1223.635152216552 -1481.6444899729167
2007-03-11 24.0427847059 120.69939107840003 0.10969108 -1223.6351513937093 -1481.644489718025
2007-03-12 24.0427846921 120.6993910672 0.10969527 -1223.6351529281994 -1481.6444907375972
2007-03-13 24.0427847155 120.69939106920003 0.10969519 -1223.6351503262379 -1481.644490555528
2007-03-14 24.0427847221 120.69939106819999 0.10969681 -1223.6351495923516 -1481.644490646565
2007-03-15 24.042784732 120.69939107710002 0.10969795 -1223.6351484915217 -1481.6444898363686
2007-03-16 24.0427847263 120.69939107139999 0.10969172 -1223.6351491253329 -1481.6444903552594
2007-03-17 24.042784715 120.69939107050004 0.10969396999999999 -1223.6351503818355 -1481.6444904371842
2007-03-18 24.0427847324 120.69939106690003 0.1096922 -1223.6351484470435 -1481.6444907649036
2007-03-19 24.0427847352 120.69939105719999 0.10969857000000001 -1223.6351481356978 -1481.6444916479275
2007-03-20 24.0427847247 120.69939106570001 0.10969712 -1223.6351493032448 -1481.644490874145
2007-03-21 24.0427847005 120.69939108029996 0.1096929 -1223.635151994162 -1481.6444895450684
2007-03-22 24.0427847097 120.69939108699998 0.10969678999999999 -1223.6351509711685 -1481.6444889351455
2007-03-23 24.0427847029 120.69939105949999 0.10969624 -1223.635151727294 -1481.6444914385518
2007-03-24 24.0427846983 120.69939109020004 0.10970092 -1223.6351522387909 -1481.6444886438348
2007-03-25 24.0427847043 120.6993910836 0.10969649 -1223.6351515716212 -1481.6444892446555
2007-03-26 24.0427847125 120.6993910731 0.10969175 -1223.6351506598228 -1481.6444902005019
2007-03-27 24.0427847195 120.69939107710002 0.10970297999999999 -1223.6351498814586 -1481.6444898363686
2007-03-28 24.0427847139 120.69939108380004 0.10969947000000001 -1223.6351505041498 -1481.6444892264458
2007-03-29 24.0427846962 120.69939109730001 0.10970205 -1223.6351524723004 -1481.6444879975033
