date lat lon z km_lat km_lon
2013-12-06 25.1172801535 121.40066791800001 0.22588152 -1104.156708917915 -1417.805169274221
2013-12-11 25.1172801551 121.4006679391 0.22588123999999998 -1104.156708740003 -1417.8051673534258
2013-12-13 25.1172801333 121.40066792569996 0.22587864 -1104.1567111640527 -1417.8051685732714
2013-12-14 25.117280163 121.40066790189996 0.22588461 -1104.1567078615633 -1417.8051707398563
2014-01-15 25.117280133 121.4006679364 0.22587898999999997 -1104.156711197411 -1417.8051675992153
2014-01-19 25.1172801148 121.40066794590001 0.22588093 -1104.1567132211587 -1417.805166734401
2014-01-20 25.1172801204 121.40066793799997 0.22587917 -1104.156712598467 -1417.8051674535652
2014-01-21 25.1172801293 121.4006679497 0.22587907999999998 -1104.1567116088324 -1417.8051663884771
2014-01-22 25.1172801107 121.40066796229996 0.22588312 -1104.1567136770577 -1417.8051652414645
2014-01-23 25.1172801357 121.4006679711 0.22587629999999997 -1104.1567108971847 -1417.8051644403702
2014-01-24 25.1172801307 121.40066795910002 0.22588464 -1104.1567114531595 -1417.805165532765
2014-01-25 25.1172801478 121.40066795899997 0.22588358 -1104.1567095517262 -1417.8051655418722
2014-01-26 25.1172801278 121.40066797060001 0.22587951 -1104.1567117756247 -1417.8051644858863
2014-01-27 25.1172801356 121.40066797200001 0.225881 -1104.1567109083041 -1417.8051643584404
2014-01-28 25.1172801323 121.40066795079997 0.22587705 -1104.1567112752475 -1417.805166288343
2014-01-29 25.1172801138 121.40066798609996 0.22588125 -1104.1567133323538 -1417.8051630748796
2014-01-30 25.1172801271 121.4006679625 0.22588133 -1104.1567118534613 -1417.805165223255
2014-01-31 25.1172801208 121.40066796539998 0.22587779 -1104.156712553989 -1417.805164959261
2014-02-01 25.1172801297 121.40066796420001 0.22588492999999998 -1104.1567115643543 -1417.8051650684974
2014-02-02 25.1172801388 121.40066797500003 0.22588644 -1104.1567105524803 -1417.8051640853391
2014-02-03 25.1172801553 121.40066796869996 0.22588587000000002 -1104.156708717764 -1417.8051646588533
2014-02-04 25.1172801505 121.4006679519 0.22588515 -1104.1567092514997 -1417.8051661882037
2014-02-05 25.1172801561 121.400667946 0.22588681 -1104.156708628808 -1417.8051667252987
2014-02-06 25.1172801348 121.40066796220003 0.22588013 -1104.15671099726 -1417.8051652505615
2014-02-07 25.1172801405 121.40066796630003 0.22588545 -1104.156710363449 -1417.805164877326
2014-02-08 25.117280144 121.4006679863 0.22588063 -1104.156709974267 -1417.8051630566702
2014-02-09 25.117280137 121.4006679766 0.22587145 -1104.1567107526312 -1417.805163939689
2014-02-10 25.117280133 121.4006679812 0.22587499 -1104.156711197411 -1417.8051635209376
2014-02-11 25.1172801364 121.40066799110002 0.22587559 -1104.156710819348 -1417.8051626197093
2014-02-12 25.1172801237 121.40066799030001 0.2258704 -1104.156712231524 -1417.805162692537
2014-02-13 25.1172801328 121.40066798550004 0.22586865 -1104.1567112196499 -1417.8051631294927
2014-02-14 25.1172801434 121.40066800249997 0.22587205 -1104.1567100409839 -1417.805161581938
2014-02-15 25.1172801458 121.40066797489999 0.22587394 -1104.156709774116 -1417.8051640944466
2014-02-16 25.1172801321 121.40066799049998 0.22587312 -1104.1567112974865 -1417.8051626743327
