date lat lon z km_lat km_lon
2012-08-20 23.9035054578 121.60184998390002 0.08824971999999999 -1239.122297169298 -1399.4909663128578
2012-08-21 23.9035054652 121.60184998240004 0.08826347 -1239.1222963464559 -1399.490966449406
2012-08-22 23.9035054651 121.60184996110002 0.08827043999999999 -1239.1222963575751 -1399.4909683884107
2012-08-23 23.9035054673 121.60184999879999 0.08826343 -1239.1222961129463 -1399.4909649564695
2012-08-24 23.9035054715 121.60185000820002 0.08826393 -1239.1222956459276 -1399.490964100757
2012-08-25 23.903505439 121.6018499996 0.08825472999999999 -1239.1222992597627 -1399.4909648836417
2012-08-26 23.9035054573 121.60185001410002 0.08825055000000001 -1239.1222972248956 -1399.490963563662
2012-08-27 23.9035054376 121.6018500138 0.08826156 -1239.1222994154357 -1399.4909635909737
2012-08-28 23.9035054651 121.60184999410001 0.08826473 -1239.1222963575751 -1399.490965384323
2012-08-29 23.903505457 121.601849974 0.08825278 -1239.1222972582539 -1399.4909672140864
2012-08-30 23.9035054599 121.60184996420003 0.0882593 -1239.1222969357889 -1399.4909681062072
2012-08-31 23.9035054338 121.60185000770002 0.08826458 -1239.1222998379765 -1399.4909641462732
2012-09-01 23.9035054678 121.60184997329998 0.08826201 -1239.122296057349 -1399.4909672778117
2012-09-02 23.9035054538 121.60185000579997 0.08825762000000001 -1239.1222976140778 -1399.4909643192402
2012-09-03 23.9035054339 121.60184999449996 0.08826183 -1239.1222998268568 -1399.4909653479144
2012-09-04 23.9035054639 121.6018500051 0.08825595 -1239.1222964910091 -1399.4909643829606
2012-09-05 23.9035054533 121.6018499955 0.08824868999999999 -1239.1222976696754 -1399.4909652568772
2012-09-06 23.903505451 121.60185000180002 0.08826366000000001 -1239.1222979254235 -1399.4909646833682
2012-09-07 23.9035054642 121.60184998980003 0.08826609 -1239.1222964576507 -1399.4909657757628
2012-09-08 23.9035054456 121.60185000370001 0.08825955 -1239.1222985258762 -1399.4909645104065
2012-09-09 23.9035054638 121.60184998149998 0.08825629 -1239.1222965021288 -1399.490966531341
2012-09-10 23.9035054619 121.60184997290003 0.08825803 -1239.122296713399 -1399.4909673142204
2012-09-11 23.9035054704 121.6018499827 0.08825664000000001 -1239.122295768242 -1399.4909664220995
2012-09-12 23.9035054241 121.6018500083 0.08825859 -1239.1223009165672 -1399.4909640916549
2012-09-13 23.9035054355 121.6018500015 0.08826439999999999 -1239.1222996489448 -1399.49096471068
2012-09-14 23.9035054801 121.60185001089997 0.08826495 -1239.1222946896512 -1399.4909638549727
2012-09-15 23.9035054571 121.60185002779997 0.08825445999999999 -1239.1222972471346 -1399.4909623165152
2012-09-16 23.9035054579 121.60184998919999 0.08825514 -1239.1222971581788 -1399.4909658303861
2012-09-17 23.9035054463 121.60185000729996 0.08825964 -1239.1222984480398 -1399.490964182692
2012-09-18 23.9035054628 121.60184999340004 0.08825913 -1239.1222966133237 -1399.4909654480434
2012-09-19 23.9035054848 121.6018499585 0.08826028 -1239.122294167035 -1399.490968625098
2012-09-20 23.9035054915 121.601849985 0.08825706999999999 -1239.1222934220293 -1399.4909662127238
2012-09-21 23.9035054754 121.6018499978 0.08825247 -1239.1222952122675 -1399.4909650475015
2012-09-22 23.9035054768 121.60184999210003 0.08825662 -1239.1222950565946 -1399.490965566387
2012-09-23 23.9035054849 121.60185001670004 0.08825309 -1239.1222941559158 -1399.4909633269747
2012-09-24 23.9035054712 121.60184997470003 0.08826223 -1239.1222956792863 -1399.4909671503608
2012-09-25 23.9035054824 121.6018499763 0.08824758 -1239.1222944339029 -1399.4909670047105
2012-09-26 23.9035054822 121.60184997479996 0.08825567 -1239.1222944561418 -1399.4909671412638
2012-09-27 23.9035054971 121.60184995220004 0.08826338 -1239.1222927993376 -1399.4909691986018
2012-09-28 23.9035054798 121.60184996650003 0.0882508 -1239.1222947230099 -1399.4909678968315
2012-09-29 23.9035054773 121.60184996730004 0.08825239 -1239.122295000997 -1399.490967824004
2012-09-30 23.9035054691 121.60184996600003 0.08826183 -1239.1222959127954 -1399.4909679423477
2012-10-01 23.90350546 121.60184997760001 0.08826139999999999 -1239.1222969246692 -1399.4909668863668
2012-10-02 23.9035054773 121.6018499832 0.08825989 -1239.122295000997 -1399.4909663765834
2012-10-03 23.9035054705 121.60184998709997 0.08826202999999999 -1239.1222957571224 -1399.4909660215576
2012-10-04 23.9035054788 121.60184998340003 0.08825830999999999 -1239.1222948342047 -1399.490966358374
2012-10-05 23.9035054912 121.60184997880003 0.08825301 -1239.1222934553875 -1399.4909667771253
2012-10-06 23.9035054749 121.60184996219999 0.08825928999999999 -1239.1222952678647 -1399.4909682882765
2012-10-07 23.903505485 121.60184995489999 0.08825008 -1239.1222941447961 -1399.4909689528174
2012-10-08 23.9035054994 121.60184998620002 0.08825534 -1239.122292543589 -1399.4909661034822
2012-10-09 23.9035054832 121.6018499621 0.08825362 -1239.122294344947 -1399.4909682973787
2012-10-10 23.9035054912 121.60184999030002 0.08825072 -1239.1222934553875 -1399.490965730247
2012-10-11 23.9035054929 121.6018499832 0.08825963 -1239.1222932663563 -1399.4909663765834
2012-10-12 23.9035054854 121.60184999720002 0.08825857999999999 -1239.1222941003182 -1399.4909651021196
2012-10-13 23.9035054998 121.60184997019996 0.08825422000000001 -1239.1222924991112 -1399.4909675600152
2012-10-14 23.9035054957 121.6018499621 0.08825318 -1239.1222929550106 -1399.4909682973787
2012-10-15 23.9035054891 121.60184999850003 0.08825910000000001 -1239.1222936888971 -1399.490964983776
