date lat lon z km_lat km_lon
2015-01-01 25.1640082853 121.56548583969999 0.7449860700000001 -1098.960777730177 -1402.801302720909
2015-01-02 25.1640082951 121.56548586580004 0.7449978599999999 -1098.9607766404665 -1402.8013003449432
2015-01-03 25.1640083098 121.56548586119999 0.74499995 -1098.960775005901 -1402.8013007636998
2015-01-04 25.1640083019 121.56548587370003 0.74499945 -1098.9607758843408 -1402.8012996257842
2015-01-05 25.1640083203 121.56548584339998 0.74499706 -1098.9607738383545 -1402.8013023840874
2015-01-06 25.1640083237 121.565485862 0.74500009 -1098.9607734602916 -1402.8013006908723
2015-01-07 25.1640083141 121.56548584789999 0.74500587 -1098.960774527763 -1402.801301974438
2015-01-08 25.1640082763 121.56548583070003 0.74499929 -1098.9607787309312 -1402.8013035402023
2015-01-09 25.1640083104 121.56548585170003 0.74500242 -1098.9607749391841 -1402.8013016285092
2015-01-10 25.1640082792 121.56548586470001 0.74500042 -1098.9607784084658 -1402.8013004450827
2015-01-11 25.164008275 121.56548588659996 0.74499526 -1098.9607788754845 -1402.8012984514648
2015-01-12 25.1640082843 121.56548587060001 0.7449968699999999 -1098.9607778413717 -1402.8012999079874
2015-01-13 25.1640083179 121.5654858698 0.74500263 -1098.9607741052223 -1402.8012999808152
2015-01-14 25.1640082722 121.56548584379999 0.74499871 -1098.9607791868302 -1402.8013023476735
2015-01-15 25.1640083103 121.56548587090003 0.74499832 -1098.9607749503034 -1402.8012998806757
2015-01-16 25.1640082936 121.5654858584 0.7449995300000001 -1098.960776807259 -1402.8013010185916
2015-01-17 25.1640082962 121.56548585489998 0.74499069 -1098.9607765181522 -1402.8013013372088
2015-01-18 25.1640082833 121.56548583979998 0.74500206 -1098.9607779525668 -1402.8013027118068
2015-01-19 25.1640082965 121.56548586229997 0.74499134 -1098.9607764847935 -1402.8013006635656
2015-01-20 25.1640083091 121.56548586919996 0.74499702 -1098.9607750837374 -1402.8013000354385
2015-01-21 25.1640082981 121.56548587270004 0.74499405 -1098.9607763068816 -1402.8012997168162
2015-01-22 25.1640083029 121.56548590030002 0.7449936699999999 -1098.960775773146 -1402.8012972043075
2015-01-23 25.1640082953 121.56548590850002 0.74499965 -1098.9607766182276 -1402.8012964578368
2015-01-24 25.1640083315 121.5654858954 0.74499751 -1098.9607725929711 -1402.8012976503708
2015-01-25 25.1640083288 121.565485895 0.74499868 -1098.9607728931974 -1402.8012976867844
2015-01-26 25.1640083168 121.5654858661 0.74500515 -1098.9607742275366 -1402.8013003176368
2015-01-27 25.1640083106 121.56548587980001 0.74500858 -1098.9607749169452 -1402.8012990704847
2015-01-28 25.1640082811 121.56548589199997 0.74500816 -1098.9607781971956 -1402.8012979598857
2015-01-29 25.1640083091 121.56548589639999 0.7450120100000001 -1098.9607750837374 -1402.8012975593388
2015-01-30 25.1640083054 121.5654859005 0.7450072 -1098.9607754951587 -1402.8012971861033
2015-01-31 25.1640083054 121.56548589609997 0.74500225 -1098.9607754951587 -1402.8012975866504
2015-02-01 25.1640082983 121.56548588819999 0.7450064200000001 -1098.9607762846426 -1402.8012983058095
2015-02-02 25.1640083104 121.56548589120001 0.7450030900000001 -1098.9607749391841 -1402.8012980327082
2015-02-03 25.1640083057 121.565485879 0.7450019099999999 -1098.9607754618 -1402.8012991433122
2015-02-04 25.1640082999 121.56548589110002 0.74501063 -1098.9607761067307 -1402.8012980418105
2015-02-05 25.1640083062 121.56548587629999 0.74500704 -1098.9607754062029 -1402.8012993891018
2015-02-06 25.1640083086 121.5654858904 0.74500944 -1098.960775139335 -1402.801298105536
2015-02-07 25.1640082986 121.56548589689999 0.74500849 -1098.9607762512844 -1402.8012975138226
2015-02-08 25.1640083061 121.56548589010004 0.7450018199999999 -1098.960775417322 -1402.8012981328425
2015-02-09 25.1640082869 121.56548588250001 0.74501071 -1098.960777552265 -1402.801298824695
2015-02-10 25.164008308 121.56548589249996 0.7450059099999999 -1098.960775206052 -1402.8012979143698
2015-02-11 25.1640083023 121.56548592759998 0.74499768 -1098.960775839863 -1402.8012947191107
2015-02-12 25.164008291 121.56548592349998 0.74500082 -1098.960777096366 -1402.8012950923462
2015-02-13 25.1640082978 121.56548592820002 0.74500354 -1098.9607763402403 -1402.8012946644874
2015-02-14 25.1640083035 121.56548592709999 0.74500207 -1098.9607757064289 -1402.8012947646268
2015-02-15 25.1640083062 121.5654858959 0.74500802 -1098.9607754062029 -1402.8012976048547
2015-02-16 25.1640083082 121.56548590130001 0.74500391 -1098.960775183813 -1402.8012971132755
2015-02-17 25.1640083247 121.5654858753 0.74500556 -1098.9607733490968 -1402.8012994801338
2015-02-18 25.1640083165 121.56548591889998 0.74499874 -1098.9607742608953 -1402.8012955110976
2015-02-19 25.1640083027 121.56548591410001 0.74499153 -1098.960775795385 -1402.8012959480534
2015-02-20 25.1640083034 121.56548591349997 0.74499894 -1098.9607757175486 -1402.8012960026767
2015-02-21 25.1640083058 121.5654859219 0.74500367 -1098.9607754506808 -1402.8012952379963
2015-02-22 25.164008322 121.56548592180002 0.745004 -1098.9607736493228 -1402.8012952470986
2015-02-23 25.1640083337 121.56548591620003 0.74500836 -1098.9607723483423 -1402.801295756882
2015-02-24 25.1640083352 121.5654859439 0.74499785 -1098.96077218155 -1402.8012932352713
2015-02-25 25.1640083496 121.56548595589999 0.7450033899999999 -1098.960770580343 -1402.8012921428767
2015-02-26 25.1640083115 121.5654859188 0.7450136199999999 -1098.9607748168694 -1402.8012955201998
2015-02-27 25.1640083027 121.56548593299999 0.74500917 -1098.960775795385 -1402.8012942275316
2015-02-28 25.1640083349 121.56548592959996 0.74500336 -1098.9607722149085 -1402.8012945370467
2015-03-01 25.1640083101 121.5654859201 0.7450065499999999 -1098.9607749725424 -1402.8012954018561
2015-03-02 25.1640083157 121.56548592620004 0.7450126 -1098.9607743498511 -1402.8012948465514
2015-03-03 25.1640083224 121.56548592939998 0.74500575 -1098.960773604845 -1402.8012945552512
2015-03-04 25.1640083248 121.56548591529997 0.74501104 -1098.9607733379771 -1402.801295838817
2015-03-05 25.1640083139 121.56548593669999 0.7450163599999999 -1098.960774550002 -1402.8012938907102
2015-03-06 25.1640083165 121.5654859274 0.74501469 -1098.9607742608953 -1402.8012947373152
2015-03-07 25.1640083289 121.5654859444 0.7450122 -1098.9607728820781 -1402.8012931897554
2015-03-08 25.1640083389 121.56548598120003 0.74501489 -1098.9607717701288 -1402.8012898397387
2015-03-09 25.1640083252 121.56548590720001 0.7449991199999999 -1098.9607732934992 -1402.8012965761804
2015-03-10 25.1640083086 121.56548593310004 0.7450105600000001 -1098.960775139335 -1402.8012942184243
2015-03-11 25.1640083064 121.56548592850004 0.7450202699999999 -1098.960775383964 -1402.8012946371757
2015-03-12 25.1640083196 121.56548593100001 0.7450173499999999 -1098.9607739161906 -1402.8012944095958
2015-03-13 25.1640083085 121.565485932 0.74500595 -1098.9607751504543 -1402.8012943185636
2015-03-14 25.1640083163 121.56548594920002 0.74499989 -1098.9607742831342 -1402.8012927527943
2015-03-15 25.1640082889 121.565485954 0.7450018 -1098.960777329875 -1402.8012923158385
2015-03-16 25.1640083204 121.56548592579998 0.7450096700000001 -1098.9607738272348 -1402.8012948829705
2015-03-17 25.1640083072 121.56548592219997 0.7450114600000001 -1098.960775295008 -1402.80129521069
2015-03-18 25.1640083224 121.56548593399998 0.7449981800000001 -1098.960773604845 -1402.8012941364996
2015-03-19 25.1640083111 121.56548594419996 0.74499878 -1098.9607748613475 -1402.8012932079648
2015-03-20 25.1640083128 121.5654859371 0.74500006 -1098.9607746723163 -1402.8012938542963
2015-03-21 25.1640083161 121.5654859261 0.74500809 -1098.9607743053732 -1402.8012948556589
2015-03-22 25.1640083038 121.56548595480001 0.74499022 -1098.9607756730707 -1402.801292243011
2015-03-23 25.1640082831 121.56548593880001 0.74498964 -1098.9607779748058 -1402.8012936995387
2015-03-24 25.1640082943 121.56548593319997 0.74498604 -1098.9607767294224 -1402.8012942093274
2015-03-25 25.1640082834 121.56548595039999 0.7449970499999999 -1098.960777941447 -1402.801292643558
2015-03-26 25.1640083005 121.5654859471 0.7450104599999999 -1098.9607760400138 -1402.8012929439658
2015-03-27 25.1640082893 121.56548591900003 0.74500148 -1098.9607772853972 -1402.8012955019904
2015-03-28 25.1640083074 121.56548594489999 0.74499693 -1098.9607752727688 -1402.8012931442393
2015-03-29 25.1640082968 121.56548593690002 0.7449910599999999 -1098.9607764514353 -1402.8012938725005
