name lat lon begin end
00NA -12.4666 130.844 2008-03-27 2018-09-25
01NA -12.4782 130.98199999999997 2008-04-08 2019-09-29
02NA -12.3559 130.88170000000002 2008-09-22 2016-12-31
0ABI 68.3543 18.816399999999987 2009-06-11 2024-08-24
0ABN 65.0337 21.332899999999995 2023-04-05 2024-08-24
0ABY 58.6589 16.179599999999994 2015-04-10 2024-08-24
0AKE 59.4814 18.301999999999992 2010-08-25 2024-08-24
0ALE 62.7805 16.0137 2015-12-14 2024-08-24
0ALF 61.3445 16.064899999999994 2005-11-21 2024-08-24
0ALI 57.9295 12.527800000000013 2011-02-10 2024-08-24
0ALM 59.8663 18.07079999999999 2002-04-20 2024-08-24
0ALN 65.1321 21.0206 2023-04-05 2024-08-24
0ALS 56.9466 15.907199999999989 2018-10-19 2024-08-24
0ALV 61.231 14.03710000000001 2005-11-23 2024-04-19
0AMB 60.5102 13.151199999999989 2015-05-09 2024-08-24
0AME 58.8703 15.000200000000007 2009-07-16 2024-08-24
0AMM 65.9582 16.205700000000007 2008-01-31 2024-08-24
0AMS 64.5325 19.34989999999999 2016-05-05 2024-08-24
0ANA 62.6426 14.371700000000004 2007-09-06 2024-08-24
0ANE 57.8343 14.814600000000013 2004-02-17 2016-09-28
0ANG 62.5254 15.659600000000012 2007-09-04 2024-08-24
0ANS 64.2759 21.043000000000006 2015-04-22 2024-08-24
0ARA 59.6594 12.599999999999994 2017-02-09 2024-08-24
0ARB 59.397 15.834599999999995 2011-06-16 2024-08-24
0ARD 58.3608 13.33680000000001 2012-04-16 2024-08-24
0ARH 59.8609 19.125699999999995 2002-09-09 2007-01-16
0ARJ 66.318 18.124899999999997 1994-01-23 2024-08-24
0ARK 58.4833 16.962700000000012 2013-09-23 2019-08-25
0ART 66.0494 17.8416 2007-05-30 2024-08-24
0ARV 65.5933 19.172500000000014 2007-05-30 2024-08-24
0ASA 58.2417 12.423100000000005 2002-09-09 2020-08-02
0ASD 57.1712 15.350200000000001 2013-04-25 2024-08-24
0ASE 64.1608 17.356400000000008 2007-08-28 2024-08-24
0AST 56.1373 12.951300000000003 2018-03-05 2024-08-24
0ATR 57.1205 12.949299999999994 2002-09-09 2024-08-24
0ATT 57.8582 14.122199999999992 2019-04-25 2024-08-24
0ATV 58.1989 16.002499999999998 2015-04-24 2024-08-24
0AVI 65.5453 21.804599999999994 2023-03-29 2024-08-24
0AZ1 57.7732 12.779799999999994 2018-12-13 2024-08-24
0BAG 57.7209 12.018799999999999 2004-10-27 2012-12-19
0BAS 64.7927 20.036699999999996 2006-06-22 2024-08-24
0BEB 64.7207 21.084000000000003 2019-08-22 2024-08-24
0BEF 59.0447 12.22829999999999 2014-03-18 2024-08-24
0BEN 65.5711 22.090900000000005 2023-02-02 2024-08-24
0BER 62.4142 17.22970000000001 2015-12-15 2023-09-12
0BIE 59.0878 16.211700000000008 2002-04-20 2024-08-24
0BIP 63.0273 16.625200000000007 2015-01-28 2024-08-24
0BIS 57.7251 11.891899999999993 2010-12-15 2024-08-24
0BJA 56.296 13.705399999999997 2012-01-05 2021-08-31
0BJO 59.2403 14.259899999999988 2002-04-20 2024-08-24
0BJU 64.4806 21.574900000000014 2006-07-06 2024-08-24
0BKI 58.243 15.66579999999999 2013-11-26 2024-08-24
0BLA 57.5804 16.515199999999993 2004-09-29 2024-08-24
0BLG 67.1804 20.5942 2022-10-14 2024-08-24
0BLI 59.6267 18.90039999999999 2013-03-01 2024-08-24
0BMO 63.9221 16.335000000000008 2013-12-09 2019-01-23
0BOD 57.247 17.058699999999988 2004-09-29 2021-02-11
0BOR 57.715 12.891400000000004 1995-12-15 2024-08-24
0BOS 64.267 20.227300000000014 2015-11-12 2021-07-06
0BOT 63.1353 17.716999999999985 2015-04-09 2016-11-08
0BRA 64.3483 20.978499999999997 2019-07-02 2024-08-24
0BRO 59.5135 17.63409999999999 2017-12-07 2024-08-24
0BRU 57.73 11.972100000000012 2017-12-21 2024-08-24
0BST 56.4281 12.848299999999995 2011-10-11 2024-08-24
0BTT 57.773 13.824099999999987 2019-04-24 2024-08-24
0BUE 64.6209 21.20410000000001 2019-09-11 2024-08-24
0BUG 57.6666 12.405599999999993 2018-02-28 2024-08-24
0BUR 64.5173 20.65870000000001 2006-06-22 2024-08-24
