date lat lon z km_lat km_lon
2007-01-01 24.9976560578 121.44210921460001 0.03107196 -1117.4583014641983 -1414.032644553794
2007-01-02 24.9976560469 121.442109227 0.03107749 -1117.4583026762227 -1414.0326434249855
2007-01-03 24.9976560438 121.44210921359999 0.031076509999999998 -1117.4583030209274 -1414.0326446448285
2007-01-04 24.9976560447 121.4421092163 0.03106992 -1117.4583029208516 -1414.0326443990389
2007-01-05 24.9976560391 121.4421092257 0.03107246 -1117.4583035435433 -1414.0326435433292
2007-01-06 24.9976560534 121.442109224 0.03106812 -1117.458301953456 -1414.032643698084
2007-01-07 24.9976560273 121.44210924020001 0.031071909999999998 -1117.4583048556435 -1414.0326422233493
2007-01-08 24.9976560313 121.442109236 0.03106731 -1117.4583044108638 -1414.0326426056895
2007-01-09 24.9976560724 121.44210923770001 0.03106561 -1117.458299840752 -1414.032642450932
2007-01-10 24.9976560764 121.4421092305 0.03107214 -1117.4582993959727 -1414.0326431063709
2007-01-11 24.9976560387 121.44210921210001 0.031068850000000002 -1117.4583035880212 -1414.0326447813766
2007-01-12 24.9976560398 121.4421092272 0.03106645 -1117.458303465707 -1414.0326434067786
2007-01-13 24.9976560436 121.4421092387 0.03107195 -1117.4583030431663 -1414.0326423599
2007-01-14 24.9976560516 121.4421092348 0.03107714 -1117.4583021536068 -1414.0326427149284
2007-01-15 24.9976560396 121.4421092449 0.03107048 -1117.458303487946 -1414.0326417954957
2007-01-16 24.9976560446 121.44210922939999 0.031068190000000002 -1117.4583029319713 -1414.0326432065076
2007-01-17 24.9976560458 121.4421092328 0.03107762 -1117.4583027985375 -1414.0326428969952
2007-01-18 24.9976560458 121.4421092364 0.03107083 -1117.4583027985375 -1414.0326425692756
2007-01-19 24.9976560325 121.4421092481 0.03107567 -1117.4583042774298 -1414.0326415041902
2007-01-20 24.9976560502 121.44210924640001 0.031058620000000002 -1117.4583023092796 -1414.032641658945
2007-01-21 24.9976560344 121.44210924309999 0.03106481 -1117.4583040661596 -1414.0326419593555
2007-01-22 24.9976560523 121.4421092456 0.03107237 -1117.45830207577 -1414.0326417317729
2007-01-23 24.9976560362 121.4421092597 0.031071619999999998 -1117.4583038660087 -1414.0326404482068
2007-01-24 24.9976560478 121.44210924590001 0.031066680000000003 -1117.4583025761476 -1414.0326417044612
2007-01-25 24.9976560418 121.4421092542 0.03106528 -1117.4583032433172 -1414.0326409488882
2007-01-26 24.9976560597 121.4421092465 0.03106673 -1117.458301252928 -1414.032641649843
2007-01-27 24.9976560569 121.44210927099999 0.03106577 -1117.4583015642738 -1414.0326394195354
2007-01-28 24.9976560133 121.44210925690001 0.031071249999999998 -1117.4583064123726 -1414.0326407030987
2007-01-29 24.9976560189 121.4421092703 0.03107367 -1117.458305789681 -1414.0326394832582
2007-01-30 24.9976560596 121.44210926150001 0.03107197 -1117.4583012640473 -1414.0326402843473
2007-01-31 24.9976560216 121.44210926529999 0.03106135 -1117.4583054894545 -1414.0326399384235
2007-02-01 24.9976560459 121.44210926279999 0.03106859 -1117.4583027874178 -1414.032640166006
2007-02-02 24.9976560301 121.442109287 0.03107585 -1117.4583045442978 -1414.0326379630076
2007-02-03 24.9976560301 121.4421092837 0.0310758 -1117.4583045442978 -1414.0326382634153
2007-02-04 24.9976560097 121.4421092712 0.03107985 -1117.4583068126744 -1414.0326394013284
2007-02-05 24.9976560094 121.44210928609999 0.03107507 -1117.4583068460327 -1414.0326380449374
2007-02-06 24.9976560356 121.44210926849999 0.03106992 -1117.4583039327258 -1414.032639647118
2007-02-07 24.9976560329 121.44210929810001 0.031067360000000002 -1117.4583042329518 -1414.03263695254
2007-02-08 24.9976560073 121.44210927309999 0.03106787 -1117.4583070795418 -1414.0326392283664
2007-02-09 24.9976560354 121.4421092892 0.0310862 -1117.4583039549648 -1414.0326377627339
2007-02-10 24.9976560447 121.44210927590001 0.0310717 -1117.4583029208516 -1414.032638973472
2007-02-11 24.9976560089 121.4421092806 0.03107739 -1117.4583069016298 -1414.0326385456185
