date lat lon z km_lat km_lon
2013-12-06 24.1492099452 121.66189951269999 0.038782899999999995 -1211.8012047166164 -1394.0244787645922
2013-12-11 24.1492099455 121.6618995568 0.03879405 -1211.8012046832578 -1394.0244747500374
2013-12-13 24.1492099364 121.6618995067 0.03878334 -1211.8012056951318 -1394.0244793107895
2013-12-14 24.1492099738 121.6618995012 0.038782 -1211.801201536441 -1394.0244798114709
2014-01-15 24.1492099494 121.6618995074 0.03876869 -1211.8012042495975 -1394.0244792470667
2014-01-19 24.1492099288 121.66189951109999 0.03878094 -1211.801206540213 -1394.024478910245
2014-01-20 24.1492099389 121.6618995069 0.0387819 -1211.8012054171443 -1394.0244792925826
2014-01-21 24.1492099423 121.66189952319999 0.0387805 -1211.8012050390814 -1394.0244778087458
2014-01-22 24.149209937 121.6618995273 0.03878843 -1211.801205628415 -1394.0244774355103
2014-01-23 24.1492099335 121.6618995183 0.0387819 -1211.801206017597 -1394.0244782548064
2014-01-24 24.1492099491 121.66189952139999 0.038773510000000004 -1211.801204282956 -1394.0244779726054
2014-01-25 24.1492099518 121.6618995272 0.03877933 -1211.8012039827297 -1394.0244774446126
2014-01-26 24.1492099509 121.66189953130001 0.03878519 -1211.801204082805 -1394.024477071377
2014-01-27 24.1492099388 121.6618995408 0.0387818 -1211.801205428264 -1394.0244762065652
2014-01-28 24.1492099512 121.66189951140001 0.03877962 -1211.8012040494468 -1394.0244788829334
2014-01-29 24.1492099398 121.661899538 0.038773829999999995 -1211.801205317069 -1394.024476461457
2014-01-30 24.1492099287 121.66189951070001 0.03876214 -1211.8012065513326 -1394.0244789466562
2014-01-31 24.1492099286 121.6618995211 0.03877352 -1211.8012065624519 -1394.0244779999146
2014-02-01 24.1492099486 121.6618994962 0.03876682 -1211.8012043385536 -1394.0244802666361
2014-02-02 24.1492099617 121.66189952529999 0.03880052 -1211.8012028819 -1394.0244776175768
2014-02-03 24.1492099391 121.66189955019999 0.038782899999999995 -1211.8012053949053 -1394.0244753508555
