date lat lon z km_lat km_lon
2007-01-01 24.0660523429 120.5573038629 0.10904694999999999 -1221.047908204302 -1494.579112350719
2007-01-02 24.0660523247 120.55730386260001 0.10905331 -1221.04791022805 -1494.579112378028
2007-01-03 24.0660523337 120.5573038444 0.1090527 -1221.0479092272953 -1494.5791140348294
2007-01-04 24.0660523232 120.5573038649 0.10904722 -1221.0479103948421 -1494.5791121686523
2007-01-05 24.0660523126 120.55730387649999 0.10904865999999999 -1221.0479115735084 -1494.5791111126716
2007-01-06 24.0660523314 120.55730386639999 0.10905125 -1221.0479094830437 -1494.5791120321044
2007-01-07 24.0660523107 120.5573038723 0.10904912 -1221.0479117847785 -1494.579111495009
2007-01-08 24.0660523161 120.55730387739999 0.10904886000000001 -1221.0479111843263 -1494.5791110307418
2007-01-09 24.0660523364 120.55730388129999 0.10904989000000001 -1221.0479089270693 -1494.5791106757133
2007-01-10 24.0660523375 120.55730387809999 0.10904598 -1221.0479088047548 -1494.5791109670188
2007-01-11 24.0660523196 120.5573038558 0.10904805000000001 -1221.047910795144 -1494.579112997053
2007-01-12 24.0660523111 120.5573038778 0.10905034999999999 -1221.0479117403006 -1494.579110994328
2007-01-13 24.0660523336 120.55730387610001 0.10905371999999999 -1221.047909238415 -1494.5791111490828
2007-01-14 24.0660523299 120.55730386159999 0.10904853 -1221.0479096498361 -1494.5791124690627
2007-01-15 24.0660523183 120.55730388520001 0.10905045 -1221.0479109396974 -1494.5791103206823
2007-01-16 24.0660523158 120.5573038798 0.10905399 -1221.0479112176845 -1494.5791108122612
2007-01-17 24.0660523101 120.5573038949 0.10905172 -1221.0479118514954 -1494.5791094376634
2007-01-18 24.0660523192 120.5573038796 0.10906113 -1221.0479108396219 -1494.5791108304682
2007-01-19 24.0660523213 120.5573038791 0.10905195999999999 -1221.0479106061127 -1494.5791108759843
2007-01-20 24.0660523383 120.5573038896 0.10905225 -1221.0479087157987 -1494.5791099201376
2007-01-21 24.0660523247 120.5573038896 0.10904699999999999 -1221.04791022805 -1494.5791099201376
2007-01-22 24.0660523321 120.5573038958 0.10904721 -1221.0479094052073 -1494.5791093557334
2007-01-23 24.0660523198 120.557303897 0.10905356999999999 -1221.0479107729047 -1494.5791092464945
2007-01-24 24.0660523443 120.55730388840001 0.10905308 -1221.047908048629 -1494.5791100293766
2007-01-25 24.0660523284 120.55730389280001 0.10904727 -1221.0479098166284 -1494.5791096288322
2007-01-26 24.0660523307 120.55730389440001 0.10904209000000001 -1221.0479095608803 -1494.5791094831793
2007-01-27 24.0660523205 120.55730391 0.10905371999999999 -1221.0479106950686 -1494.5791080630654
2007-01-28 24.0660523065 120.55730389120001 0.10905006 -1221.0479122517972 -1494.579109774485
2007-01-29 24.0660523076 120.5573039027 0.10905084999999999 -1221.0479121294832 -1494.5791087276064
2007-01-30 24.0660523428 120.55730389600001 0.10904606 -1221.0479082154218 -1494.5791093375265
2007-01-31 24.0660523098 120.5573039009 0.10904533999999999 -1221.047911884854 -1494.5791088914661
2007-02-01 24.0660523203 120.55730390080001 0.10905585999999999 -1221.0479107173076 -1494.5791089005681
2007-02-02 24.0660523118 120.55730392859999 0.10905741999999999 -1221.0479116624642 -1494.5791063698528
2007-02-03 24.0660523159 120.55730392909999 0.10904762 -1221.0479112065652 -1494.5791063243369
2007-02-04 24.0660522971 120.5573039118 0.10905781 -1221.0479132970297 -1494.5791078992056
2007-02-05 24.0660522996 120.55730393069999 0.10906511 -1221.0479130190427 -1494.579106178684
2007-02-06 24.066052322 120.55730392109999 0.10905756999999999 -1221.047910528276 -1494.5791070526006
2007-02-07 24.0660523106 120.55730391200001 0.1090552 -1221.0479117958982 -1494.5791078809987
2007-02-08 24.0660522967 120.5573039153 0.10905096 -1221.0479133415076 -1494.579107580591
2007-02-09 24.0660523134 120.5573039246 0.10906555 -1221.0479114845525 -1494.5791067339835
2007-02-10 24.0660523252 120.55730393030001 0.10905335 -1221.0479101724522 -1494.5791062150952
2007-02-11 24.0660522955 120.55730393069999 0.10905988999999999 -1221.0479134749417 -1494.579106178684
2007-02-12 24.0660523023 120.5573039356 0.10905286 -1221.047912718816 -1494.579105732621
2007-02-13 24.0660523266 120.55730393959999 0.10905158 -1221.0479100167793 -1494.5791053684902
2007-02-14 24.066052315 120.55730393370001 0.10905113 -1221.0479113066406 -1494.5791059055828
2007-02-15 24.0660523165 120.55730392359999 0.10905825 -1221.0479111398483 -1494.579106825018
2007-02-16 24.0660523149 120.55730392550001 0.10906342 -1221.0479113177603 -1494.5791066520535
2007-02-17 24.0660523042 120.5573039269 0.10905489 -1221.0479125075458 -1494.5791065246078
2007-02-18 24.0660523033 120.55730390720001 0.10906241 -1221.0479126076211 -1494.5791083179572
2007-02-19 24.0660523162 120.5573039505 0.10905308 -1221.0479111732066 -1494.57910437623
2007-02-20 24.0660523227 120.5573039299 0.10905763 -1221.0479104504398 -1494.579106251509
2007-02-21 24.0660523151 120.5573039281 0.10905920000000001 -1221.0479112955213 -1494.5791064153689
2007-02-22 24.0660522974 120.55730393889999 0.10905250999999999 -1221.0479132636715 -1494.5791054322133
2007-02-23 24.0660522858 120.5573039278 0.10905867000000001 -1221.0479145535323 -1494.5791064426778
2007-02-24 24.0660522958 120.55730392340001 0.10905859 -1221.0479134415832 -1494.5791068432225
2007-02-25 24.0660522904 120.5573039253 0.10905992 -1221.047914042036 -1494.5791066702604
2007-02-26 24.066052291 120.5573039281 0.10906486 -1221.047913975319 -1494.5791064153689
2007-02-27 24.0660523207 120.55730394310001 0.10905885000000001 -1221.0479106728296 -1494.579105049873
2007-02-28 24.0660523025 120.55730393210001 0.1090531 -1221.047912696577 -1494.5791060512356
2007-03-01 24.0660523017 120.5573039274 0.10905188 -1221.047912785533 -1494.5791064790917
2007-03-02 24.0660523075 120.55730390810001 0.10905226 -1221.0479121406024 -1494.5791082360272
2007-03-03 24.0660522989 120.55730393179999 0.10905804999999999 -1221.0479130968788 -1494.5791060785473
2007-03-04 24.0660523078 120.5573039551 0.10906458000000001 -1221.047912107244 -1494.5791039574785
2007-03-08 24.0660522922 120.55730392890001 0.10905066 -1221.047913841885 -1494.579106342541
2007-03-09 24.0660523041 120.55730393959999 0.10904827 -1221.047912518665 -1494.5791053684902
2007-03-10 24.0660522974 120.557303937 0.10904885 -1221.0479132636715 -1494.579105605175
2007-03-11 24.0660523012 120.5573039311 0.10905123 -1221.0479128411307 -1494.5791061422701
2007-03-12 24.0660522892 120.5573039237 0.10905182999999999 -1221.0479141754695 -1494.5791068159133
2007-03-13 24.0660523114 120.5573039246 0.10905844 -1221.0479117069424 -1494.5791067339835
2007-03-14 24.0660523106 120.55730392870001 0.10906372 -1221.0479117958982 -1494.579106360748
2007-03-15 24.0660523249 120.5573039503 0.10904864 -1221.047910205811 -1494.5791043944369
2007-03-16 24.0660523261 120.55730391949999 0.10906091000000001 -1221.047910072377 -1494.5791071982535
