date lat lon z km_lat km_lon
2012-08-22 23.2131823505 121.28057437109999 0.25120448 -1315.8827244465656 -1428.7376427153185
2012-08-23 23.2131823431 121.2805744122 0.25121513 -1315.8827252694077 -1428.7376389738622
2012-08-24 23.2131823327 121.2805743838 0.25120213 -1315.882726425835 -1428.7376415591984
2012-08-25 23.2131823505 121.2805743694 0.25120517000000003 -1315.8827244465656 -1428.7376428700734
2012-08-26 23.2131823448 121.2805743584 0.2512037 -1315.8827250803765 -1428.737643871436
2012-08-27 23.213182342 121.2805743584 0.25121199 -1315.8827253917225 -1428.737643871436
2012-08-28 23.2131823409 121.2805743555 0.25123028 -1315.8827255140366 -1428.7376441354324
2012-08-29 23.2131823472 121.2805743786 0.25120844999999997 -1315.8827248135087 -1428.7376420325706
2012-08-30 23.2131823738 121.2805743637 0.2512009 -1315.882721855724 -1428.7376433889617
2012-08-31 23.2131823713 121.28057437199999 0.25120704 -1315.882722133711 -1428.7376426333885
2012-09-01 23.213182389 121.28057434249999 0.25119241999999997 -1315.8827201655608 -1428.7376453188617
2012-09-02 23.2131823779 121.2805743767 0.25119571 -1315.8827213998245 -1428.7376422055324
2012-09-03 23.2131823551 121.28057435619999 0.25120583 -1315.882723935069 -1428.7376440717096
2012-09-04 23.2131823841 121.28057433960001 0.25119614 -1315.8827207104157 -1428.7376455828555
2012-09-05 23.2131823616 121.2805743708 0.25120783 -1315.8827232123017 -1428.7376427426275
2012-09-06 23.2131823659 121.2805743683 0.25120231 -1315.8827227341637 -1428.7376429702101
2012-09-07 23.2131823883 121.28057435189999 0.25119903 -1315.882720243397 -1428.7376444631518
2012-09-08 23.2131823722 121.28057434690001 0.25119867 -1315.8827220336357 -1428.7376449183146
2012-09-09 23.2131823725 121.2805743491 0.25119456 -1315.882722000277 -1428.7376447180436
2012-09-10 23.2131823887 121.28057432899999 0.25120481 -1315.882720198919 -1428.737646547807
2012-09-11 23.2131823867 121.2805743541 0.25119978 -1315.882720421309 -1428.7376442628783
2012-09-12 23.2131823725 121.28057437300001 0.2511994 -1315.882722000277 -1428.737642542354
2012-09-13 23.2131823624 121.28057433020001 0.25120212000000003 -1315.8827231233456 -1428.7376464385652
2012-09-14 23.2131824023 121.28057435599999 0.25119875999999997 -1315.8827186866683 -1428.7376440899163
2012-09-15 23.2131823695 121.28057434889999 0.25120198 -1315.882722333862 -1428.7376447362506
2012-09-16 23.2131823805 121.2805743186 0.25121161000000003 -1315.8827211107175 -1428.7376474945486
2012-09-17 23.2131823593 121.2805743452 0.25121033 -1315.8827234680502 -1428.7376450730721
2012-09-18 23.2131823917 121.28057434620001 0.2512015 -1315.8827198653346 -1428.7376449820374
2012-09-19 23.2131823727 121.2805743374 0.25121245999999997 -1315.882721978038 -1428.737645783129
2012-09-20 23.2131823822 121.2805743561 0.25120266 -1315.8827209216863 -1428.7376440808116
2012-09-21 23.2131823814 121.2805743552 0.25120971 -1315.8827210106424 -1428.7376441627416
2012-09-22 23.2131823834 121.28057436380001 0.25120617 -1315.8827207882525 -1428.7376433798568
2012-09-23 23.213182421 121.2805743614 0.25121819 -1315.8827166073233 -1428.7376435983374
2012-09-24 23.2131823838 121.28057433149999 0.25119667 -1315.8827207437746 -1428.7376463202243
2012-09-25 23.2131823682 121.2805743276 0.25120852 -1315.8827224784154 -1428.7376466752526
2012-09-26 23.2131823769 121.28057433859999 0.25119011 -1315.8827215110193 -1428.73764567389
2012-09-27 23.2131823799 121.28057432099999 0.25118635 -1315.8827211774346 -1428.7376472760707
2012-09-28 23.2131823751 121.2805743314 0.2512038 -1315.8827217111702 -1428.7376463293263
2012-09-29 23.2131823845 121.28057431229999 0.25120364 -1315.8827206659378 -1428.7376480680575
2012-09-30 23.213182369 121.28057430339999 0.25120766 -1315.8827223894596 -1428.7376488782513
2012-10-01 23.2131823872 121.2805743131 0.2512102 -1315.8827203657117 -1428.7376479952297
2012-10-02 23.2131823846 121.2805743173 0.25121422 -1315.8827206548185 -1428.7376476128923
2012-10-03 23.2131823877 121.28057433660001 0.25121166 -1315.882720310114 -1428.737645855954
2012-10-04 23.2131823755 121.28057430839999 0.25120979 -1315.8827216666923 -1428.737648423086
2012-10-05 23.2131823899 121.2805743218 0.25120804 -1315.8827200654855 -1428.737647203243
2012-10-06 23.2131823917 121.2805743061 0.25120960999999997 -1315.8827198653346 -1428.7376486324617
2012-10-07 23.2131823884 121.28057428560001 0.25121172999999997 -1315.8827202322777 -1428.7376504986362
2012-10-08 23.2131823947 121.2805743035 0.2512067 -1315.88271953175 -1428.7376488691466
2012-10-09 23.2131823894 121.2805742868 0.25121073 -1315.882720121083 -1428.7376503893972
