date lat lon z km_lat km_lon
2014-07-09 23.5984523437 121.519421854 0.03988899 -1273.0426558143417 -1406.9946446052604
2014-08-22 23.5984526006 121.51942174359999 0.03979208 -1273.042627248365 -1406.9946546553024
2014-09-19 23.5984526206 121.51942168119999 0.03982625 -1273.0426250244666 -1406.9946603357607
2014-09-20 23.5984526078 121.5194216907 0.03983032 -1273.042626447762 -1406.994659470946
2015-01-01 23.598452778 121.5194216756 0.039777810000000004 -1273.0426075223854 -1406.994660845544
2015-01-02 23.5984528007 121.5194216674 0.03977888 -1273.0426049982605 -1406.994661592015
2015-01-03 23.598452778 121.5194216697 0.0397859 -1273.0426075223854 -1406.9946613826392
2015-01-04 23.5984527757 121.51942168049999 0.039780720000000006 -1273.0426077781335 -1406.9946603994836
2015-01-05 23.5984527958 121.51942166660001 0.039781529999999996 -1273.0426055431155 -1406.9946616648401
2015-01-06 23.5984527881 121.51942167019999 0.03977834 -1273.0426063993164 -1406.9946613371233
2015-01-07 23.5984528148 121.51942166239999 0.039764400000000005 -1273.0426034304116 -1406.9946620471803
2015-01-08 23.5984528054 121.51942165700001 0.03977749 -1273.042604475644 -1406.9946625387568
2015-01-09 23.5984528339 121.5194216637 0.03976487 -1273.0426013065887 -1406.9946619288364
2015-01-10 23.598452803 121.5194216841 0.03977388 -1273.042604742512 -1406.9946600717642
2015-01-11 23.5984528173 121.5194216777 0.03977042 -1273.0426031524246 -1406.9946606543754
2015-01-12 23.5984527967 121.51942166949999 0.03977461 -1273.0426054430402 -1406.994661400846
2015-01-13 23.5984528082 121.51942169329999 0.03977942 -1273.0426041642984 -1406.9946592342615
2015-01-14 23.5984527898 121.5194216328 0.03977492 -1273.0426062102852 -1406.9946647417553
2015-01-15 23.5984528013 121.51942164569999 0.03977903 -1273.0426049315436 -1406.994663567431
2015-01-16 23.5984527886 121.5194216559 0.03978276 -1273.042606343719 -1406.9946626388935
2015-01-17 23.5984527967 121.51942164690001 0.039773760000000005 -1273.0426054430402 -1406.9946634581895
2015-01-18 23.5984527858 121.5194216518 0.03978375 -1273.042606655065 -1406.994663012129
2015-01-19 23.5984527913 121.51942165 0.03977274 -1273.0426060434925 -1406.9946631759885
2015-01-20 23.5984527983 121.519421663 0.039770200000000006 -1273.0426052651283 -1406.9946619925595
2015-01-21 23.5984528108 121.51942165259999 0.03978054 -1273.0426038751914 -1406.994662939304
