date lat lon z km_lat km_lon
2015-10-15 23.6884263105 120.86197219019999 0.56786083 -1263.038007176096 -1466.8442466353813
2015-10-16 23.6884263037 120.8619721654 0.56786943 -1263.0380079322215 -1466.844248892998
2015-10-17 23.6884263315 120.86197218820001 0.5678737599999999 -1263.0380048410025 -1466.8442468174453
2015-10-18 23.688426315 120.86197214309999 0.56786659 -1263.0380066757186 -1466.8442509230347
2015-10-19 23.6884263077 120.8619721503 0.56788089 -1263.0380074874417 -1466.844250267596
2015-10-20 23.6884263266 120.86197219159999 0.56785334 -1263.0380053858578 -1466.8442465079354
2015-10-21 23.688426332 120.8619721753 0.5678487 -1263.038004785405 -1466.8442479917724
2015-10-22 23.6884263254 120.86197216139999 0.5678636 -1263.0380055192916 -1466.8442492571312
2015-10-23 23.6884263093 120.861972162 0.56786574 -1263.03800730953 -1466.8442492025106
2015-10-24 23.6884263125 120.861972186 0.5678641699999999 -1263.0380069537061 -1466.8442470177188
2015-10-25 23.6884263024 120.8619721389 0.5678645299999999 -1263.0380080767748 -1466.8442513053724
2015-10-26 23.688426322 120.8619721583 0.5678790699999999 -1263.038005897354 -1466.8442495393322
2015-10-27 23.6884263161 120.8619721652 0.56787524 -1263.0380065534043 -1466.8442489112049
2015-10-28 23.6884263084 120.86197218800001 0.56786744 -1263.0380074096051 -1466.8442468356523
2015-10-29 23.6884263161 120.86197215600001 0.56787445 -1263.0380065534043 -1466.8442497487079
2015-10-30 23.6884263054 120.8619721833 0.5678615300000001 -1263.03800774319 -1466.8442472635084
2015-10-31 23.688426317 120.8619721618 0.56786635 -1263.0380064533288 -1466.8442492207175
2015-11-01 23.6884263171 120.8619721846 0.56787109 -1263.0380064422095 -1466.8442471451647
2015-11-02 23.6884263024 120.86197217259999 0.56787122 -1263.0380080767748 -1466.8442482375617
2015-11-03 23.6884263233 120.86197218340001 0.5678773300000001 -1263.038005752801 -1466.8442472544036
2015-11-04 23.6884263154 120.8619721705 0.56788441 -1263.0380066312407 -1466.8442484287307
2015-11-05 23.68842631 120.86197219479999 0.56787608 -1263.0380072316932 -1466.84424621663
2015-11-06 23.6884263258 120.8619721767 0.5678775 -1263.0380054748136 -1466.8442478643265
2015-11-07 23.688426341 120.86197219179999 0.56787964 -1263.0380037846508 -1466.8442464897284
2015-11-08 23.6884263227 120.8619722112 0.56787949 -1263.0380058195178 -1466.8442447236882
2015-11-09 23.6884263258 120.8619721837 0.56788715 -1263.0380054748136 -1466.8442472270945
2015-11-10 23.6884263173 120.86197221270001 0.56787639 -1263.0380064199705 -1466.8442445871376
2015-11-11 23.6884263144 120.86197219210001 0.56787196 -1263.0380067424355 -1466.8442464624168
2015-11-12 23.688426296 120.8619721975 0.5678813199999999 -1263.0380087884223 -1466.8442459708403
2015-11-13 23.688426309 120.8619722034 0.56788738 -1263.0380073428882 -1466.844245433745
2015-11-14 23.6884263102 120.86197218870001 0.5678899199999999 -1263.0380072094542 -1466.8442467719292
2015-11-15 23.688426314 120.86197220700001 0.56787977 -1263.0380067869135 -1466.8442451060257
2015-11-16 23.6884262986 120.8619722034 0.56787963 -1263.0380084993155 -1466.844245433745
2015-11-17 23.6884263347 120.86197219339999 0.56787624 -1263.0380044851786 -1466.8442463440756
2015-11-18 23.6884263299 120.86197217879999 0.56788496 -1263.0380050189142 -1466.8442476731577
2015-11-19 23.6884263416 120.86197215569999 0.56789071 -1263.0380037179336 -1466.8442497760195
2015-11-20 23.6884262899 120.86197223619999 0.56787707 -1263.0380094667114 -1466.8442424478644
2015-11-21 23.6884263169 120.86197218859999 0.5678825799999999 -1263.0380064644485 -1466.844246781034
2015-11-22 23.6884263344 120.86197218800001 0.5678695 -1263.0380045185373 -1466.8442468356523
2015-11-23 23.6884263382 120.8619721808 0.56786787 -1263.0380040959965 -1466.844247491091
2015-11-24 23.6884263328 120.86197222140001 0.56787307 -1263.0380046964492 -1466.8442437951508
2015-11-25 23.6884263209 120.861972186 0.56788987 -1263.0380060196687 -1466.8442470177188
2015-11-26 23.6884263096 120.86197219900001 0.5678759 -1263.0380072761714 -1466.8442458342897
2015-11-27 23.6884263185 120.86197220470001 0.56786642 -1263.0380062865365 -1466.8442453154014
2015-11-28 23.6884263156 120.8619722066 0.5678746 -1263.0380066090017 -1466.8442451424396
2015-11-29 23.6884263174 120.8619722226 0.5678755099999999 -1263.0380064088508 -1466.8442436859118
2015-11-30 23.6884263334 120.8619722281 0.56787094 -1263.038004629732 -1466.8442431852304
2015-12-01 23.6884263202 120.8619722071 0.5678759999999999 -1263.0380060975049 -1466.8442450969235
2015-12-02 23.688426322 120.86197220540001 0.56787887 -1263.038005897354 -1466.8442452516786
2015-12-03 23.6884263037 120.86197221309999 0.5678777700000001 -1263.0380079322215 -1466.8442445507262
2015-12-04 23.6884262993 120.861972211 0.56788207 -1263.038008421479 -1466.8442447418952
2015-12-05 23.6884262794 120.86197222179999 0.5678710600000001 -1263.038010634258 -1466.8442437587396
2015-12-06 23.6884263007 120.8619722437 0.5678762 -1263.038008265806 -1466.8442417651165
2015-12-07 23.6884263109 120.8619721982 0.56787549 -1263.038007131618 -1466.8442459071173
2015-12-08 23.6884263012 120.86197217629999 0.5678782800000001 -1263.0380082102088 -1466.8442479007404
2015-12-09 23.6884262876 120.86197217200001 0.56787489 -1263.03800972246 -1466.84424829218
2015-12-10 23.688426301 120.86197215370001 0.5678706600000001 -1263.0380082324477 -1466.8442499580835
2015-12-11 23.6884263028 120.86197219440001 0.56787988 -1263.0380080322968 -1466.844246253041
2015-12-12 23.6884263156 120.8619721551 0.56787887 -1263.0380066090017 -1466.8442498306376
2015-12-13 23.6884263239 120.8619721815 0.5678806200000001 -1263.0380056860838 -1466.8442474273681
2015-12-14 23.6884263165 120.861972175 0.5678755099999999 -1263.0380065089264 -1466.8442480190813
2015-12-15 23.6884263112 120.86197217259999 0.56787873 -1263.0380070982594 -1466.8442482375617
2015-12-16 23.6884262895 120.8619721858 0.56787513 -1263.0380095111893 -1466.8442470359257
2015-12-17 23.6884263122 120.8619721705 0.56787953 -1263.0380069870644 -1466.8442484287307
2015-12-18 23.6884263151 120.86197218980001 0.5678757900000001 -1263.0380066645994 -1466.8442466717925
2015-12-19 23.6884263234 120.8619722059 0.56787429 -1263.0380057416812 -1466.8442452061624
2015-12-20 23.688426298 120.8619721762 0.5678812000000001 -1263.0380085660324 -1466.8442479098424
2015-12-21 23.6884263083 120.8619721975 0.56788097 -1263.0380074207249 -1466.8442459708403
2015-12-22 23.6884263033 120.86197218390001 0.56788105 -1263.0380079766992 -1466.8442472088875
2015-12-23 23.6884263279 120.8619721947 0.5678807 -1263.038005241304 -1466.844246225732
2015-12-24 23.6884263105 120.8619721936 0.56787246 -1263.038007176096 -1466.8442463258687
2015-12-25 23.6884263195 120.8619722142 0.56788104 -1263.0380061753417 -1466.8442444505895
2015-12-26 23.6884263171 120.8619722093 0.5678862699999999 -1263.0380064422095 -1466.84424489665
2015-12-27 23.6884263037 120.86197219959999 0.5678822699999999 -1263.0380079322215 -1466.8442457796714
2015-12-28 23.6884263107 120.86197216849999 0.56788861 -1263.038007153857 -1466.8442486107972
2015-12-29 23.688426319 120.86197217789999 0.56788214 -1263.038006230939 -1466.8442477550875
2015-12-30 23.688426317 120.861972194 0.56788438 -1263.0380064533288 -1466.844246289455
