date lat lon z km_lat km_lon
2011-03-08 23.2507366952 121.32929509370001 0.26769781 -1311.7068718424644 -1424.3024501541458
2011-03-09 23.2507366909 121.32929510279999 0.26769209 -1311.7068723206028 -1424.3024493257476
2011-03-10 23.2507366704 121.32929515000001 0.26769213999999997 -1311.706874600099 -1424.3024450289893
2011-03-11 23.250736692 121.3292950913 0.26768854 -1311.7068721982882 -1424.3024503726263
2011-03-12 23.2507366706 121.32929512519999 0.26769056999999996 -1311.70687457786 -1424.3024472866086
2011-03-13 23.2507366756 121.32929513260001 0.26769740000000003 -1311.7068740218851 -1424.302446612963
2011-03-14 23.2507367029 121.32929510630001 0.26769022000000003 -1311.7068709862635 -1424.3024490071305
2011-03-15 23.2507366809 121.32929513959999 0.26769360999999997 -1311.706873432552 -1424.3024459757337
2011-03-16 23.2507366808 121.3292951265 0.26769187 -1311.7068734436716 -1424.302447168265
2011-03-17 23.2507366911 121.3292951121 0.2676901 -1311.7068722983638 -1424.3024484791401
2011-03-18 23.2507366962 121.3292951308 0.26769227 -1311.7068717312695 -1424.3024467768228
2011-03-19 23.2507366751 121.32929512589999 0.26769420000000005 -1311.7068740774826 -1424.3024472228858
2011-03-20 23.2507367134 121.32929510650001 0.26770262 -1311.706869818717 -1424.3024489889235
2011-03-21 23.2507367127 121.32929512000001 0.26769429 -1311.7068698965534 -1424.3024477599783
2011-03-22 23.250736696 121.32929513170001 0.26769366 -1311.7068717535085 -1424.3024466948928
2011-03-23 23.2507366829 121.32929512909999 0.26768987 -1311.706873210162 -1424.3024469315803
2011-03-24 23.2507367123 121.32929512839999 0.26769860999999995 -1311.7068699410313 -1424.3024469953032
2011-03-25 23.2507366942 121.32929513280001 0.26769162999999996 -1311.7068719536594 -1424.302446594756
2011-03-26 23.2507366765 121.32929515340001 0.26769772999999997 -1311.7068739218096 -1424.3024447194769
2011-03-27 23.2507366869 121.32929512570001 0.26768817 -1311.7068727653823 -1424.3024472410902
2011-03-28 23.2507367066 121.3292951187 0.26769400000000004 -1311.7068705748422 -1424.302447878322
2011-03-29 23.250736697 121.3292951055 0.26768863 -1311.7068716423137 -1424.302449079958
2011-03-30 23.2507366827 121.32929510529999 0.26769038 -1311.706873232401 -1424.302449098165
2011-03-31 23.2507367111 121.32929510139999 0.2676921 -1311.706870074465 -1424.3024494531935
2011-04-01 23.2507367043 121.3292950876 0.26768996 -1311.7068708305908 -1424.3024507094478
2011-04-02 23.2507367059 121.32929511559999 0.26768836 -1311.7068706526788 -1424.3024481605255
2011-04-03 23.2507367123 121.32929512140001 0.26769442 -1311.7068699410313 -1424.3024476325324
2011-04-04 23.2507366907 121.32929511239999 0.26769015 -1311.706872342842 -1424.302448451831
2011-04-05 23.2507367165 121.3292951146 0.26768702 -1311.7068694740126 -1424.3024482515575
2011-04-06 23.2507367121 121.3292951011 0.26769408 -1311.7068699632703 -1424.3024494805027
2011-04-07 23.2507367068 121.32929511180001 0.26769380000000004 -1311.7068705526033 -1424.302448506449
2011-04-08 23.2507367142 121.3292951231 0.26768811 -1311.7068697297611 -1424.3024474777776
2011-04-09 23.2507367084 121.3292951011 0.26768612 -1311.7068703746913 -1424.3024494805027
2011-04-10 23.2507367259 121.3292951098 0.26769513 -1311.7068684287801 -1424.3024486885158
