date lat lon z km_lat km_lon
2003-12-20 30.5564473487 131.0155611845 0.1423353 -499.3489116401607 -542.532783802047
2003-12-21 30.5564473891 131.0155611495 0.14233095 -499.34890714788565 -542.5327869882012
2003-12-22 30.5564473555 131.0155611611 0.14232216 -499.3489108840351 -542.532785932218
2003-12-24 30.5564473819 131.0155611451 0.14233548999999998 -499.3489079484892 -542.5327873887458
2003-12-25 30.5564473649 131.0155611526 0.14233357000000002 -499.34890983880314 -542.5327867060005
2003-12-26 30.556447383 131.0155611713 0.14233446 -499.348907826175 -542.5327850036831
2003-12-27 30.5564473825 131.0155611548 0.1423299 -499.3489078817722 -542.5327865057269
2003-12-28 30.5564473795 131.0155611625 0.14233106 -499.348908215357 -542.5327858047721
2003-12-29 30.556447381 131.0155611458 0.14234165999999998 -499.34890804856445 -542.5327873250228
2003-12-30 30.5564473514 131.0155611428 0.1423323 -499.34891133993455 -542.5327875981214
2003-12-31 30.5564473624 131.0155611468 0.14233371 -499.34891011679025 -542.5327872339908
2004-01-01 30.5564473372 131.015561168 0.14232524000000002 -499.3489129189023 -542.5327853040908
2004-01-02 30.5564473507 131.0155611899 0.14233794 -499.3489114177708 -542.532783310468
2004-01-03 30.556447367 131.0155611649 0.14232293000000001 -499.34890960529356 -542.5327855862943
2004-01-04 30.5564473646 131.0155611861 0.14233157 -499.3489098721614 -542.5327836563943
2004-01-05 30.5564473754 131.0155611872 0.14233281 -499.3489086712561 -542.5327835562574
2004-01-06 30.5564473704 131.0155611744 0.14233289999999998 -499.34890922723076 -542.5327847214797
2004-01-07 30.5564473661 131.0155611747 0.14233042 -499.3489097053692 -542.5327846941706
2004-01-09 30.5564473501 131.0155611576 0.14233086 -499.34891148448776 -542.5327862508352
2004-01-10 30.5564473548 131.015561179 0.14233136999999998 -499.34891096187175 -542.5327843027283
2004-01-11 30.5564473596 131.0155612061 0.14232859 -499.3489104281361 -542.5327818357358
2004-01-12 30.5564473182 131.0155612268 0.14233145 -499.348915031606 -542.5327799513518
2004-01-13 30.5564473739 131.0155612385 0.14232682 -499.3489088380487 -542.5327788862663
2004-01-14 30.5564473562 131.0155612002 0.14232153 -499.34891080619883 -542.5327823728284
2004-01-15 30.5564473176 131.0155612085 0.14233836 -499.348915098323 -542.5327816172553
2004-01-16 30.556447305 131.0155611866 0.14233741 -499.3489164993792 -542.5327836108783
2004-01-17 30.5564473205 131.015561207 0.14233902 -499.34891477585785 -542.5327817538059
2004-01-18 30.5564473184 131.0155612268 0.14233747 -499.34891500936703 -542.5327799513518
2004-01-19 30.5564473599 131.0155612032 0.14233065 -499.3489103947774 -542.5327820997296
2004-01-20 30.556447341 131.0155612055 0.14233656 -499.3489124963619 -542.5327818903539
2004-01-21 30.5564473078 131.0155612143 0.14233833 -499.34891618803334 -542.532781089265
2004-01-22 30.5564473214 131.0155612208 0.14233942 -499.3489146757822 -542.5327804975491
2004-01-26 30.5564473501 131.0155612001 0.14233322999999998 -499.34891148448776 -542.5327823819331
2004-01-29 30.5564473404 131.015561219 0.14232791 -499.34891256307884 -542.5327806614088
2004-01-30 30.5564472977 131.0155612503 0.14233034 -499.348917311102 -542.5327778120761
2004-01-31 30.556447318 131.0155612174 0.14234363 -499.348915053845 -542.5327808070616
2004-02-01 30.5564473345 131.0155612204 0.1423407 -499.34891321912875 -542.532780533963
2004-02-02 30.5564473521 131.015561209 0.14235067 -499.3489112620979 -542.5327815717393
2004-02-03 30.5564473129 131.015561219 0.14235463999999998 -499.348915620939 -542.5327806614088
2004-02-04 30.556447305 131.0155612131 0.14234179 -499.3489164993792 -542.5327811985039
2004-02-09 30.5564473473 131.0155612194 0.14232724 -499.3489117958336 -542.532780624995
2004-02-10 30.556447323 131.0155612277 0.14233212 -499.34891449787034 -542.5327798694219
2004-02-11 30.5564473285 131.0155612357 0.14233102 -499.34891388629836 -542.532779141158
2004-02-12 30.5564473318 131.0155612338 0.14232666 -499.3489135193549 -542.5327793141199
2004-02-13 30.5564473262 131.0155612406 0.14232983 -499.34891414204657 -542.5327786950976
2004-02-14 30.5564472988 131.0155612873 0.14233657 -499.34891718878777 -542.5327744438579
2004-02-15 30.5564473405 131.0155612167 0.14233855 -499.34891255195913 -542.5327808707844
2004-03-12 30.5564473292 131.0155612533 0.1423407 -499.34891380846176 -542.5327775389775
2004-03-13 30.5564473311 131.0155612596 0.14234255999999998 -499.34891359719154 -542.5327769654712
2004-03-14 30.5564473279 131.0155612718 0.142338 -499.34891395301537 -542.532775854867
2004-03-15 30.5564473291 131.0155612655 0.14233639 -499.3489138195814 -542.532776428376
2004-03-16 30.5564473454 131.0155612409 0.14234188 -499.34891200710416 -542.5327786677859
2004-03-17 30.5564473371 131.0155612529 0.14233903 -499.3489129300219 -542.5327775753914
2004-03-18 30.5564473495 131.0155612552 0.14232708 -499.3489115512047 -542.5327773660156
2004-03-19 30.5564473172 131.0155612519 0.14233746 -499.34891514280093 -542.5327776664234
2004-03-20 30.5564473384 131.0155612631 0.14234051 -499.3489127854683 -542.5327766468539
2004-03-21 30.5564473156 131.0155612628 0.14234619 -499.3489153207129 -542.5327766741656
2004-03-22 30.5564473521 131.0155612461 0.1423345 -499.3489112620979 -542.5327781944163
2004-03-23 30.5564473264 131.0155612636 0.14234339 -499.34891411980755 -542.5327766013379
2004-03-25 30.556447346 131.0155612772 0.14234201999999999 -499.3489119403872 -542.5327753632905
2004-03-26 30.5564472999 131.0155612837 0.14234046 -499.3489170664732 -542.5327747715746
2004-03-27 30.5564473149 131.0155612862 0.14233219 -499.34891539854914 -542.532774543992
2004-03-28 30.5564473239 131.0155612822 0.1423346 -499.3489143977951 -542.5327749081252
