date lat lon z km_lat km_lon
2007-01-12 24.3377038981 121.30806784110001 2.00295033 -1190.841633450958 -1426.2348302134187
2007-01-13 24.3377039052 121.30806783489999 2.00295037 -1190.8416326614738 -1426.2348307778254
2007-01-14 24.3377038841 121.30806779400001 2.00294687 -1190.8416350076866 -1426.234834501072
2007-01-15 24.3377038854 121.30806783829999 2.00294822 -1190.8416348631333 -1426.234830468313
2007-01-16 24.337703866 121.30806782990001 2.00294388 -1190.8416370203151 -1426.234831232988
2007-01-17 24.337703894 121.3080678112 2.0029413199999997 -1190.841633906857 -1426.2348329353053
2007-01-18 24.3377038871 121.3080678153 2.00295168 -1190.841634674102 -1426.23483256207
2007-01-19 24.3377038767 121.308067825 2.00295038 -1190.8416358305292 -1426.2348316790512
2007-01-20 24.3377038855 121.3080678005 2.00294019 -1190.8416348520136 -1426.234833909359
2007-01-21 24.3377038873 121.3080677954 2.0029378099999997 -1190.8416346518632 -1426.2348343736262
2007-01-22 24.3377039044 121.3080678334 2.0029503600000003 -1190.8416327504297 -1426.2348309143733
2007-01-23 24.3377038693 121.3080678465 2.00295111 -1190.8416366533718 -1426.234829721842
2007-01-24 24.3377038748 121.3080678323 2.0029484 -1190.8416360417998 -1426.2348310145103
2007-01-25 24.3377038861 121.30806782760001 2.0029515 -1190.8416347852967 -1426.2348314423639
2007-01-26 24.3377038626 121.30806785159999 2.00294755 -1190.8416373983775 -1426.2348292575746
2007-01-27 24.3377038661 121.30806786100001 2.00294893 -1190.8416370091954 -1426.2348284018624
2007-01-28 24.3377038545 121.30806783989999 2.0029577 -1190.8416382990567 -1426.2348303226602
2007-01-29 24.3377038707 121.308067868 2.00296135 -1190.8416364976988 -1426.234827764633
2007-01-30 24.3377038862 121.3080678538 2.0029556299999998 -1190.8416347741775 -1426.234829057301
2007-01-31 24.3377038551 121.30806785159999 2.00295391 -1190.8416382323398 -1426.2348292575746
2007-02-01 24.3377038849 121.3080678362 2.00295703 -1190.8416349187307 -1426.2348306594818
2007-02-02 24.3377038683 121.30806785339999 2.00295953 -1190.8416367645666 -1426.234829093715
2007-02-03 24.3377038651 121.30806787290001 2.0029595 -1190.8416371203905 -1426.2348273185698
2007-02-04 24.3377038529 121.30806793049999 2.00297001 -1190.8416384769687 -1426.2348220750725
2007-02-05 24.3377038584 121.3080678664 2.00295401 -1190.8416378653963 -1426.2348279102857
2007-02-06 24.337703877 121.30806784960001 2.00295359 -1190.841635797171 -1426.2348294396388
2007-02-07 24.3377038631 121.3080678659 2.00294937 -1190.8416373427804 -1426.2348279558018
2007-02-08 24.3377038601 121.3080678423 2.00295246 -1190.841637676365 -1426.2348301041798
2007-02-09 24.3377038862 121.30806781870001 2.00294648 -1190.8416347741775 -1426.2348322525575
2007-02-10 24.337703919 121.3080678106 2.00294343 -1190.8416311269839 -1426.2348329899262
2007-02-11 24.3377038605 121.3080678211 2.00296217 -1190.8416376318871 -1426.2348320340798
2007-02-12 24.3377038872 121.30806784679999 2.0029570100000003 -1190.8416346629826 -1426.2348296945331
2007-02-13 24.3377038837 121.3080679016 2.00296012 -1190.8416350521645 -1426.2348247059247
2007-02-14 24.3377039065 121.3080678471 2.00295786 -1190.8416325169205 -1426.2348296672214
2007-02-15 24.3377039041 121.3080678106 2.0029575299999998 -1190.8416327837883 -1426.2348329899262
2007-02-16 24.33770386 121.308067816 2.00295305 -1190.8416376874843 -1426.234832498347
2007-02-17 24.3377038684 121.3080678055 2.00294586 -1190.8416367534473 -1426.2348334541937
2007-02-18 24.3377039147 121.30806777020001 2.00295881 -1190.841631605122 -1426.234836667657
2007-02-19 24.3377039151 121.30806782299999 2.00295385 -1190.841631560644 -1426.2348318611178
2007-02-20 24.3377039104 121.3080678236 2.0029517 -1190.8416320832605 -1426.2348318064971
