date lat lon z km_lat km_lon
2008-01-15 24.2805974048 121.02645483200001 2.6298394 -1197.1915857843792 -1451.8709016104629
2008-01-16 24.2805973882 121.0264548033 2.62986568 -1197.191587630215 -1451.8709042231108
2014-09-19 24.2805973675 121.02645587040001 2.62982963 -1197.19158993195 -1451.8708070818163
2014-09-20 24.2805973656 121.02645586509999 2.62982196 -1197.1915901432205 -1451.8708075642933
2015-01-01 24.2805974113 121.02645602390001 2.6298127800000004 -1197.1915850616122 -1451.8707931082542
2015-01-02 24.2805974136 121.02645602250001 2.62981763 -1197.191584805864 -1451.8707932357001
2015-01-03 24.2805974004 121.0264560187 2.62981995 -1197.1915862736369 -1451.8707935816265
2015-01-04 24.2805973765 121.0264560212 2.62981651 -1197.1915889311956 -1451.8707933540438
2015-01-05 24.2805973827 121.02645599889999 2.62983135 -1197.191588241787 -1451.8707953840806
2015-01-06 24.2805973653 121.02645595499999 2.62984088 -1197.191590176579 -1451.8707993804287
2015-01-07 24.2805974176 121.02645601059999 2.62981461 -1197.1915843610843 -1451.8707943189952
2015-01-08 24.2805973918 121.0264560061 2.6298178699999997 -1197.1915872299132 -1451.8707947286418
2015-01-09 24.2805974168 121.02645601130001 2.6298158600000003 -1197.1915844500402 -1451.8707942552696
2015-01-10 24.2805973838 121.02645598909999 2.6298212199999997 -1197.1915881194727 -1451.8707962762041
2015-01-11 24.280597348 121.0264559915 2.62984394 -1197.191592100251 -1451.8707960577237
2015-01-12 24.2805973983 121.02645597310001 2.6298261800000002 -1197.1915865071464 -1451.8707977327294
2015-01-13 24.2805973857 121.02645597239999 2.62982627 -1197.1915879082026 -1451.870797796455
2015-01-14 24.2805973991 121.0264560061 2.6298119200000003 -1197.1915864181904 -1451.8707947286418
2015-01-15 24.2805974011 121.02645599350001 2.62982172 -1197.1915861958005 -1451.8707958756572
2015-01-16 24.280597376 121.0264559664 2.62984096 -1197.1915889867932 -1451.8707983426523
2015-01-17 24.2805973835 121.0264559975 2.62983142 -1197.191588152831 -1451.8707955115265
2015-01-18 24.2805973864 121.02645596919999 2.6298256700000002 -1197.191587830366 -1451.8707980877605
2015-01-19 24.2805973852 121.0264560293 2.62981285 -1197.1915879638 -1451.8707926166778
2015-01-20 24.2805974114 121.0264560073 2.629811 -1197.191585050493 -1451.870794619403
2015-01-21 24.2805973787 121.02645602129999 2.6298226 -1197.1915886865668 -1451.8707933449416
2015-01-22 24.2805973576 121.02645596880001 2.6298350999999998 -1197.1915910327798 -1451.8707981241719
2015-01-23 24.280597372 121.02645600759999 2.62983244 -1197.191589431573 -1451.8707945920937
2015-01-24 24.2805974021 121.02645602640001 2.62981637 -1197.1915860846057 -1451.8707928806716
2015-01-25 24.280597382 121.02645600240001 2.62982081 -1197.1915883196236 -1451.8707950654634
2015-01-26 24.2805973896 121.0264560091 2.62982538 -1197.191587474542 -1451.870794455543
2015-01-27 24.2805973824 121.02645601200001 2.62983207 -1197.1915882751457 -1451.8707941915468
