date lat lon z km_lat km_lon
2007-01-01 24.3090009682 121.7494489282 0.04301236 -1194.0332536356723 -1386.054594583103
2007-01-02 24.309000956 121.74944889919999 0.04301677 -1194.0332549922505 -1386.05459722306
2007-01-03 24.3090009614 121.7494489236 0.04301679 -1194.0332543917978 -1386.0545950018545
2007-01-08 24.3090009609 121.74944892330001 0.04301097 -1194.0332544473952 -1386.0545950291635
2007-01-09 24.3090009565 121.74944891589999 0.04301283 -1194.0332549366528 -1386.0545957028094
2007-01-10 24.3090009703 121.7494489119 0.04301303 -1194.0332534021627 -1386.05459606694
2007-01-11 24.3090009598 121.74944891090001 0.04301382 -1194.0332545697097 -1386.054596157972
2007-01-12 24.3090009516 121.7494489581 0.043009500000000006 -1194.033255481508 -1386.0545918612163
2007-01-13 24.3090009662 121.74944893360001 0.04301697 -1194.0332538580622 -1386.054594091524
2007-01-14 24.3090009651 121.74944891460001 0.04300988 -1194.0332539803765 -1386.0545958211503
2007-01-15 24.309000966 121.7494489421 0.04301534 -1194.0332538803011 -1386.054593317744
2007-01-16 24.3090009462 121.74944893130001 0.04301161 -1194.0332560819604 -1386.0545943008997
2007-01-17 24.3090009466 121.7494489325 0.043021369999999996 -1194.0332560374825 -1386.0545941916607
2007-01-18 24.3090009637 121.749448889 0.04300884 -1194.0332541360492 -1386.0545981515947
2007-01-19 24.3090009718 121.7494489272 0.043019 -1194.0332532353705 -1386.0545946741352
2007-01-20 24.3090009585 121.7494489304 0.04301464 -1194.033254714263 -1386.0545943828295
2007-01-21 24.3090009687 121.74944892459999 0.043021290000000004 -1194.0332535800746 -1386.0545949108225
2007-01-22 24.3090009651 121.7494489355 0.04301341 -1194.0332539803765 -1386.054593918562
2007-01-23 24.3090009464 121.74944895760001 0.04302088 -1194.0332560597215 -1386.0545919067322
2007-01-24 24.3090009356 121.74944894160001 0.043018970000000004 -1194.033257260627 -1386.05459336326
2007-01-25 24.3090009559 121.7494489307 0.04301716 -1194.0332550033697 -1386.0545943555203
2007-01-26 24.3090009515 121.7494489842 0.04301439 -1194.0332554926276 -1386.0545894852557
2007-01-27 24.3090009531 121.74944896580001 0.043011310000000004 -1194.0332553147157 -1386.0545911602615
2007-01-28 24.3090009333 121.7494489543 0.04302004 -1194.0332575163754 -1386.0545922071426
2007-01-29 24.3090009417 121.7494489648 0.04302346 -1194.0332565823378 -1386.054591251296
2007-01-30 24.3090009505 121.7494489668 0.04302223 -1194.0332556038225 -1386.0545910692294
2007-01-31 24.309000929 121.74944898199999 0.04302919 -1194.0332579945134 -1386.0545896855292
2007-02-01 24.3090009521 121.74944896829999 0.04302896 -1194.0332554259105 -1386.0545909326813
2007-02-02 24.3090009442 121.7494489698 0.043020409999999995 -1194.0332563043503 -1386.0545907961307
2007-02-03 24.3090009273 121.74944897910001 0.04301747 -1194.0332581835446 -1386.0545899495232
2007-02-04 24.3090008983 121.7494490256 0.0430368 -1194.0332614081976 -1386.0545857164905
2007-02-05 24.3090009264 121.7494489982 0.043024549999999995 -1194.0332582836202 -1386.0545882107945
2007-02-06 24.3090009376 121.7494489803 0.04301672 -1194.033257038237 -1386.0545898402843
2007-02-12 24.3090009432 121.7494490151 0.043026009999999996 -1194.0332564155453 -1386.0545866723369
2007-02-13 24.3090009507 121.7494489922 0.04301871 -1194.0332555815835 -1386.0545887569917
2007-02-14 24.3090009216 121.74944896939999 0.04302485 -1194.033258817356 -1386.0545908325446
2007-02-15 24.3090009504 121.7494489917 0.04304052 -1194.0332556149417 -1386.0545888025079
2007-02-16 24.3090009044 121.7494489854 0.04302914 -1194.0332607299083 -1386.0545893760168
2007-02-17 24.3090009584 121.7494489801 0.04302613 -1194.0332547253827 -1386.0545898584912
2007-02-18 24.3090009205 121.74944897450001 0.04302225 -1194.03325893967 -1386.0545903682746
2007-02-19 24.3090009575 121.7494490128 0.04302024 -1194.033254825458 -1386.0545868817126
2007-02-20 24.3090009673 121.74944903100001 0.0430281 -1194.0332537357476 -1386.0545852249113
2007-02-21 24.3090009469 121.7494489741 0.04300729 -1194.0332560041243 -1386.0545904046885
2007-02-22 24.3090009125 121.7494489714 0.04302562 -1194.0332598292296 -1386.054590650478
2007-02-23 24.3090009105 121.7494489819 0.04301652 -1194.0332600516194 -1386.0545896946314
