date lat lon z km_lat km_lon
2009-01-01 32.5570484509 131.5306760548 0.12461991 -276.8922188360086 -495.64034216771535
2009-01-02 32.5570484499 131.5306760335 0.12460585 -276.89221894720316 -495.6403441067201
2009-01-03 32.5570484385 131.5306760445 0.12460716 -276.89222021482584 -495.64034310535493
2009-01-04 32.5570484586 131.5306760516 0.12460738 -276.8922179798074 -495.64034245902087
2009-01-05 32.5570484388 131.5306760387 0.1246117 -276.89222018146677 -495.64034363334787
2009-01-06 32.5570484425 131.5306760321 0.12460442000000001 -276.8922197700461 -495.6403442341659
2009-01-07 32.5570484386 131.5306760409 0.12460531 -276.89222020370613 -495.64034343307435
2009-01-08 32.5570484108 131.5306760262 0.12460467 -276.892223294925 -495.64034477125847
2009-01-09 32.5570484362 131.5306760195 0.12461562999999999 -276.892220470574 -495.64034538118125
2009-01-10 32.5570484475 131.5306760162 0.12461792 -276.892219214071 -495.64034568158894
2009-01-11 32.5570484623 131.5306760362 0.12461002 -276.89221756838595 -495.6403438609305
2009-01-12 32.5570484633 131.5306760048 0.12460971000000001 -276.8922174571914 -495.64034671936537
2009-01-13 32.5570484527 131.5306760275 0.12461394 -276.8922186358573 -495.64034465291735
2009-01-14 32.5570484507 131.5306760046 0.12461725 -276.8922188582472 -495.64034673757226
2009-01-15 32.5570484522 131.5306760308 0.12460365 -276.892218691455 -495.64034435250704
2009-01-16 32.5570484421 131.530676032 0.1246063 -276.892219814524 -495.6403442432681
2009-01-17 32.5570484289 131.5306760337 0.1246098 -276.8922212822964 -495.64034408851313
2009-01-18 32.5570484358 131.5306760136 0.12461018 -276.892220515052 -495.64034591827635
2009-01-19 32.5570484589 131.5306760228 0.12461192 -276.89221794644914 -495.64034508077094
2009-01-20 32.557048442 131.53067602 0.12460776 -276.89221982564294 -495.64034533566524
2009-01-21 32.557048415 131.5306760406 0.12461536 -276.8922228279066 -495.6403434603834
2009-01-22 32.5570484268 131.5306760333 0.12462115 -276.892221515806 -495.6403441249244
2009-01-23 32.5570484349 131.5306760523 0.12461714 -276.8922206151276 -495.640342395298
2009-01-24 32.5570484304 131.530676046 0.12460718 -276.8922211155042 -495.6403429688069
2009-01-25 32.557048414 131.5306760376 0.12461156 -276.89222293910115 -495.64034373348466
2009-01-26 32.5570484213 131.5306760405 0.12461512000000001 -276.8922221273779 -495.6403434694882
2009-01-27 32.5570484415 131.5306760227 0.12460823 -276.89221988124064 -495.64034508987567
2009-01-28 32.5570484286 131.5306760328 0.12461293000000001 -276.8922213156555 -495.640344170443
2009-01-29 32.5570484155 131.5306760216 0.12461622 -276.89222277230897 -495.64034519001245
2009-01-30 32.5570484317 131.5306760207 0.12460961000000001 -276.89222097095137 -495.64034527193974
2009-01-31 32.5570484506 131.5306759918 0.12461797 -276.8922188693669 -495.64034790279453
2009-02-01 32.5570484296 131.5306760165 0.12461401999999999 -276.89222120446016 -495.6403456542799
2009-02-02 32.5570484312 131.5306760454 0.12461926 -276.89222102654827 -495.6403430234251
2009-02-03 32.5570484161 131.5306760407 0.12461308 -276.89222270559156 -495.64034345128124
2009-02-04 32.5570484369 131.530676025 0.12460916 -276.8922203927377 -495.6403448805
2009-02-05 32.5570484472 131.5306760188 0.12460666999999999 -276.8922192474293 -495.64034544490414
2009-02-06 32.5570484346 131.53067602 0.12460281000000001 -276.8922206484859 -495.64034533566524
2009-02-07 32.5570484491 131.5306760134 0.12460568999999999 -276.8922190361591 -495.6403459364807
2009-02-08 32.5570484217 131.5306760236 0.12460598 -276.89222208289993 -495.6403450079458
2009-02-09 32.557048438 131.5306760389 0.12461579 -276.8922202704227 -495.640343615141
2009-02-10 32.5570484495 131.5306760359 0.12460575 -276.89221899168115 -495.6403438882396
2009-02-11 32.5570484518 131.5306760386 0.12460684999999999 -276.892218735933 -495.64034364245003
2009-02-12 32.5570484221 131.5306760549 0.12460629 -276.89222203842195 -495.6403421586132
2009-02-13 32.5570484145 131.5306760017 0.12460961000000001 -276.8922228835035 -495.6403470015687
2009-02-14 32.5570484391 131.5306760495 0.12460653000000001 -276.89222014810844 -495.6403426501923
2009-02-15 32.5570484333 131.5306760224 0.12460872 -276.8922207930395 -495.6403451171848
2009-02-16 32.5570484425 131.5306760329 0.124619 -276.8922197700461 -495.64034416133825
2009-02-17 32.5570484175 131.5306760412 0.12461001000000001 -276.8922225499191 -495.64034340576524
2009-02-18 32.5570484303 131.5306760271 0.12461043 -276.8922211266239 -495.6403446893312
2009-02-19 32.5570484264 131.5306760374 0.12460697999999999 -276.89222156028393 -495.640343751689
2009-02-20 32.5570484553 131.5306760197 0.12461817 -276.8922183467509 -495.6403453629743
2009-02-21 32.5570484603 131.5306760437 0.12461665000000001 -276.8922177907758 -495.6403431781826
2009-02-22 32.5570484029 131.5306760466 0.12462151 -276.89222417336475 -495.64034291418614
2009-02-23 32.5570484271 131.5306760538 0.12461734 -276.89222148244767 -495.6403422587499
2009-02-24 32.5570484116 131.5306760583 0.12461027 -276.892223205969 -495.64034184910065
2009-02-25 32.5570484098 131.5306760578 0.12461291 -276.8922234061203 -495.6403418946167
2009-02-26 32.5570484128 131.5306760507 0.12461364 -276.8922230725351 -495.6403425409507
2009-02-27 32.5570484149 131.5306760535 0.12460873 -276.8922228390255 -495.640342286059
2009-02-28 32.5570484177 131.5306760534 0.12460928 -276.8922225276797 -495.64034229516375
2009-03-01 32.5570484396 131.5306760356 0.12460887 -276.8922200925108 -495.64034391554867
2009-03-02 32.5570484306 131.5306760679 0.12461122000000001 -276.8922210932656 -495.640340975184
2009-03-03 32.5570484034 131.5306760561 0.12461242 -276.89222411776706 -495.6403420493742
2009-03-04 32.5570484112 131.5306760493 0.12461197 -276.892223250447 -495.6403426683966
2009-03-05 32.5570484109 131.5306760604 0.12461279 -276.89222328380527 -495.6403416579319
2009-03-06 32.5570484186 131.5306760313 0.12462010999999999 -276.89222242760485 -495.64034430699104
2009-03-07 32.5570484239 131.5306760495 0.12461493 -276.8922218382715 -495.6403426501923
2009-03-08 32.5570484121 131.5306760477 0.12461091999999999 -276.8922231503713 -495.64034281404935
2009-03-09 32.5570484274 131.5306760592 0.12461686 -276.8922214490894 -495.6403417671708
2009-03-10 32.5570484386 131.5306760204 0.1246145 -276.89222020370613 -495.6403452992514
2009-03-11 32.5570484038 131.5306760566 0.12461108 -276.8922240732891 -495.6403420038582
2009-03-12 32.5570484274 131.5306760576 0.12461355 -276.8922214490894 -495.6403419128236
2009-03-13 32.5570484008 131.5306760694 0.12462086 -276.89222440687433 -495.64034083863595
2009-03-14 32.5570484304 131.53067604 0.12461021 -276.8922211155042 -495.6403435150042
2009-03-15 32.5570484011 131.5306760727 0.12460897 -276.892224373516 -495.64034053822564
2009-03-16 32.5570484109 131.530676052 0.12462101 -276.89222328380527 -495.64034242260965
2009-03-17 32.5570484096 131.5306760849 0.12461645 -276.8922234283589 -495.64033942762416
2009-03-18 32.557048409 131.5306760606 0.12461469 -276.8922234950762 -495.64034163972497
2009-03-19 32.5570484038 131.5306760513 0.12461504 -276.8922240732891 -495.64034248633254
