date lat lon z km_lat km_lon
2008-08-20 23.5293966831 120.7398898978 0.8564005600000001 -1280.7212949291504 -1477.9577615056044
2008-08-21 23.529396649 120.7398899126 0.85639256 -1280.7212987208975 -1477.9577601583153
2008-08-22 23.5293966373 120.7398898909 0.85637571 -1280.721300021878 -1477.9577621337314
2008-08-23 23.5293966525 120.7398899008 0.85638108 -1280.7212983317152 -1477.9577612325056
2008-08-24 23.5293966607 120.739889906 0.85638904 -1280.7212974199165 -1477.9577607591334
2008-08-25 23.5293966603 120.73988990129999 0.85638123 -1280.7212974643946 -1477.9577611869895
2008-08-26 23.5293966753 120.73988987960001 0.8563919600000001 -1280.721295796471 -1477.9577631624031
2008-08-27 23.5293966803 120.73988988990001 0.85639801 -1280.7212952404961 -1477.9577622247634
2008-08-28 23.5293966585 120.73988990589999 0.85639133 -1280.7212976645455 -1477.9577607682381
2008-08-29 23.5293966797 120.7398899152 0.85639415 -1280.7212953072133 -1477.9577599216307
2008-08-30 23.5293966608 120.739889895 0.85639393 -1280.7212974087972 -1477.957761760496
2008-08-31 23.5293966742 120.73988991249999 0.8563923099999999 -1280.7212959187852 -1477.9577601674202
2008-09-01 23.5293966837 120.7398899184 0.8563995200000001 -1280.7212948624335 -1477.957759630325
2008-09-02 23.5293966767 120.7398899163 0.85638799 -1280.721295640798 -1477.957759821494
2008-09-03 23.52939667 120.7398898973 0.85639792 -1280.721296385804 -1477.9577615511203
2008-09-04 23.5293966835 120.7398899039 0.85639249 -1280.7212948846725 -1477.9577609503021
2008-09-05 23.5293966796 120.73988989829999 0.85639541 -1280.7212953183325 -1477.9577614600882
2008-09-06 23.5293966864 120.73988994070001 0.85639535 -1280.7212945622073 -1477.9577576002882
2008-09-07 23.5293966642 120.73988988400001 0.85638721 -1280.7212970307346 -1477.9577627618585
2008-09-08 23.5293966789 120.73988994359999 0.85639154 -1280.7212953961691 -1477.9577573362944
2008-09-09 23.5293966658 120.73988992279999 0.85638036 -1280.7212968528227 -1477.9577592297805
2008-09-10 23.5293966739 120.73988992189999 0.85639422 -1280.721295952144 -1477.9577593117103
2008-09-11 23.5293966774 120.73988993430001 0.85638892 -1280.7212955629614 -1477.9577581828994
2008-09-12 23.5293966756 120.7398899058 0.8563826400000001 -1280.7212957631123 -1477.9577607773404
2008-09-13 23.529396723 120.73988988049999 0.85638797 -1280.7212904924727 -1477.9577630804758
2008-09-14 23.529396658 120.7398898696 0.85640737 -1280.7212977201432 -1477.9577640727334
2008-09-15 23.5293966589 120.73988987839999 0.85638824 -1280.7212976200674 -1477.9577632716446
2008-09-16 23.5293966706 120.7398898795 0.8563801 -1280.7212963190868 -1477.9577631715078
2008-09-17 23.5293966776 120.7398898893 0.8563911900000001 -1280.7212955407224 -1477.9577622793843
2008-09-18 23.529396697 120.7398898758 0.85640404 -1280.721293383541 -1477.9577635083294
2008-09-19 23.5293966676 120.7398898749 0.85639891 -1280.7212966526718 -1477.9577635902592
2008-09-20 23.5293966827 120.73988986500001 0.85639484 -1280.7212949736283 -1477.957764491485
2008-09-21 23.5293966754 120.73988988549999 0.85640625 -1280.7212957853512 -1477.9577626253106
2008-09-22 23.5293966824 120.7398899865 0.8563782999999999 -1280.7212950069866 -1477.9577534309785
2008-09-23 23.5293966754 120.739889896 0.85638037 -1280.7212957853512 -1477.957761669464
2008-09-24 23.5293966714 120.7398899147 0.8563918 -1280.721296230131 -1477.9577599671466
2008-09-25 23.5293966762 120.73988990500001 0.85638995 -1280.7212956963954 -1477.9577608501654
2008-09-26 23.5293966702 120.7398898937 0.85638689 -1280.721296363565 -1477.9577618788396
2008-09-27 23.529396674 120.73988986769999 0.8563707399999999 -1280.7212959410242 -1477.957764245698
2008-09-28 23.5293966968 120.7398899051 0.85638165 -1280.72129340578 -1477.9577608410632
2008-09-29 23.5293966576 120.7398898966 0.85637524 -1280.721297764621 -1477.957761614843
2008-09-30 23.5293966727 120.73988990769999 0.8563786099999999 -1280.7212960855777 -1477.9577606043786
2008-10-01 23.52939666 120.73988989989999 0.85639618 -1280.7212974977533 -1477.9577613144354
2008-10-02 23.5293966718 120.73988989840001 0.8563885699999999 -1280.721296185653 -1477.9577614509835
2008-10-03 23.5293966612 120.7398899184 0.8563805099999999 -1280.7212973643193 -1477.957759630325
2008-10-04 23.5293967047 120.739889922 0.85638123 -1280.7212925273398 -1477.9577593026056
2008-10-05 23.5293966785 120.7398899095 0.85639641 -1280.721295440647 -1477.9577604405188
2008-10-06 23.5293966214 120.73988989509999 0.85637684 -1280.7213017898773 -1477.9577617513937
2008-10-07 23.5293966686 120.73988991050001 0.8563797 -1280.7212965414767 -1477.9577603494843
2008-10-08 23.5293966605 120.7398899245 0.85639312 -1280.7212974421557 -1477.957759075023
2008-10-09 23.5293966859 120.7398899127 0.85638432 -1280.7212946178047 -1477.9577601492133
2008-10-10 23.5293967052 120.73988984159999 0.8563808 -1280.7212924717426 -1477.9577666216585
2008-10-11 23.5293966816 120.7398899085 0.8563766500000001 -1280.7212950959427 -1477.9577605315508
2008-10-12 23.529396694 120.73988988560001 0.85638794 -1280.7212937171257 -1477.9577626162056
2008-10-13 23.5293966697 120.73988991920001 0.8563857 -1280.7212964191626 -1477.9577595574974
2008-10-14 23.5293967015 120.7398899074 0.8563855 -1280.7212928831636 -1477.9577606316875
2008-10-15 23.5293966911 120.7398899154 0.8563738 -1280.721294039591 -1477.9577599034237
2008-10-16 23.5293966788 120.739889962 0.85638414 -1280.7212954072884 -1477.9577556612862
2008-10-17 23.5293966957 120.7398899149 0.85637651 -1280.7212935280943 -1477.9577599489396
2008-10-18 23.5293967008 120.73988991690001 0.8563888 -1280.7212929610002 -1477.957759766873
2008-10-19 23.5293966753 120.73988993969999 0.8563860600000001 -1280.721295796471 -1477.957757691323
2008-10-20 23.5293966702 120.73988993180001 0.85638886 -1280.721296363565 -1477.957758410482
2008-10-21 23.5293966868 120.7398899259 0.85637558 -1280.7212945177293 -1477.957758947577
2008-10-22 23.5293966797 120.7398899385 0.85637745 -1280.7212953072133 -1477.957757800562
2008-10-23 23.5293966807 120.73988992849999 0.8563749 -1280.7212951960182 -1477.9577587108924
2008-10-24 23.529396675 120.73988995639999 0.85637795 -1280.7212958298292 -1477.957756171072
2008-10-25 23.5293966683 120.73988992170001 0.8563850599999999 -1280.7212965748354 -1477.9577593299148
2008-10-26 23.5293966676 120.73988992700001 0.85637866 -1280.7212966526718 -1477.9577588474403
2008-10-27 23.5293966544 120.73988994000001 0.85636681 -1280.7212981204448 -1477.9577576640113
2008-10-28 23.529396657 120.7398899227 0.85638179 -1280.721297831338 -1477.9577592388828
2008-10-29 23.5293966503 120.73988992279999 0.8563802899999999 -1280.721298576344 -1477.9577592297805
2008-10-30 23.5293966724 120.73988991729999 0.85638499 -1280.721296118936 -1477.9577597304617
2008-10-31 23.529396683 120.73988991639999 0.8563921400000001 -1280.7212949402697 -1477.9577598123917
2008-11-03 23.5293966709 120.7398899403 0.8563811100000001 -1280.7212962857286 -1477.9577576367021
2008-11-04 23.5293966588 120.73989000040001 0.85637964 -1280.721297631187 -1477.9577521656195
2008-11-05 23.5293966713 120.73988990570001 0.8563972700000001 -1280.7212962412507 -1477.9577607864426
2008-11-06 23.529396659 120.73988991620001 0.85639026 -1280.7212976089481 -1477.957759830596
2008-11-07 23.5293966533 120.73988994800001 0.85638496 -1280.721298242759 -1477.9577569357473
2008-11-08 23.5293966435 120.7398899604 0.85638574 -1280.7212993324695 -1477.9577558069388
2008-11-09 23.5293966788 120.7398899492 0.85638573 -1280.7212954072884 -1477.9577568265083
2008-11-10 23.5293966749 120.739889941 0.85638748 -1280.7212958409489 -1477.9577575729793
2008-11-11 23.5293966917 120.7398899186 0.8563816000000001 -1280.721293972874 -1477.957759612118
2008-11-12 23.5293967053 120.73988993450001 0.85638414 -1280.7212924606229 -1477.9577581646925
2008-11-13 23.5293966742 120.73988992439999 0.85638343 -1280.7212959187852 -1477.9577590841277
2008-11-14 23.5293966664 120.7398899431 0.85638466 -1280.7212967861055 -1477.9577573818103
2008-11-15 23.5293966899 120.7398899303 0.85638723 -1280.721294173025 -1477.9577585470327
2008-11-16 23.5293966724 120.73988994269999 0.8563919600000001 -1280.721296118936 -1477.9577574182242
2008-11-17 23.5293966863 120.7398899163 0.85639373 -1280.7212945733265 -1477.957759821494
2008-11-18 23.5293966952 120.73988992560001 0.8563864800000001 -1280.721293583692 -1477.9577589748862
2008-11-19 23.5293966939 120.7398899223 0.85639287 -1280.7212937282452 -1477.9577592752967
2008-11-20 23.5293966937 120.7398899415 0.85638337 -1280.7212937504842 -1477.9577575274632
2008-11-21 23.5293966852 120.73988993430001 0.85638772 -1280.7212946956413 -1477.9577581828994
2008-11-22 23.5293966867 120.7398899341 0.8563883499999999 -1280.7212945288486 -1477.9577582011063
2008-11-23 23.5293966699 120.7398899339 0.85638752 -1280.7212963969237 -1477.9577582193133
2008-11-24 23.5293966752 120.7398899262 0.85638413 -1280.7212958075902 -1477.9577589202681
2008-11-25 23.5293966702 120.73988993200001 0.85638662 -1280.721296363565 -1477.957758392275
2008-11-26 23.5293966804 120.73988993110001 0.8563913599999999 -1280.7212952293764 -1477.9577584742049
2008-11-27 23.5293966874 120.73988992529999 0.85638205 -1280.7212944510125 -1477.957759002198
2008-11-28 23.5293966668 120.73988991990001 0.85638636 -1280.7212967416276 -1477.9577594937743
2008-11-29 23.5293966607 120.73988991780001 0.85638716 -1280.7212974199165 -1477.9577596849433
2008-11-30 23.5293966694 120.7398899117 0.8563879 -1280.7212964525208 -1477.9577602402453
2008-12-01 23.5293966745 120.73988993329999 0.8563872800000001 -1280.7212958854268 -1477.957758273934
2008-12-02 23.5293966785 120.7398899399 0.85638457 -1280.721295440647 -1477.957757673116
2008-12-03 23.5293966821 120.73988992689999 0.85638841 -1280.7212950403452 -1477.957758856545
2008-12-04 23.5293966755 120.73988994090001 0.85638585 -1280.721295774232 -1477.9577575820813
2008-12-05 23.5293966869 120.7398899271 0.85638564 -1280.7212945066096 -1477.9577588383381
2008-12-06 23.5293966655 120.73988992880001 0.85638306 -1280.7212968861813 -1477.9577586835808
2008-12-07 23.5293966641 120.73988994640001 0.8563817 -1280.721297041854 -1477.9577570814001
2008-12-08 23.5293966857 120.73988994230001 0.8563956899999999 -1280.7212946400437 -1477.9577574546356
2008-12-09 23.5293966606 120.73988994179999 0.85638585 -1280.7212974310362 -1477.957757500154
2008-12-10 23.5293966649 120.73988993450001 0.85639862 -1280.7212969528982 -1477.9577581646925
2008-12-11 23.5293967033 120.73988994039999 0.85639301 -1280.7212926830127 -1477.9577576276
2008-12-12 23.5293966969 120.73988993949999 0.85639228 -1280.7212933946603 -1477.95775770953
2008-12-13 23.5293966896 120.7398899357 0.8563948299999999 -1280.7212942063836 -1477.9577580554535
2008-12-14 23.5293966727 120.7398899477 0.85638625 -1280.7212960855777 -1477.957756963059
2008-12-15 23.5293966658 120.73988994320001 0.85638715 -1280.7212968528227 -1477.9577573727056
2008-12-16 23.5293966649 120.73988992049999 0.85638916 -1280.7212969528982 -1477.9577594391562
2008-12-19 23.5293966845 120.73988994230001 0.85638541 -1280.7212947734774 -1477.9577574546356
2008-12-20 23.5293966936 120.7398899239 0.8563973899999999 -1280.7212937616039 -1477.9577591296438
2008-12-21 23.5293967096 120.739889962 0.85639424 -1280.721291982485 -1477.9577556612862
2008-12-22 23.5293967008 120.7398899584 0.8563880500000001 -1280.7212929610002 -1477.9577559890056
2008-12-23 23.5293966676 120.7398899733 0.8563851600000001 -1280.7212966526718 -1477.9577546326145
2008-12-24 23.529396656 120.73988996240001 0.8563959800000001 -1280.721297942533 -1477.9577556248723
2008-12-25 23.5293966934 120.7398899753 0.85639354 -1280.7212937838428 -1477.957754450548
2008-12-26 23.5293966801 120.73988993770001 0.85639792 -1280.721295262735 -1477.957757873387
2008-12-27 23.5293966801 120.7398899605 0.85639192 -1280.721295262735 -1477.9577557978369
2008-12-28 23.5293966806 120.73988994800001 0.8563959 -1280.7212952071375 -1477.9577569357473
2008-12-29 23.5293966755 120.7398899566 0.85638852 -1280.721295774232 -1477.9577561528652
2008-12-30 23.529396695 120.7398899428 0.8563994699999999 -1280.721293605931 -1477.9577574091195
2008-12-31 23.5293966829 120.7398899531 0.8563936099999999 -1280.7212949513894 -1477.9577564714798
2009-01-01 23.5293966769 120.73988995139999 0.8563919799999999 -1280.721295618559 -1477.9577566262374
2009-01-02 23.5293966902 120.7398899399 0.85638877 -1280.7212941396665 -1477.957757673116
2009-01-03 23.5293966885 120.7398899707 0.85638959 -1280.7212943286977 -1477.9577548692994
2009-01-04 23.5293966938 120.7398899719 0.85639554 -1280.7212937393647 -1477.9577547600604
2009-01-05 23.5293966868 120.7398899692 0.85639221 -1280.7212945177293 -1477.95775500585
2009-01-06 23.5293966853 120.7398899591 0.85638744 -1280.7212946845216 -1477.9577559252825
2009-01-07 23.5293966744 120.73988994410001 0.85639016 -1280.721295896546 -1477.9577572907758
2009-01-08 23.529396673 120.7398899579 0.8563814700000001 -1280.721296052219 -1477.9577560345215
2009-01-09 23.5293966854 120.73988997059999 0.85639173 -1280.7212946734023 -1477.957754878404
2009-01-10 23.5293966846 120.7398899456 0.8563845099999999 -1280.7212947623582 -1477.9577571542277
2009-01-11 23.5293967077 120.73988996329999 0.85638523 -1280.7212921937553 -1477.957755542945
2009-01-12 23.5293967046 120.73988995619999 0.8563838100000001 -1280.7212925384595 -1477.957756189279
2009-01-13 23.5293966944 120.7398899563 0.8563918 -1280.7212936726478 -1477.9577561801743
2009-01-14 23.5293966996 120.73988994729999 0.85638532 -1280.7212930944343 -1477.9577569994728
2009-01-15 23.5293966912 120.739889941 0.8563932099999999 -1280.7212940284717 -1477.9577575729793
2009-01-16 23.5293966927 120.73988994129999 0.85639125 -1280.721293861679 -1477.9577575456701
2009-01-17 23.5293966772 120.7398899671 0.85639333 -1280.7212955852003 -1477.9577551970187
2009-01-18 23.5293966876 120.7398899502 0.85639356 -1280.7212944287735 -1477.9577567354763
2009-01-19 23.5293966895 120.73988996029999 0.85639311 -1280.7212942175029 -1477.9577558160436
2009-01-20 23.5293966721 120.73988995100001 0.8563902299999999 -1280.7212961522946 -1477.9577566626488
2009-01-21 23.5293966553 120.73988995810001 0.85638669 -1280.7212980203692 -1477.9577560163145
2009-01-22 23.5293966779 120.7398899451 0.8563907000000001 -1280.7212955073642 -1477.9577571997438
2009-01-23 23.5293966635 120.73988996439999 0.8563778999999999 -1280.7212971085712 -1477.9577554428083
2009-01-24 23.5293966574 120.73988997000001 0.8563848900000001 -1280.72129778686 -1477.9577549330222
2009-01-25 23.5293966676 120.7398899623 0.85639637 -1280.7212966526718 -1477.957755633977
2009-01-26 23.5293966641 120.7398899579 0.85639086 -1280.721297041854 -1477.9577560345215
2009-01-27 23.5293966678 120.73988996080001 0.85638527 -1280.7212966304328 -1477.9577557705252
2009-01-28 23.5293966642 120.7398899433 0.85639176 -1280.7212970307346 -1477.9577573636036
2009-01-29 23.5293966611 120.73988995420001 0.8563934900000001 -1280.7212973754386 -1477.957756371343
2009-01-30 23.5293966697 120.73988994480001 0.8563927200000001 -1280.7212964191626 -1477.957757227053
2009-01-31 23.5293966738 120.73988993629999 0.85640048 -1280.7212959632632 -1477.9577580008354
2009-02-10 23.5293966681 120.739889939 0.85639918 -1280.7212965970743 -1477.9577577550458
2009-02-11 23.5293966677 120.73988996829999 0.8564022 -1280.7212966415525 -1477.9577550877798
2009-02-12 23.5293965982 120.7398899076 0.8563877599999999 -1280.7213043695995 -1477.9577606134806
2009-02-13 23.5293966662 120.73988995990001 0.85640018 -1280.7212968083447 -1477.957755852455
2009-02-14 23.5293966457 120.73988996310001 0.85639797 -1280.7212990878406 -1477.9577555611493
2009-02-15 23.5293966612 120.7398899655 0.8563952100000001 -1280.7212973643193 -1477.9577553426716
2009-02-16 23.5293966783 120.73988993489999 0.85639728 -1280.721295462886 -1477.9577581282813
2009-02-17 23.5293966411 120.7398899469 0.8563963099999999 -1280.7212995993373 -1477.957757035884
2009-02-18 23.5293966529 120.7398899479 0.85640128 -1280.721298287237 -1477.957756944852
2009-02-19 23.529396608 120.73988989879999 0.85638607 -1280.7213032798895 -1477.9577614145721
2009-02-20 23.5293966664 120.73988995100001 0.85640053 -1280.7212967861055 -1477.9577566626488
2009-02-21 23.5293966932 120.73988995830001 0.85639936 -1280.7212938060818 -1477.9577559981078
2009-02-22 23.5293966497 120.73988999900001 0.8563959200000001 -1280.721298643061 -1477.9577522930654
2009-02-23 23.5293966212 120.7398899115 0.85641013 -1280.7213018121163 -1477.9577602584523
2009-02-24 23.5293966667 120.7398900186 0.8563847 -1280.7212967527473 -1477.9577505088207
