date lat lon z km_lat km_lon
2007-01-16 22.0373145861 121.55810185440001 0.34797687 -1446.6332542527248 -1403.4734889063056
2007-01-17 22.0373145937 121.55810183349999 0.34798736 -1446.6332534076435 -1403.4734908088965
2007-01-18 22.0373146076 121.5581018222 0.3479795 -1446.633251862034 -1403.4734918375682
2007-01-19 22.0373145886 121.5581018096 0.34797334999999996 -1446.6332539747373 -1403.4734929845836
2007-01-20 22.0373146006 121.55810182389999 0.34799043999999996 -1446.6332526403985 -1403.4734916828133
2007-01-21 22.037314605 121.5581018245 0.34797805 -1446.6332521511408 -1403.4734916281925
2007-01-22 22.0373145956 121.5581017961 0.34797838999999997 -1446.6332531963728 -1403.4734942135287
2007-01-23 22.0373145992 121.55810184910001 0.34798642 -1446.6332527960715 -1403.47348938878
2007-01-24 22.0373145848 121.5581017774 0.3479736 -1446.633254397278 -1403.4734959158461
2007-01-25 22.0373146006 121.55810179150001 0.34797057000000003 -1446.6332526403985 -1403.47349463228
2007-01-26 22.0373145751 121.5581017984 0.34798007000000003 -1446.6332554758687 -1403.473494004153
2007-01-27 22.0373145858 121.5581018117 0.34798239000000003 -1446.6332542860832 -1403.4734927934148
2007-01-28 22.0373145969 121.5581017939 0.34797638999999997 -1446.6332530518196 -1403.4734944138022
2007-01-29 22.0373146012 121.55810180430001 0.34797704 -1446.6332525736816 -1403.4734934670578
2007-01-30 22.0373146004 121.55810179119999 0.34797463 -1446.6332526626375 -1403.4734946595918
2007-01-31 22.0373145901 121.55810179459999 0.34798615 -1446.633253807945 -1403.4734943500794
2007-02-01 22.0373146094 121.558101795 0.34798336999999996 -1446.6332516618832 -1403.4734943136655
2007-02-02 22.0373146198 121.55810183540001 0.34798691000000004 -1446.6332505054556 -1403.4734906359322
2007-02-03 22.0373146134 121.5581018352 0.3479851 -1446.6332512171034 -1403.4734906541391
2007-02-04 22.0373145956 121.55810182100001 0.34798061999999996 -1446.6332531963728 -1403.4734919468071
2007-02-05 22.0373145948 121.55810182990001 0.34797399 -1446.6332532853287 -1403.4734911366133
