date lat lon z km_lat km_lon
2014-08-12 24.0821635662 121.1724790175 2.2370627 -1219.2564219113046 -1438.5778848668951
2014-08-14 24.0821635565 121.17247900340001 2.2370666999999997 -1219.2564229898953 -1438.5778861504584
2014-08-19 24.0821635869 121.1724790648 2.23704085 -1219.2564196095698 -1438.5778805610346
2014-08-20 24.0821635812 121.1724790415 2.23704454 -1219.2564202433807 -1438.5778826821033
2014-08-21 24.0821635627 121.1724790305 2.23703707 -1219.2564223004867 -1438.5778836834659
2014-08-22 24.0821635807 121.17247901479999 2.23703811 -1219.256420298978 -1438.5778851126847
2014-08-23 24.082163566 121.17247902630001 2.23703862 -1219.2564219335436 -1438.5778840658036
2014-08-24 24.0821635971 121.17247904569999 2.2370380500000002 -1219.2564184753815 -1438.5778822997659
2014-08-25 24.0821635522 121.17247903840001 2.23703869 -1219.2564234680333 -1438.5778829643043
2014-08-26 24.0821635951 121.17247905439999 2.23703919 -1219.2564186977713 -1438.577881507779
2014-08-27 24.0821635644 121.1724790365 2.2370369599999997 -1219.2564221114555 -1438.5778831372686
2014-08-28 24.0821635592 121.17247904320001 2.23703768 -1219.2564226896689 -1438.577882527346
2014-08-29 24.082163574 121.1724790323 2.2370432300000003 -1219.2564210439841 -1438.5778835196063
2014-08-30 24.08216356 121.17247904109999 2.23703272 -1219.256422600713 -1438.5778827185172
2014-08-31 24.0821635549 121.1724790136 2.2370353599999997 -1219.2564231678073 -1438.5778852219237
2014-09-01 24.082163555 121.1724790003 2.23704776 -1219.2564231566876 -1438.577886432662
2014-09-02 24.0821635716 121.1724790085 2.23703523 -1219.2564213108521 -1438.577885686191
2014-09-03 24.0821635726 121.1724790019 2.23703052 -1219.256421199657 -1438.577886287009
2014-09-04 24.0821635906 121.1724790131 2.2370373100000003 -1219.2564191981483 -1438.5778852674396
2014-09-05 24.0821635771 121.172479022 2.2370434799999996 -1219.2564206992797 -1438.5778844572458
2014-09-06 24.0821635845 121.1724789966 2.2370449800000003 -1219.2564198764371 -1438.5778867694835
2014-09-07 24.0821635954 121.17247901779999 2.23703284 -1219.2564186644126 -1438.577884839586
2014-09-08 24.0821636081 121.17247904659999 2.23703859 -1219.256417252237 -1438.577882217836
2014-09-09 24.0821635657 121.17247903110001 2.23703707 -1219.256421966902 -1438.5778836288453
2014-09-10 24.0821635866 121.17247904179999 2.2370336 -1219.256419642928 -1438.5778826547944
2014-09-11 24.0821635981 121.17247904480001 2.23704145 -1219.2564183641864 -1438.5778823816931
2014-09-12 24.0821635835 121.1724790344 2.23703476 -1219.2564199876322 -1438.5778833284376
2014-09-13 24.0821635863 121.17247903430001 2.23704093 -1219.2564196762867 -1438.5778833375396
2014-09-14 24.082163653 121.1724789914 2.2370480400000003 -1219.256412259585 -1438.5778872428557
2014-09-15 24.0821635931 121.17247902049999 2.2370466500000004 -1219.2564189201612 -1438.5778845937964
2014-09-16 24.082163574 121.17247904039999 2.2370384100000003 -1219.2564210439841 -1438.5778827822403
2014-09-17 24.0821635726 121.17247903200001 2.2370385500000003 -1219.256421199657 -1438.5778835469152
2014-09-18 24.0821635845 121.172479023 2.23704437 -1219.2564198764371 -1438.5778843662138
2014-09-19 24.0821635949 121.1724790342 2.2370506 -1219.2564187200103 -1438.5778833466443
2014-09-20 24.0821636193 121.1724789935 2.23705015 -1219.256416006854 -1438.5778870516867
2014-09-21 24.0821635673 121.1724790234 2.23704754 -1219.25642178899 -1438.5778843298
2014-09-22 24.0821635525 121.1724790392 2.2370391300000003 -1219.256423434675 -1438.5778828914792
2014-09-23 24.0821635826 121.17247902490001 2.23704291 -1219.2564200877077 -1438.5778841932495
2014-09-24 24.0821635685 121.172479004 2.23704016 -1219.256421655556 -1438.5778860958403
2014-09-25 24.0821635832 121.17247901619999 2.23705182 -1219.2564200209908 -1438.5778849852388
2014-09-26 24.0821635695 121.1724790133 2.2370365999999997 -1219.2564215443613 -1438.5778852492326
2014-09-27 24.0821635739 121.1724790172 2.2370367 -1219.2564210551036 -1438.5778848942043
2014-09-28 24.0821635702 121.1724790335 2.23703775 -1219.256421466525 -1438.5778834103673
2014-09-29 24.0821635563 121.17247901569999 2.23704269 -1219.2564230121343 -1438.5778850307547
2014-09-30 24.0821635663 121.17247903239999 2.2370411 -1219.256421900185 -1438.577883510504
2014-10-01 24.0821635902 121.1724790394 2.23704513 -1219.2564192426262 -1438.5778828732723
2014-10-02 24.0821635753 121.1724790264 2.23704447 -1219.2564208994306 -1438.5778840567014
2014-10-03 24.0821635699 121.17247900640001 2.23704365 -1219.2564214998833 -1438.57788587736
2014-10-04 24.0821635845 121.172479023 2.23703821 -1219.2564198764371 -1438.5778843662138
2014-10-05 24.0821635861 121.1724790209 2.23704533 -1219.2564196985256 -1438.5778845573827
2014-10-06 24.0821635893 121.1724790156 2.23704447 -1219.256419342702 -1438.577885039857
2014-10-07 24.0821635874 121.1724790264 2.23704436 -1219.2564195539721 -1438.5778840567014
2014-10-08 24.0821635872 121.1724790262 2.2370471 -1219.256419576211 -1438.5778840749083
2014-10-09 24.0821635971 121.17247903110001 2.2370524 -1219.2564184753815 -1438.5778836288453
2014-10-10 24.0821636042 121.17247901280001 2.2370422199999997 -1219.256417685897 -1438.5778852947487
2014-10-11 24.0821636174 121.17247900390001 2.23704241 -1219.2564162181243 -1438.5778861049425
2014-10-12 24.0821635929 121.17247903360001 2.23703683 -1219.2564189424002 -1438.5778834012626
2014-10-13 24.0821636008 121.1724790312 2.23704062 -1219.25641806396 -1438.577883619743
2014-10-14 24.0821635672 121.17247903309999 2.2370422 -1219.2564218001098 -1438.5778834467812
2014-10-15 24.0821635783 121.1724790319 2.23704423 -1219.2564205658457 -1438.5778835560202
2014-10-16 24.0821635789 121.17247902860001 2.23703942 -1219.2564204991288 -1438.577883856428
2014-10-17 24.0821635882 121.17247904070001 2.23703983 -1219.256419465016 -1438.5778827549286
2014-10-18 24.0821635816 121.172479041 2.2370423500000003 -1219.2564201989028 -1438.5778827276195
2014-10-19 24.0821635801 121.1724790415 2.23704158 -1219.2564203656948 -1438.5778826821033
2014-10-20 24.0821635799 121.1724790385 2.23704459 -1219.256420387934 -1438.577882955202
2014-10-21 24.0821635753 121.17247904050001 2.23704025 -1219.2564208994306 -1438.5778827731353
2014-10-22 24.0821635833 121.17247903660001 2.23704241 -1219.2564200098711 -1438.5778831281639
2014-10-23 24.0821636104 121.1724790236 2.2370468 -1219.256416996489 -1438.5778843115932
2014-10-24 24.082163574 121.17247902899999 2.23704311 -1219.2564210439841 -1438.5778838200165
2014-10-25 24.0821635658 121.17247903859999 2.2370473 -1219.2564219557826 -1438.5778829460999
2014-10-26 24.082163586 121.1724790152 2.23704457 -1219.256419709645 -1438.5778850762708
2014-10-27 24.0821635811 121.1724790273 2.2370436 -1219.2564202545 -1438.5778839747716
2014-10-28 24.0821635709 121.17247903629999 2.2370435900000003 -1219.2564213886883 -1438.5778831554755
2014-10-29 24.0821635718 121.17247904109999 2.23704597 -1219.256421288613 -1438.5778827185172
2014-10-30 24.0821635707 121.1724790435 2.2370466 -1219.2564214109273 -1438.5778825000368
2014-10-31 24.0821635867 121.17247904620001 2.23704765 -1219.2564196318087 -1438.5778822542472
2014-11-01 24.0821635701 121.17247904109999 2.23704065 -1219.2564214776442 -1438.5778827185172
2014-11-02 24.0821635643 121.17247903079999 2.23703858 -1219.2564221225748 -1438.577883656157
2014-11-03 24.082163569 121.17247903570001 2.23704437 -1219.256421599959 -1438.577883210094
2014-11-04 24.0821635656 121.1724790243 2.2370445500000002 -1219.2564219780218 -1438.57788424787
2014-11-05 24.0821635729 121.1724790245 2.2370461799999997 -1219.2564211662984 -1438.5778842296631
2014-11-06 24.0821635724 121.17247904979999 2.23704571 -1219.256421221896 -1438.5778819265304
2014-11-07 24.0821635904 121.1724790259 2.23704248 -1219.2564192203872 -1438.5778841022175
2014-11-08 24.0821635829 121.17247903910001 2.2370449199999998 -1219.256420054349 -1438.5778829005812
2014-11-09 24.0821635754 121.1724790333 2.23704219 -1219.2564208883114 -1438.5778834285743
2014-11-10 24.0821635769 121.1724790396 2.2370482000000003 -1219.2564207215187 -1438.5778828550654
2014-11-11 24.0821635685 121.1724790397 2.23704607 -1219.256421655556 -1438.5778828459631
2014-11-12 24.0821635895 121.1724790294 2.23704447 -1219.2564193204628 -1438.5778837836028
2014-11-13 24.0821635639 121.17247902369999 2.23704507 -1219.256422167053 -1438.577884302491
2014-11-14 24.0821636003 121.1724790362 2.2370437400000003 -1219.2564181195576 -1438.5778831645778
2014-11-15 24.0821635763 121.1724790447 2.23704643 -1219.2564207882356 -1438.5778823907979
2014-11-16 24.0821635705 121.1724790413 2.23705087 -1219.2564214331662 -1438.5778827003103
2014-11-17 24.0821635731 121.1724790337 2.23704539 -1219.2564211440595 -1438.5778833921604
2014-11-18 24.0821635711 121.17247902880001 2.23704074 -1219.2564213664493 -1438.577883838221
2014-11-19 24.0821635748 121.17247903289999 2.2370482099999998 -1219.2564209550283 -1438.5778834649882
2014-11-20 24.082163576 121.1724790449 2.23704946 -1219.2564208215942 -1438.577882372591
2014-11-21 24.0821635604 121.1724790497 2.2370461799999997 -1219.2564225562348 -1438.5778819356326
2014-11-22 24.0821635831 121.1724790559 2.23704454 -1219.25642003211 -1438.5778813712284
2014-11-23 24.0821635732 121.17247902470001 2.23704592 -1219.2564211329402 -1438.5778842114564
2014-11-24 24.0821635836 121.1724790333 2.23704407 -1219.256419976513 -1438.5778834285743
2014-11-25 24.0821635897 121.1724790333 2.23704438 -1219.2564192982238 -1438.5778834285743
2014-11-26 24.0821635993 121.1724790445 2.23704298 -1219.2564182307526 -1438.5778824090048
2014-11-27 24.0821635707 121.1724790293 2.2370459 -1219.2564214109273 -1438.5778837927048
2014-11-28 24.082163573 121.1724790406 2.2370464 -1219.2564211551792 -1438.5778827640333
2014-11-29 24.082163594 121.17247905069999 2.2370434300000004 -1219.2564188200854 -1438.5778818446006
2014-11-30 24.0821635998 121.17247903719999 2.23705021 -1219.2564181751547 -1438.5778830735458
2014-12-01 24.0821635808 121.1724790257 2.23704944 -1219.2564202878586 -1438.5778841204244
2014-12-02 24.0821635813 121.17247901959999 2.23704819 -1219.256420232261 -1438.5778846757264
2014-12-03 24.0821635818 121.17247902209999 2.23704583 -1219.2564201766636 -1438.5778844481438
2014-12-04 24.0821635859 121.1724790053 2.237046 -1219.2564197207646 -1438.5778859774966
2014-12-05 24.0821635864 121.17247902439999 2.2370422 -1219.256419665167 -1438.577884238768
2014-12-06 24.0821635795 121.172479046 2.23704074 -1219.256420432412 -1438.5778822724542
2014-12-07 24.0821635894 121.17247904659999 2.2370467400000003 -1219.2564193315823 -1438.577882217836
2014-12-08 24.0821635947 121.1724790472 2.23704182 -1219.2564187422493 -1438.5778821632152
2014-12-09 24.0821635943 121.1724790319 2.2370384100000003 -1219.2564187867272 -1438.5778835560202
2014-12-10 24.082163589 121.17247904620001 2.23704216 -1219.2564193760602 -1438.5778822542472
2014-12-11 24.082163576 121.1724790456 2.23704096 -1219.2564208215942 -1438.577882308868
2014-12-12 24.0821635808 121.1724790563 2.23703946 -1219.2564202878586 -1438.5778813348145
2014-12-13 24.0821635737 121.17247905650001 2.23703684 -1219.2564210773426 -1438.5778813166075
2014-12-14 24.0821635872 121.17247904519999 2.2370441999999997 -1219.256419576211 -1438.5778823452818
2014-12-15 24.0821635908 121.1724790543 2.2370426400000003 -1219.2564191759093 -1438.5778815168812
2014-12-16 24.0821635883 121.1724790703 2.23703584 -1219.2564194538968 -1438.5778800603534
2014-12-17 24.0821635857 121.1724790559 2.2370392900000002 -1219.2564197430036 -1438.5778813712284
2014-12-18 24.0821635975 121.17247904819999 2.2370393600000003 -1219.2564184309033 -1438.5778820721832
2014-12-19 24.0821635929 121.17247904249999 2.23704261 -1219.2564189424002 -1438.5778825910713
2014-12-20 24.0821635911 121.1724790348 2.23704115 -1219.256419142551 -1438.5778832920237
2014-12-21 24.0821635751 121.1724790367 2.23704005 -1219.2564209216696 -1438.5778831190619
2014-12-22 24.0821635646 121.17247906559999 2.23704041 -1219.2564220892166 -1438.5778804882095
2014-12-23 24.0821635955 121.1724790573 2.23703704 -1219.2564186532932 -1438.5778812437825
2014-12-24 24.082163605 121.17247907340001 2.23703847 -1219.2564175969412 -1438.57787977815
2014-12-25 24.0821635857 121.17247906189999 2.2370381299999997 -1219.2564197430036 -1438.5778808250311
2014-12-26 24.0821635759 121.17247905670001 2.2370410400000003 -1219.2564208327137 -1438.5778812984008
2014-12-27 24.0821636026 121.1724790502 2.23704547 -1219.256417863809 -1438.5778818901165
2014-12-28 24.0821635859 121.1724790584 2.23704838 -1219.2564197207646 -1438.5778811436458
2014-12-29 24.0821635863 121.172479057 2.23704318 -1219.2564196762867 -1438.5778812710917
2014-12-30 24.0821635877 121.1724790614 2.23704182 -1219.2564195206137 -1438.5778808705472
2014-12-31 24.0821635916 121.17247907250001 2.23704301 -1219.2564190869534 -1438.5778798600797
2015-01-01 24.0821635794 121.1724790639 2.2370360999999996 -1219.2564204435316 -1438.5778806429646
2015-01-02 24.0821635908 121.17247904870001 2.2370473200000003 -1219.2564191759093 -1438.5778820266646
2015-01-03 24.0821635785 121.17247905350001 2.2370463800000002 -1219.2564205436067 -1438.5778815897063
2015-01-04 24.0821635659 121.172479052 2.2370450099999997 -1219.256421944663 -1438.577881726257
2015-01-05 24.082163588 121.1724790415 2.23704387 -1219.256419487255 -1438.5778826821033
2015-01-06 24.0821635737 121.1724790312 2.23704652 -1219.2564210773426 -1438.577883619743
2015-01-07 24.0821635683 121.1724790188 2.2370419499999996 -1219.256421677795 -1438.5778847485515
2015-01-08 24.082163583 121.172479041 2.23704256 -1219.2564200432298 -1438.5778827276195
2015-01-09 24.0821635842 121.1724790609 2.23704328 -1219.2564199097958 -1438.5778809160631
2015-01-10 24.0821635623 121.172479046 2.23704245 -1219.2564223449647 -1438.5778822724542
2015-01-11 24.082163567 121.1724790698 2.23704254 -1219.2564218223488 -1438.5778801058693
2015-01-12 24.0821635707 121.17247905190001 2.2370439099999997 -1219.2564214109273 -1438.5778817353591
2015-01-13 24.0821635805 121.1724790465 2.23704299 -1219.2564203212169 -1438.577882226938
2015-01-14 24.0821635841 121.1724790291 2.2370411399999997 -1219.256419920915 -1438.5778838109118
2015-01-15 24.0821635868 121.172479044 2.23704071 -1219.256419620689 -1438.5778824545207
2015-01-16 24.0821635714 121.17247904710001 2.23704239 -1219.256421333091 -1438.5778821723175
2015-01-17 24.0821635796 121.17247904460001 2.23704224 -1219.2564204212927 -1438.5778823999
2015-01-18 24.0821635684 121.1724790259 2.23704402 -1219.2564216666758 -1438.5778841022175
