date lat lon z km_lat km_lon
2008-02-28 22.8010760029 121.1231329314 0.07650698 -1361.7068595377045 -1443.0700061309917
2008-02-29 22.8010759866 121.123132962 0.07651941 -1361.7068613501817 -1443.070003345382
2008-03-01 22.8010759988 121.1231329689 0.07651306 -1361.706859993604 -1443.070002717255
2008-03-02 22.801076 121.12313297649999 0.07651836000000001 -1361.70685986017 -1443.0700020254048
2008-03-03 22.8010759996 121.1231329666 0.07652169 -1361.706859904648 -1443.0700029266307
2008-03-04 22.8010760087 121.12313296759999 0.07651761 -1361.7068588927739 -1443.0700028355986
2008-03-05 22.8010760141 121.1231329355 0.07651087 -1361.7068582923212 -1443.0700057577562
2008-03-06 22.801076015 121.1231329538 0.07651052 -1361.706858192246 -1443.0700040918528
2008-03-07 22.8010760046 121.12313295089999 0.07651337999999999 -1361.7068593486733 -1443.0700043558493
2008-03-08 22.8010760277 121.1231329577 0.07651199 -1361.7068567800704 -1443.0700037368242
2008-03-09 22.8010759826 121.1231329823 0.0765217 -1361.7068617949615 -1443.0700014974118
2008-03-10 22.8010760147 121.1231329684 0.07651156 -1361.7068582256043 -1443.0700027627709
2008-03-11 22.8010759952 121.12313295850001 0.07651672000000001 -1361.7068603939053 -1443.0700036639967
2008-03-12 22.8010759898 121.123132976 0.07651791 -1361.7068609943578 -1443.0700020709207
2008-03-13 22.8010759891 121.1231329691 0.07652627 -1361.7068610721947 -1443.070002699048
2008-03-14 22.8010760129 121.1231329728 0.07651803 -1361.7068584257552 -1443.0700023622264
2008-03-15 22.801075996 121.1231329659 0.07651859 -1361.7068603049493 -1443.0700029903535
2008-03-16 22.8010759986 121.12313296599999 0.0765202 -1361.706860015843 -1443.0700029812513
2008-03-17 22.8010760154 121.12313295690001 0.07652913 -1361.706858147768 -1443.0700038096495
2008-03-18 22.8010759728 121.12313298960001 0.07651363000000001 -1361.7068628846719 -1443.0700008328708
2008-03-19 22.8010760275 121.12313294469999 0.0765248 -1361.7068568023094 -1443.0700049202535
2008-03-20 22.8010760164 121.1231329513 0.07651810999999999 -1361.706858036573 -1443.0700043194354
2008-03-21 22.8010759848 121.1231329764 0.07651042 -1361.7068615503326 -1443.070002034507
2008-03-22 22.8010759967 121.1231329631 0.07651033 -1361.706860227113 -1443.0700032452453
2008-03-23 22.8010759966 121.12313295210001 0.07651022 -1361.7068602382324 -1443.0700042466078
2008-03-24 22.8010759832 121.1231329451 0.0765081 -1361.7068617282446 -1443.0700048838396
2008-03-25 22.8010760053 121.12313296740001 0.07651598 -1361.7068592708367 -1443.0700028538029
2008-03-26 22.8010760064 121.1231329641 0.07652218000000001 -1361.7068591485224 -1443.0700031542133
2008-03-27 22.80107599 121.12313297220001 0.07651365 -1361.7068609721189 -1443.0700024168445
2008-03-28 22.8010759809 121.1231329776 0.07651405 -1361.7068619839931 -1443.0700019252681
2008-03-29 22.8010759967 121.12313295690001 0.07653298 -1361.706860227113 -1443.0700038096495
2008-03-30 22.8010759781 121.1231329554 0.07653082 -1361.7068622953389 -1443.0700039462001
2008-03-31 22.801075982 121.12313298379999 0.07651888999999999 -1361.7068618616784 -1443.070001360864
2008-04-01 22.8010759823 121.12313296049999 0.07652505 -1361.7068618283201 -1443.0700034819326
2008-04-02 22.8010759849 121.1231329414 0.07651867 -1361.7068615392134 -1443.0700052206612
2008-04-03 22.8010759711 121.1231329917 0.07651588 -1361.706863073703 -1443.070000641702
2008-04-04 22.801075981 121.12313297989999 0.07651658 -1361.7068619728734 -1443.0700017158922
2008-04-05 22.8010759729 121.123132984 0.07650829 -1361.7068628735522 -1443.070001342657
2008-04-15 22.8010759677 121.1231329592 0.07651542 -1361.706863451766 -1443.0700036002736
2008-04-16 22.8010759971 121.123132951 0.07652292 -1361.7068601826352 -1443.0700043467446
2008-04-17 22.8010759927 121.12313295300001 0.07652283 -1361.7068606718929 -1443.0700041646778
2008-04-18 22.8010760065 121.1231329451 0.07652579 -1361.7068591374027 -1443.0700048838396
2008-04-19 22.8010760385 121.12313292050001 0.07652495000000001 -1361.7068555791652 -1443.0700071232495
2008-04-20 22.8010760024 121.1231329744 0.0765155 -1361.7068595933022 -1443.0700022165736
2008-04-21 22.8010759913 121.12313294539999 0.07652516 -1361.7068608275658 -1443.0700048565304
2008-04-22 22.8010760018 121.12313294180001 0.07651639 -1361.706859660019 -1443.0700051842473
2008-04-23 22.8010759929 121.12313293810001 0.07652562 -1361.706860649654 -1443.0700055210689
2008-04-24 22.8010759996 121.12313295749999 0.07651734 -1361.706859904648 -1443.0700037550312
