date lat lon z km_lat km_lon
2007-01-01 24.0178849733 121.61034228930001 0.03602444 -1226.4038753336356 -1398.7178864460745
2007-01-02 24.0178849753 121.61034229200001 0.03602598 -1226.4038751112457 -1398.717886200285
2007-01-03 24.0178849859 121.6103422605 0.03603050000000001 -1226.4038739325795 -1398.7178890678247
2007-01-04 24.0178849539 121.6103422889 0.03603651 -1226.403877490817 -1398.7178864824884
2007-01-05 24.0178849474 121.6103423134 0.0360297 -1226.4038782135842 -1398.7178842521807
2007-01-06 24.0178849728 121.61034229699999 0.03602367 -1226.4038753892328 -1398.7178857451224
2007-01-07 24.0178849499 121.61034230140001 0.03602601 -1226.4038779355967 -1398.7178853445753
2007-01-08 24.017884962 121.61034231190001 0.03602595 -1226.4038765901382 -1398.7178843887289
2007-01-09 24.0178849805 121.6103422946 0.036028 -1226.403874533032 -1398.7178859636003
2007-01-10 24.0178849913 121.6103422903 0.03602337 -1226.4038733321268 -1398.7178863550425
2007-01-11 24.0178849784 121.61034227779999 0.03601646 -1226.403874766541 -1398.7178874929557
2007-01-12 24.0178849603 121.610342293 0.036014859999999996 -1226.4038767791694 -1398.717886109253
2007-01-13 24.0178849782 121.61034229410001 0.036023400000000004 -1226.4038747887803 -1398.7178860091162
2007-01-14 24.0178849756 121.6103422942 0.03602932 -1226.403875077887 -1398.717886000014
2007-01-15 24.0178849713 121.6103422951 0.03602612 -1226.4038755560255 -1398.7178859180842
2007-01-16 24.0178849523 121.61034228560001 0.03602588 -1226.403877668729 -1398.7178867828961
2007-01-17 24.0178849717 121.6103422608 0.0360363 -1226.4038755115475 -1398.7178890405155
2007-01-18 24.0178849677 121.61034230070001 0.03602688 -1226.4038759563273 -1398.7178854082983
2007-01-19 24.0178849759 121.61034228860001 0.03602204 -1226.4038750445288 -1398.7178865097976
2007-01-20 24.0178849835 121.61034230839999 0.03601746 -1226.4038741994473 -1398.717884707346
2007-01-21 24.0178849754 121.61034230210001 0.03602785 -1226.403875100126 -1398.7178852808524
2007-01-22 24.017884987 121.61034230819999 0.03602268 -1226.4038738102652 -1398.717884725553
2007-01-23 24.0178849811 121.61034232930001 0.03602843 -1226.403874466315 -1398.7178828047552
2007-01-24 24.0178849933 121.61034231010001 0.03602831 -1226.4038731097369 -1398.7178845525884
2007-01-25 24.0178849804 121.6103422949 0.03602243 -1226.4038745441512 -1398.7178859362912
2007-01-26 24.0178849512 121.61034230679999 0.036028489999999996 -1226.4038777910434 -1398.7178848529988
2007-01-27 24.0178849842 121.6103423076 0.03602319 -1226.403874121611 -1398.717884780171
2007-01-28 24.0178849402 121.61034234140001 0.036029719999999994 -1226.4038790141876 -1398.717881703256
2007-01-29 24.0178849592 121.61034231170001 0.03603216 -1226.403876901484 -1398.7178844069358
2007-01-30 24.0178849932 121.61034230409999 0.03603474 -1226.4038731208566 -1398.7178850987884
2007-01-31 24.0178849548 121.61034230230001 0.036035559999999994 -1226.4038773907416 -1398.7178852626455
2007-02-01 24.0178849879 121.6103423335 0.03603418 -1226.4038737101896 -1398.7178824224175
2007-02-02 24.0178849728 121.6103423276 0.036033659999999995 -1226.4038753892328 -1398.7178829595127
2007-02-03 24.0178849627 121.6103423315 0.03603015 -1226.4038765123018 -1398.7178826044842
2007-02-04 24.0178849258 121.61034240500001 0.03603745 -1226.4038806153944 -1398.7178759135584
2007-02-05 24.0178849564 121.61034233320001 0.03603167 -1226.4038772128297 -1398.7178824497266
2007-02-06 24.0178849795 121.6103423291 0.03602405 -1226.403874644227 -1398.717882822962
2007-02-07 24.0178849729 121.61034230889999 0.03601954 -1226.4038753781135 -1398.71788466183
2007-02-08 24.0178849493 121.6103422967 0.03602655 -1226.4038780023136 -1398.7178857724314
2007-02-09 24.0178849596 121.6103423301 0.03602008 -1226.403876857006 -1398.71788273193
2007-02-10 24.0178849755 121.6103423042 0.03602225 -1226.4038750890068 -1398.7178850896835
2007-02-11 24.0178849471 121.61034232649999 0.03603217 -1226.4038782469424 -1398.7178830596495
2007-02-12 24.0178849467 121.61034233820001 0.0360314 -1226.4038782914204 -1398.7178819945614
2007-02-13 24.0178849688 121.6103423566 0.03602605 -1226.4038758340125 -1398.7178803195557
2007-02-14 24.0178849898 121.61034234780001 0.03602528 -1226.4038734989192 -1398.7178811206447
2007-02-15 24.0178849758 121.6103423168 0.0360333 -1226.403875055648 -1398.7178839426683
2007-02-16 24.0178849593 121.6103423385 0.03603316 -1226.4038768903642 -1398.7178819672522
2007-02-17 24.0178849364 121.61034240129999 0.03603018 -1226.4038794367282 -1398.7178762503827
2007-02-18 24.01788496 121.61034232060001 0.03601276 -1226.403876812528 -1398.717883596742
2007-02-19 24.0178849715 121.6103423138 0.036026829999999996 -1226.4038755337865 -1398.7178842157668
2007-02-20 24.017884985 121.61034227100001 0.036027500000000004 -1226.403874032655 -1398.717888111978
2007-02-21 24.0178849688 121.61034227350001 0.036028239999999996 -1226.4038758340125 -1398.7178878843954
2007-02-22 24.0178849419 121.610342306 0.03603327 -1226.4038788251562 -1398.717884925824
2007-02-23 24.0178849446 121.61034233679999 0.03603255 -1226.40387852493 -1398.7178821220098
2007-02-24 24.017884953 121.6103423189 0.03602451 -1226.4038775908925 -1398.7178837514996
2007-02-25 24.0178849435 121.61034231209999 0.03602194 -1226.4038786472443 -1398.7178843705244
2007-02-26 24.017884945 121.61034232879999 0.03603249 -1226.403878480452 -1398.7178828502738
2007-02-27 24.0178849741 121.61034233960001 0.03603389 -1226.4038752446795 -1398.7178818671155
2007-02-28 24.017884956 121.61034232290001 0.036033230000000006 -1226.4038772573078 -1398.7178833873663
2007-03-01 24.0178849541 121.6103423196 0.03602151 -1226.403877468578 -1398.7178836877765
2007-03-02 24.0178849681 121.6103422965 0.036028120000000004 -1226.4038759118491 -1398.7178857906383
2007-03-03 24.0178849618 121.610342304 0.03602478 -1226.4038766123772 -1398.7178851078904
2007-03-04 24.01788497 121.6103423303 0.03602102 -1226.4038757005787 -1398.7178827137232
2007-03-05 24.0178849866 121.61034232079999 0.036026449999999995 -1226.403873854743 -1398.7178835785376
2007-03-06 24.017884989 121.6103423129 0.03603324 -1226.4038735878753 -1398.7178842976969
2007-03-07 24.0178849655 121.6103422782 0.03602151 -1226.4038762009561 -1398.7178874565418
2007-03-08 24.0178849735 121.6103423136 0.03602146 -1226.4038753113966 -1398.7178842339738
2007-03-09 24.017884968 121.61034234229999 0.03602491 -1226.4038759229686 -1398.7178816213286
2007-03-10 24.0178849686 121.6103423234 0.03602995 -1226.4038758562515 -1398.7178833418502
2007-03-11 24.0178849755 121.61034229410001 0.036029179999999994 -1226.4038750890068 -1398.7178860091162
2007-03-12 24.0178849657 121.61034232130001 0.03602371 -1226.4038761787172 -1398.717883533019
2007-03-13 24.0178849717 121.61034230530001 0.036031709999999995 -1226.4038755115475 -1398.7178849895467
2007-03-14 24.0178849784 121.61034232930001 0.03602706 -1226.403874766541 -1398.7178828047552
2007-03-15 24.0178849848 121.61034233020001 0.036044730000000004 -1226.403874054894 -1398.7178827228254
2007-03-16 24.0178850031 121.6103423198 0.036022649999999996 -1226.4038720200265 -1398.7178836695696
