date lat lon z km_lat km_lon
2007-01-01 24.0136986999 121.3956701049 1.2918042399999998 -1226.8693676972625 -1418.2601350936989
2007-01-02 24.0136986974 121.39567008169999 1.29179235 -1226.86936797525 -1418.2601372056656
2007-01-03 24.0136987103 121.3956700985 1.29180306 -1226.869366540835 -1418.26013567631
2007-01-04 24.0136986629 121.39567016020001 1.29180826 -1226.8693718114746 -1418.2601300595745
2007-01-05 24.0136987253 121.395670115 1.29181857 -1226.8693648729115 -1418.2601341742663
2007-01-06 24.013698706 121.39567013850001 1.29180817 -1226.8693670189734 -1418.2601320349906
2007-01-07 24.0136986942 121.3956701196 1.29178999 -1226.8693683310737 -1418.2601337555147
2007-01-08 24.013698689 121.39567012789999 1.2918041 -1226.869368909287 -1418.2601329999418
2007-01-09 24.0136987016 121.3956701217 1.2918100799999999 -1226.8693675082313 -1418.260133564346
2007-01-10 24.0136987087 121.3956701054 1.2918049699999998 -1226.869366718747 -1418.260135048183
2007-01-11 24.0136986798 121.39567009199999 1.29180139 -1226.8693699322805 -1418.260136268026
2007-01-12 24.0136986787 121.39567011279999 1.2918131499999999 -1226.869370054595 -1418.2601343745398
2007-01-13 24.0136987112 121.3956701335 1.29180102 -1226.86936644076 -1418.260132490156
2007-01-14 24.0136987101 121.39567009589999 1.29180341 -1226.8693665630742 -1418.2601359129974
2007-01-15 24.0136987005 121.3956701063 1.29180999 -1226.8693676305454 -1418.260134966253
2007-01-16 24.0136986927 121.39567008910001 1.29179486 -1226.869368497866 -1418.2601365320197
2007-01-17 24.0136987046 121.39567008399999 1.2918030100000002 -1226.8693671746464 -1418.26013699629
2007-01-18 24.0136987091 121.3956700953 1.2918072600000001 -1226.869366674269 -1418.2601359676155
2007-01-19 24.0136987021 121.39567008540001 1.29180851 -1226.8693674526337 -1418.2601368688413
2007-01-20 24.0136987023 121.39567008060001 1.29179727 -1226.8693674303945 -1418.2601373057996
2007-01-21 24.0136987162 121.3956700446 1.29181135 -1226.869365884785 -1418.2601405829885
2007-01-22 24.013698691 121.39567019 1.29182643 -1226.8693686868976 -1418.2601273467926
2007-01-23 24.0136986748 121.39567015829999 1.29181204 -1226.869370488255 -1418.260130232539
2007-01-24 24.0136986991 121.395670123 1.29181768 -1226.8693677862184 -1418.2601334460023
2007-01-25 24.0136986989 121.3956700892 1.2918110999999999 -1226.8693678084574 -1418.2601365229177
2007-01-26 24.013698685 121.39567012090001 1.29181214 -1226.8693693540667 -1418.260133637171
2007-01-27 24.0136987037 121.39567015189999 1.2918024000000001 -1226.8693672747218 -1418.2601308151502
2007-01-28 24.0136986719 121.3956701075 1.29180574 -1226.8693708107207 -1418.2601348570142
2007-01-29 24.013698688 121.39567013039999 1.29181096 -1226.869369020482 -1418.2601327723592
2007-01-30 24.0136987121 121.39567011790001 1.29181345 -1226.8693663406846 -1418.2601339102698
2007-01-31 24.0136986815 121.39567012250001 1.2918095699999999 -1226.8693697432493 -1418.2601334915184
2007-02-01 24.0136986875 121.3956701228 1.2918144500000002 -1226.8693690760797 -1418.2601334642093
2007-02-02 24.0136986979 121.39567014030001 1.29180548 -1226.8693679196524 -1418.2601318711309
2007-02-03 24.0136987008 121.39567015790001 1.29180642 -1226.8693675971872 -1418.2601302689502
2007-02-04 24.0136986801 121.39567016960001 1.2918097099999999 -1226.8693698989223 -1418.2601292038648
2007-02-05 24.0136986884 121.39567014709999 1.2918063299999998 -1226.8693689760041 -1418.2601312521085
2007-02-06 24.0136986918 121.39567014709999 1.29180714 -1226.8693685979417 -1418.2601312521085
2007-02-07 24.013698698 121.3956700873 1.2918098500000001 -1226.869367908533 -1418.2601366958795
2007-02-08 24.0136986514 121.39567010889999 1.291813 -1226.8693730902166 -1418.2601347295683
2007-02-09 24.0136987061 121.3956700622 1.29180022 -1226.869367007854 -1418.260138980808
2007-02-10 24.0136987224 121.3956700642 1.2918024000000001 -1226.8693651953765 -1418.2601387987413
2007-02-11 24.0136986836 121.39567014510001 1.2918155 -1226.8693695097397 -1418.2601314341725
2007-02-12 24.0136986909 121.3956701436 1.29181444 -1226.8693686980168 -1418.2601315707232
2007-02-13 24.0136987258 121.3956701825 1.29182752 -1226.869364817314 -1418.2601280295403
2007-02-14 24.0136987076 121.3956701448 1.29181844 -1226.8693668410617 -1418.2601314614842
2007-02-15 24.0136986936 121.395670123 1.29181386 -1226.8693683977908 -1418.2601334460023
2007-02-16 24.0136986878 121.3956700551 1.29183181 -1226.869369042721 -1418.260139627142
2007-02-17 24.0136986933 121.3956699574 1.29182845 -1226.869368431149 -1418.2601485210637
2007-02-18 24.0136987188 121.39566998270001 1.2918029100000001 -1226.8693655956783 -1418.2601462179284
2007-02-19 24.0136987551 121.3956699993 1.29179492 -1226.869361559303 -1418.2601447067823
2007-02-20 24.0136987663 121.39566999210001 1.29178974 -1226.8693603139195 -1418.2601453622185
2007-02-21 24.0136987462 121.39567006409999 1.29178546 -1226.8693625489375 -1418.260138807846
