date lat lon z km_lat km_lon
2015-12-13 34.7877205112 128.7379057987 0.14580454 -28.852802722883233 -749.8745407572336
2015-12-14 34.7877205153 128.7379057857 0.1457998 -28.8528022669838 -749.8745419406628
2015-12-15 34.7877205201 128.7379057995 0.14580471 -28.852801733248107 -749.8745406844085
2015-12-16 34.7877205232 128.7379057823 0.14579623 -28.852801388544005 -749.8745422501752
2015-12-17 34.7877205215 128.7379058066 0.14580366 -28.852801577575594 -749.8745400380744
2015-12-18 34.7877205304 128.7379057857 0.14580456 -28.852800587940465 -749.8745419406628
2015-12-19 34.7877205224 128.7379057931 0.14580699000000003 -28.852801477499952 -749.8745412670196
2015-12-20 34.7877205271 128.7379057872 0.14579815999999998 -28.852800954883953 -749.8745418041148
2015-12-21 34.7877205234 128.7379057972 0.14580109 -28.852801366305414 -749.8745408937842
2015-12-22 34.7877205101 128.7379057954 0.14579671 -28.852802845197466 -749.8745410576439
2015-12-23 34.7877205198 128.7379057799 0.14579665 -28.852801766607183 -749.8745424686557
2015-12-24 34.7877205188 128.7379058134 0.14580794 -28.85280187780172 -749.8745394190495
2015-12-25 34.7877205233 128.7379058263 0.14580492 -28.852801377424314 -749.874538244725
2015-12-26 34.7877205262 128.7379058167 0.14580679000000002 -28.852801054959592 -749.8745391186418
2015-12-27 34.7877205202 128.7379058063 0.14580002 -28.852801722129207 -749.8745400653835
2016-01-01 34.7877205207 128.7379058235 0.14581182999999998 -28.85280166653154 -749.8745384996168
2016-01-02 34.78772051 128.7379058239 0.14580662 -28.852802856317158 -749.874538463203
2016-01-03 34.787720504 128.7379058424 0.14580756 -28.852803523486774 -749.8745367790925
2016-01-04 34.7877205265 128.7379058164 0.1458097 -28.85280102160052 -749.8745391459508
2016-01-05 34.7877205166 128.7379058079 0.14580461 -28.852802122430976 -749.8745399197308
2016-01-06 34.7877205321 128.7379058281 0.14580447000000002 -28.85280039890888 -749.8745380808654
2016-01-07 34.7877205119 128.7379058293 0.14581202999999998 -28.852802645046978 -749.8745379716264
2016-01-08 34.7877205197 128.7379058351 0.14581002 -28.852801777726082 -749.8745374436335
2016-01-09 34.7877205182 128.7379058216 0.14580511000000002 -28.85280194451908 -749.8745386725786
2016-01-10 34.787720535 128.7379058275 0.14580506 -28.852800076444158 -749.8745381354861
2016-01-11 34.787720513 128.7379058189 0.14580806999999998 -28.852802522732745 -749.8745389183682
2016-01-12 34.78772054 128.7379058335 0.14580546 -28.85279952046908 -749.8745375892863
2016-01-13 34.7877205074 128.7379058532 0.14580513 -28.852803145423596 -749.8745357959369
2016-01-14 34.7877205252 128.7379058433 0.14580462 -28.852801166154133 -749.8745366971626
2016-01-15 34.7877205117 128.7379058316 0.14580896000000002 -28.85280266728557 -749.8745377622507
2016-01-16 34.7877205277 128.7379058123 0.14580429 -28.852800888166595 -749.8745395191862
2016-01-17 34.7877205094 128.7379058281 0.14581059999999998 -28.852802923033725 -749.8745380808654
2016-01-18 34.7877204945 128.7379058352 0.14580286 -28.852804579838466 -749.8745374345314
2016-01-19 34.7877205086 128.7379057983 0.14580466 -28.85280301198967 -749.8745407936474
2016-01-20 34.7877205411 128.7379058231 0.14580082 -28.85279939815485 -749.8745385360306
2016-01-21 34.7877205362 128.7379058307 0.14580263999999998 -28.852799943010233 -749.8745378441806
2016-01-22 34.787720524 128.7379058178 0.14580379999999998 -28.852801299588055 -749.874539018505
2016-01-23 34.7877205296 128.7379058049 0.14580339 -28.852800676896415 -749.8745401928294
2016-01-24 34.787720521 128.737905832 0.14581278 -28.852801633173257 -749.874537725837
2016-01-25 34.7877205156 128.7379058336 0.14580543 -28.852802233625518 -749.8745375801841
2016-01-26 34.7877205043 128.7379058726 0.14580613 -28.85280349012849 -749.8745340298966
2016-01-27 34.7877205045 128.7379058294 0.14580797 -28.852803467889107 -749.8745379625217
2016-01-28 34.7877205066 128.7379058433 0.14579699 -28.852803234379543 -749.8745366971626
2016-01-29 34.7877204952 128.7379058419 0.14580211 -28.852804502002208 -749.8745368246111
2016-01-30 34.7877204872 128.7379058336 0.14580012 -28.852805391561695 -749.8745375801841
2016-01-31 34.7877205202 128.7379058257 0.14580542 -28.852801722129207 -749.8745382993433
2016-02-01 34.787720525 128.7379058317 0.14580594 -28.852801188393514 -749.874537753146
2016-02-02 34.7877205151 128.7379058337 0.14580690000000002 -28.85280228922318 -749.8745375710794
2016-02-03 34.7877205206 128.7379058287 0.14580491 -28.852801677651232 -749.8745380262446
2016-02-04 34.7877205116 128.7379058337 0.14580734 -28.85280267840526 -749.8745375710794
2016-02-05 34.787720483 128.7379058439 0.14581289 -28.85280585858003 -749.8745366425445
2016-02-06 34.7877205015 128.7379058451 0.14581068 -28.85280380147431 -749.8745365333056
2016-02-07 34.7877205148 128.7379058538 0.14580132 -28.852802322581464 -749.8745357413187
2016-02-08 34.7877204949 128.7379058355 0.14580577 -28.85280453536049 -749.8745374072222
2016-02-09 34.7877205124 128.7379058568 0.14580845 -28.85280258944931 -749.8745354682175
2016-02-10 34.787720502 128.7379058513 0.14580758 -28.852803745876646 -749.8745359688987
2016-02-11 34.7877205033 128.7379058277 0.14580742000000002 -28.85280360132303 -749.8745381172793
2016-02-12 34.7877205199 128.7379058487 0.14580474000000002 -28.85280175548749 -749.8745362055862
2016-02-13 34.7877204962 128.7379058497 0.14580263999999998 -28.852804390806877 -749.8745361145516
2016-02-14 34.7877204809 128.7379058902 0.1458075 -28.852806092089594 -749.8745324277161
