date lat lon z km_lat km_lon
2012-09-05 22.9082930761 121.2546289503 0.09648814 -1349.7848649481862 -1431.0995316855067
2012-09-06 22.9082930771 121.2546289473 0.09646817 -1349.7848648369911 -1431.0995319586052
2012-09-07 22.9082930854 121.25462892300001 0.09645962 -1349.7848639140734 -1431.099534170706
2012-09-08 22.908293057 121.25462895890001 0.09645914 -1349.784867072009 -1431.099530902622
2012-09-09 22.9082930808 121.25462893310001 0.09646704 -1349.78486442557 -1431.0995332512734
2012-09-10 22.9082930668 121.25462894239999 0.09647242 -1349.7848659822992 -1431.0995324046683
2012-09-11 22.908293083 121.25462895609999 0.09645954000000001 -1349.7848641809412 -1431.0995311575164
2012-09-12 22.9082930556 121.2546289766 0.09645779 -1349.784867227682 -1431.0995292913392
2012-09-13 22.9082930457 121.25462898820001 0.09646152 -1349.7848683285122 -1431.0995282353558
2012-09-14 22.9082930972 121.25462897380001 0.09646116 -1349.7848626019731 -1431.099529546231
2012-09-15 22.9082930727 121.25462894539999 0.09645447 -1349.7848653262488 -1431.0995321315697
2012-09-16 22.9082930614 121.2546289569 0.09648130999999999 -1349.7848665827519 -1431.0995310846886
2012-09-17 22.908293048 121.2546289634 0.09646531 -1349.7848680727636 -1431.0995304929752
2012-09-18 22.9082930846 121.254628954 0.09646285 -1349.7848640030293 -1431.099531348685
2012-09-19 22.9082930877 121.25462893010001 0.09646361 -1349.7848636583253 -1431.099533524372
2012-09-20 22.9082930938 121.2546289487 0.09646643 -1349.784862980036 -1431.0995318311593
2012-09-21 22.9082930712 121.2546289606 0.09647195 -1349.7848654930415 -1431.099530747867
2012-09-22 22.9082930752 121.25462895730001 0.09646582 -1349.7848650482617 -1431.0995310482747
2012-09-23 22.9082930822 121.25462899729999 0.09647607000000001 -1349.784864269897 -1431.0995274069578
2012-09-24 22.9082930801 121.2546289403 0.0964585 -1349.7848645034064 -1431.0995325958372
2012-09-25 22.9082930983 121.2546289188 0.09645292999999999 -1349.7848624796588 -1431.0995345530462
2012-09-26 22.9082931089 121.2546289291 0.09644474 -1349.7848613009926 -1431.0995336154067
2012-09-27 22.9082931322 121.2546288746 0.09644327 -1349.7848587101507 -1431.0995385767033
2012-09-28 22.9082930949 121.2546288712 0.09646128 -1349.7848628577217 -1431.0995388862157
2012-09-29 22.9082930803 121.25462892479999 0.09645708 -1349.7848644811672 -1431.099534006849
2012-09-30 22.9082930945 121.2546289316 0.09645841 -1349.7848629021996 -1431.099533387824
2012-10-01 22.908293076 121.25462893349999 0.09646754 -1349.7848649593057 -1431.099533214862
2012-10-02 22.9082930973 121.254628937 0.0964745 -1349.784862590854 -1431.099532896245
