date lat lon z km_lat km_lon
2004-04-10 33.577855284 135.9369546281 0.09755777 -163.3836779111894 -94.52367336967147
2004-04-11 33.5778552817 135.9369546138 0.09755486999999999 -163.38367816693756 -94.52367467144433
2004-04-12 33.5778552965 135.9369546168 0.09754877 -163.3836765212533 -94.52367439834569
2004-04-13 33.5778552903 135.936954622 0.09754699 -163.38367721066152 -94.52367392497351
2004-04-14 33.5778552808 135.9369546209 0.09754668 -163.3836782670132 -94.52367402511028
2004-04-15 33.5778552794 135.9369546371 0.0975582 -163.3836784226865 -94.52367255037555
2004-04-16 33.5778552786 135.9369546368 0.09755562000000001 -163.38367851164247 -94.52367257768465
2004-04-17 33.5778552593 135.9369546321 0.09755679 -163.38368065770413 -94.52367300554081
2004-04-18 33.5778552834 135.9369546233 0.09755364 -163.38367797790676 -94.52367380662982
2004-04-19 33.577855263 135.9369546071 0.09754815 -163.38368024628346 -94.52367528136453
2004-04-20 33.5778552828 135.9369545974 0.09755463 -163.38367804462334 -94.52367616438596
2004-04-21 33.577855293 135.9369546286 0.09755891 -163.38367691043538 -94.52367332415547
2004-04-22 33.5778552929 135.9369546048 0.09755422 -163.38367692155506 -94.52367549074025
2004-04-23 33.5778552954 135.9369546135 0.09755709 -163.38367664356753 -94.52367469875341
2004-04-24 33.5778552889 135.9369545915 0.09755636 -163.3836773663348 -94.5236767014785
2004-04-25 33.5778552748 135.9369546173 0.09755084 -163.38367893418283 -94.52367435282967
2004-04-26 33.5778552746 135.9369546038 0.09754354 -163.38367895642222 -94.52367558177484
2004-04-27 33.5778552919 135.9369546044 0.09755441999999999 -163.3836770327496 -94.52367552715408
2004-04-28 33.5778552381 135.9369546374 0.09755445 -163.38368301503678 -94.52367252306647
2004-04-29 33.5778552854 135.9369546192 0.09755756 -163.38367775551689 -94.52367417986522
2004-04-30 33.5778552841 135.9369545944 0.09755783 -163.38367790006973 -94.52367643748461
2004-05-01 33.5778552844 135.9369545986 0.09756143 -163.38367786671142 -94.52367605514443
2004-05-02 33.5778552852 135.9369546157 0.09755347 -163.38367777775548 -94.52367449848246
2004-05-03 33.5778552836 135.9369545984 0.09754857 -163.3836779556674 -94.52367607335137
2004-05-06 33.5778552814 135.9369546154 0.0975491 -163.38367820029663 -94.52367452579155
2004-05-07 33.5778552977 135.9369546004 0.09755786999999999 -163.38367638781938 -94.52367589128733
2004-05-08 33.5778552936 135.9369545963 0.09755862 -163.38367684371804 -94.52367626452015
2004-05-09 33.5778552907 135.9369545729 0.09754779000000001 -163.38367716618353 -94.52367839469368
2004-05-10 33.5778552567 135.9369545962 0.09756683 -163.38368094681135 -94.5236762736249
2004-05-11 33.5778552635 135.9369546007 0.09755332 -163.3836801906858 -94.52367586397565
2004-05-12 33.577855258 135.9369546015 0.09755749 -163.38368080225774 -94.52367579115055
2004-05-13 33.5778552672 135.936954613 0.09755108 -163.38367977926433 -94.52367474426941
2004-05-14 33.5778552819 135.9369545842 0.09755292 -163.38367814469896 -94.52367736601946
2004-05-15 33.5778552543 135.9369546015 0.0975525 -163.3836812136792 -94.52367579115055
2004-05-16 33.5778552677 135.9369545847 0.09754895999999999 -163.38367972366666 -94.52367732050345
2004-05-17 33.5778552782 135.9369545868 0.09756938 -163.38367855612043 -94.52367712933466
2004-05-18 33.5778553055 135.9369545845 0.09755116 -163.38367552049849 -94.52367733871037
2004-05-19 33.5778552828 135.9369545853 0.09756099 -163.38367804462334 -94.52367726588527
2004-05-20 33.5778552913 135.9369545666 0.09755493 -163.38367709946698 -94.52367896820003
2004-05-21 33.5778552956 135.9369545873 0.09756134 -163.38367662132816 -94.52367708381865
2004-05-22 33.5778552703 135.9369545899 0.09756238 -163.38367943456024 -94.52367684713127
2004-05-23 33.5778552909 135.9369545808 0.09755313 -163.38367714394494 -94.52367767553194
2004-05-24 33.5778553012 135.9369545586 0.09756745 -163.3836759986365 -94.52367969646394
2004-05-25 33.5778553031 135.9369545948 0.09755954 -163.38367578736634 -94.52367640107076
2004-05-26 33.5778552943 135.9369545652 0.097551 -163.38367676588177 -94.5236790956459
2004-05-27 33.5778552771 135.9369545798 0.0975493 -163.38367867843468 -94.52367776656655
2004-05-28 33.5778552823 135.9369545831 0.09755871 -163.383678100221 -94.52367746615623
2004-05-29 33.5778553087 135.9369545819 0.09756414 -163.38367516467468 -94.52367757539517
2004-05-30 33.577855283 135.9369545676 0.09755242 -163.38367802238474 -94.52367887716802
2004-05-31 33.577855278 135.9369545951 0.09755793 -163.38367857835902 -94.52367637376167
2004-06-01 33.5778552941 135.9369545647 0.09755066 -163.38367678812116 -94.5236791411645
2004-06-02 33.5778552898 135.9369546094 0.09754676000000001 -163.38367726625918 -94.52367507198882
2004-06-03 33.5778552747 135.9369545979 0.09756243 -163.3836789453025 -94.52367611886737
2004-06-04 33.5778552816 135.9369546064 0.09756367 -163.38367817805727 -94.52367534508745
2004-06-05 33.5778552871 135.9369545833 0.09756281 -163.38367756648532 -94.52367744794931
2004-06-06 33.5778552777 135.9369545826 0.09756332999999999 -163.3836786117173 -94.52367751167223
2004-06-07 33.5778552799 135.9369546074 0.09755598 -163.38367836708883 -94.52367525405545
2004-06-08 33.5778552849 135.9369545884 0.09755841999999999 -163.38367781111455 -94.52367698368188
2004-06-09 33.5778553054 135.9369546006 0.09755265 -163.38367553161817 -94.5236758730804
2004-06-10 33.5778553 135.9369545817 0.09754433 -163.38367613207043 -94.52367759360209
2004-06-11 33.5778552852 135.9369545893 0.09755431 -163.38367777775548 -94.52367690175203
2004-06-12 33.5778553293 135.9369546149 0.09754882000000001 -163.3836728740594 -94.52367457130755
2004-06-13 33.5778553074 135.9369546198 0.09756552 -163.3836753092283 -94.52367412524704
2004-06-14 33.5778552823 135.936954604 0.09754958999999999 -163.383678100221 -94.52367556356792
2004-06-15 33.5778552828 135.9369546005 0.09755007 -163.38367804462334 -94.52367588218257
2004-06-16 33.5778552884 135.9369546002 0.09755439 -163.3836774219317 -94.52367590949166
2004-06-17 33.5778552663 135.9369545791 0.09755522999999999 -163.38367987933998 -94.52367783028947
