date lat lon z km_lat km_lon
2014-08-10 25.0345254697 121.67317552719999 0.5270478000000001 -1113.3586099125496 -1392.9979895632591
2015-01-01 25.034525432 121.6731756586 0.52703735 -1113.3586141045985 -1392.9979776015243
2015-01-02 25.0345254237 121.67317565760001 0.52704095 -1113.3586150275164 -1392.9979776925563
2015-01-03 25.0345254345 121.6731756584 0.5270448400000001 -1113.358613826611 -1392.9979776197313
2015-01-04 25.0345254123 121.67317566380001 0.52703988 -1113.3586162951385 -1392.9979771281521
2015-01-05 25.0345254294 121.67317565370001 0.52704518 -1113.3586143937055 -1392.9979780475849
2015-01-06 25.0345254328 121.67317565639999 0.52704299 -1113.3586140156426 -1392.9979778017978
2015-01-07 25.0345254319 121.6731756456 0.52704131 -1113.358614115718 -1392.9979787849536
2015-01-08 25.0345254251 121.6731756517 0.52704366 -1113.3586148718434 -1392.9979782296514
2015-01-09 25.0345254336 121.6731756508 0.52704105 -1113.3586139266868 -1392.9979783115814
2015-01-10 25.0345254202 121.673175655 0.52704122 -1113.3586154166985 -1392.9979779292437
2015-01-11 25.0345254114 121.6731756787 0.52704252 -1113.3586163952139 -1392.997975771761
2015-01-12 25.0345254305 121.67317564499999 0.52704222 -1113.3586142713907 -1392.9979788395742
2015-01-13 25.0345254287 121.67317564999999 0.52703727 -1113.3586144715416 -1392.997978384409
2015-01-14 25.0345254225 121.6731756497 0.52703766 -1113.3586151609502 -1392.9979784117181
2015-01-15 25.0345254245 121.6731756632 0.52703809 -1113.3586149385603 -1392.997977182773
2015-01-16 25.0345254256 121.6731756655 0.52704346 -1113.3586148162462 -1392.9979769733973
2015-01-17 25.0345254094 121.67317566540001 0.5270388699999999 -1113.3586166176037 -1392.9979769824993
2015-01-18 25.0345254047 121.6731756316 0.52704255 -1113.35861714022 -1392.9979800594147
2015-01-19 25.0345254186 121.67317565779999 0.52704048 -1113.3586155946102 -1392.9979776743521
2015-01-20 25.0345254351 121.67317566790001 0.52704547 -1113.358613759894 -1392.9979767549166
2015-01-21 25.0345254231 121.67317569420001 0.5270419000000001 -1113.3586150942333 -1392.9979743607494
2015-01-22 25.0345254241 121.67317567680001 0.5270386300000001 -1113.3586149830383 -1392.997975944723
2015-01-23 25.0345254225 121.67317566860001 0.5270474900000001 -1113.3586151609502 -1392.9979766911938
2015-01-24 25.0345254364 121.67317567789999 0.5270447 -1113.3586136153408 -1392.9979758445888
