date lat lon z km_lat km_lon
2013-12-06 23.4814037113 120.88704948029999 2.65137271 -1286.0578699079058 -1464.5613861897557
2013-12-11 23.481403687 120.8870494775 2.65135086 -1286.0578726099425 -1464.5613864446473
2013-12-13 23.4814037278 120.88704944060001 2.65136842 -1286.0578680731894 -1464.5613898037634
2013-12-14 23.4814037593 120.88704944259999 2.65137458 -1286.057864570549 -1464.5613896216994
2014-01-15 23.4814037161 120.88704948590001 2.65135208 -1286.05786937417 -1464.5613856799696
2014-01-19 23.4814037035 120.8870494555 2.6513729199999996 -1286.0578707752263 -1464.5613884473723
2014-01-20 23.4814037122 120.8870494604 2.6513697900000004 -1286.0578698078305 -1464.5613880013118
2014-01-21 23.4814037151 120.8870494748 2.6513570800000004 -1286.057869485365 -1464.5613866904368
2014-01-22 23.4814037044 120.8870494665 2.6513596899999996 -1286.0578706751505 -1464.5613874460098
2014-01-23 23.4814036833 120.8870494409 2.65137526 -1286.0578730213635 -1464.5613897764542
2014-01-24 23.4814037057 120.88704944169999 2.6513757 -1286.0578705305973 -1464.5613897036292
2014-01-25 23.4814037208 120.8870494779 2.6513626599999998 -1286.057868851554 -1464.5613864082334
2014-01-26 23.48140372 120.88704949480001 2.65136515 -1286.05786894051 -1464.5613848697758
2014-01-27 23.481403688 120.887049477 2.6513632499999997 -1286.0578724987474 -1464.5613864901634
2014-01-28 23.4814036846 120.8870494752 2.65136619 -1286.0578728768103 -1464.561386654023
2014-01-29 23.4814036759 120.88704946339999 2.65136818 -1286.0578738442061 -1464.5613877282133
2014-01-30 23.4814036825 120.88704942570001 2.65137905 -1286.0578731103194 -1464.5613911601545
2014-01-31 23.4814037193 120.88704947529999 2.65136957 -1286.0578690183463 -1464.561386644921
2014-02-01 23.4814037198 120.8870494061 2.6513583 -1286.057868962749 -1464.5613929444016
2014-02-02 23.4814036997 120.88704944880001 2.65135907 -1286.0578711977669 -1464.5613890572927
2014-02-03 23.4814036825 120.88704947560001 2.65136692 -1286.0578731103194 -1464.5613866176093
2014-02-04 23.4814037428 120.8870494057 2.6513682899999997 -1286.0578664052655 -1464.5613929808155
2014-02-05 23.4814037107 120.88704945110001 2.6513568 -1286.0578699746227 -1464.561388847917
2014-02-06 23.4814037189 120.8870494795 2.65136386 -1286.0578690628242 -1464.5613862625808
2014-02-07 23.481403656 120.88704947880001 2.65134449 -1286.0578760569852 -1464.5613863263036
2014-02-08 23.4814037244 120.88704949980001 2.6513505 -1286.0578684512523 -1464.5613844146105
2014-02-09 23.4814037491 120.88704949020001 2.65134531 -1286.0578657047374 -1464.5613852885272
2014-02-10 23.4814037155 120.88704949769999 2.65134499 -1286.057869440887 -1464.561384605782
2014-02-11 23.4814037125 120.8870494709 2.65134496 -1286.0578697744718 -1464.5613870454654
2014-02-12 23.4814036746 120.88704947599999 2.65135492 -1286.0578739887596 -1464.561386581198
2014-02-13 23.4814036716 120.88704946889999 2.65133309 -1286.0578743223446 -1464.561387227532
2014-02-14 23.481403699 120.88704942819999 2.65137065 -1286.0578712756032 -1464.5613909325743
