date lat lon z km_lat km_lon
2012-08-23 24.3562097932 120.6549915944 0.25592296999999997 -1188.7838718028213 -1485.6863070525799
2012-08-24 24.3562097572 120.6549916139 0.25591437 -1188.783875805839 -1485.6863052774374
2012-08-25 24.3562097496 120.6549916244 0.25591569999999997 -1188.78387665092 -1485.686304321591
2012-08-26 24.3562097482 120.65499163530001 0.25591167 -1188.783876806593 -1485.6863033293305
2012-08-27 24.3562097465 120.65499162009999 0.25591570999999996 -1188.7838769956245 -1485.6863047130332
2012-08-28 24.3562097558 120.65499161759999 0.25592212000000003 -1188.783875961512 -1485.6863049406159
2012-08-29 24.3562097507 120.6549916058 0.25592187 -1188.7838765286058 -1485.6863060148034
2012-08-30 24.3562097774 120.65499157459999 0.25593008 -1188.7838735597013 -1485.686308855034
2012-08-31 24.3562097805 120.65499161400001 0.25591642 -1188.7838732149971 -1485.6863052683327
2012-09-01 24.3562097793 120.65499160140001 0.25591911 -1188.7838733484311 -1485.686306415348
2012-09-02 24.3562097659 120.6549916075 0.25591516 -1188.783874838443 -1485.6863058600486
2012-09-03 24.3562097554 120.65499162879999 0.25590883 -1188.78387600599 -1485.6863039210464
2012-09-04 24.3562097568 120.65499161029999 0.25591767 -1188.783875850317 -1485.6863056051568
2012-09-05 24.3562097554 120.654991634 0.25592675 -1188.78387600599 -1485.6863034476742
2012-09-06 24.3562097681 120.6549916065 0.25591659 -1188.783874593814 -1485.6863059510806
2012-09-07 24.356209772 120.6549916097 0.25591505000000003 -1188.7838741601538 -1485.6863056597751
2012-09-08 24.356209747 120.65499162750001 0.25591858 -1188.7838769400269 -1485.6863040393876
2012-09-09 24.3562097666 120.6549916184 0.25591147000000003 -1188.7838747606065 -1485.6863048677883
2012-09-10 24.3562097752 120.6549915862 0.2559195 -1188.7838738043301 -1485.6863077990508
2012-09-11 24.3562097699 120.6549916038 0.25591895 -1188.7838743936632 -1485.6863061968702
2012-09-12 24.3562097596 120.6549916207 0.25591108 -1188.7838755389712 -1485.6863046584126
2012-09-13 24.3562097527 120.65499158360001 0.25590439 -1188.783876306216 -1485.6863080357355
2012-09-14 24.3562097699 120.6549916308 0.25591166 -1188.7838743936632 -1485.6863037389799
2012-09-15 24.3562097746 120.6549916321 0.25590855 -1188.783873871047 -1485.6863036206362
2012-09-16 24.3562097696 120.6549916413 0.25591361 -1188.7838744270218 -1485.6863027831332
2012-09-17 24.3562097627 120.65499161829999 0.255922 -1188.7838751942666 -1485.686304876893
2012-09-18 24.3562097725 120.65499162590001 0.25592037 -1188.7838741045562 -1485.6863041850404
2012-09-19 24.3562097854 120.6549916111 0.25591429 -1188.7838726701418 -1485.6863055323292
2012-09-20 24.3562097798 120.6549916335 0.25591946 -1188.7838732928335 -1485.6863034931903
2012-09-21 24.3562097799 120.65499162130001 0.25591702 -1188.783873281714 -1485.6863046037918
2012-09-22 24.3562097663 120.6549916271 0.25591962 -1188.7838747939647 -1485.6863040758014
