date lat lon z km_lat km_lon
2007-01-01 23.2777940701 120.9156710744 2.34117932 -1308.6982290252647 -1461.9558771893376
2007-01-02 23.2777940756 120.9156710709 2.34117498 -1308.6982284136927 -1461.9558775079522
2007-01-03 23.2777940654 120.9156710751 2.34118447 -1308.698229547881 -1461.9558771256145
2007-01-04 23.2777940716 120.9156710801 2.34117469 -1308.6982288584725 -1461.9558766704492
2007-01-05 23.2777940583 120.9156710988 2.34117814 -1308.698230337365 -1461.9558749681319
2007-01-06 23.2777940931 120.9156710611 2.3411818899999997 -1308.6982264677815 -1461.9558784000758
2007-01-07 23.2777940603 120.91567108090001 2.3411745 -1308.698230114975 -1461.9558765976217
2007-01-08 23.2777940664 120.91567107130001 2.34117884 -1308.698229436686 -1461.9558774715383
2007-01-09 23.2777940853 120.915671078 2.3411763700000003 -1308.698227335102 -1461.955876861618
2007-01-10 23.2777940815 120.9156710746 2.34117632 -1308.6982277576424 -1461.9558771711306
2007-01-11 23.277794066 120.91567105280001 2.3411739899999997 -1308.6982294811642 -1461.9558791556487
2007-01-12 23.2777940602 120.9156710764 2.34117603 -1308.6982301260944 -1461.9558770072708
2007-01-13 23.2777940717 120.91567107079999 2.34116829 -1308.6982288473528 -1461.955877517057
2007-01-29 23.2777940547 120.915671083 2.34117783 -1308.6982307376666 -1461.9558764064527
2007-01-30 23.2777940783 120.91567107899999 2.34118142 -1308.6982281134663 -1461.955876770586
2007-01-31 23.2777940505 120.91567107579999 2.3411814 -1308.6982312046853 -1461.9558770618917
2007-02-01 23.277794067 120.91567108909999 2.34118336 -1308.698229369969 -1461.9558758511535
2007-02-02 23.277794049 120.915671097 2.34117967 -1308.6982313714775 -1461.9558751319917
2007-02-03 23.2777940606 120.91567109639999 2.34118075 -1308.6982300816164 -1461.9558751866125
2007-02-04 23.2777940348 120.91567109260001 2.3411799 -1308.6982329504456 -1461.955875532536
2007-02-05 23.2777940543 120.91567109530001 2.34117996 -1308.6982307821447 -1461.9558752867465
2007-02-06 23.2777940548 120.91567108519999 2.34117963 -1308.6982307265469 -1461.9558762061818
2007-02-07 23.2777940665 120.915671126 2.34118126 -1308.6982294255663 -1461.9558724920346
2007-02-08 23.2777940437 120.9156711155 2.3411831000000003 -1308.698231960811 -1461.9558734478812
2007-02-09 23.2777940717 120.9156711334 2.3411845 -1308.6982288473528 -1461.9558718183916
2007-03-03 23.2777940449 120.9156710728 2.3411790999999997 -1308.698231827377 -1461.9558773349902
2007-03-04 23.2777940642 120.9156710867 2.34117645 -1308.6982296813148 -1461.9558760696314
2007-03-05 23.2777940616 120.91567108999999 2.3411731799999997 -1308.6982299704214 -1461.9558757692234
2007-03-06 23.2777940802 120.9156710874 2.34118228 -1308.6982279021959 -1461.9558760059083
2007-03-07 23.2777940551 120.9156710792 2.3411794799999996 -1308.6982306931886 -1461.955876752379
2007-03-08 23.2777940616 120.91567108839999 2.3411777099999997 -1308.6982299704214 -1461.9558759148763
2007-03-09 23.2777940574 120.9156710904 2.3411771399999997 -1308.69823043744 -1461.9558757328098
2007-03-10 23.2777940549 120.9156710666 2.34117789 -1308.6982307154276 -1461.9558778993944
2007-03-11 23.2777940701 120.9156710748 2.34118168 -1308.6982290252647 -1461.9558771529237
2007-03-12 23.2777940696 120.915671057 2.3411791699999998 -1308.6982290808623 -1461.955878773311
2007-03-13 23.2777940814 120.91567107040001 2.34117719 -1308.698227768762 -1461.955877553468
2007-03-14 23.2777940667 120.91567106209999 2.34118437 -1308.6982294033273 -1461.9558783090438
2007-03-15 23.2777940846 120.91567108219999 2.34119183 -1308.6982274129382 -1461.9558764792805
2007-03-16 23.277794104 120.91567105959999 2.3411988 -1308.6982252557566 -1461.9558785366264
2007-03-17 23.2777940649 120.9156710634 2.34117985 -1308.6982296034782 -1461.9558781907
2007-03-18 23.2777940739 120.91567107949999 2.34118019 -1308.698228602724 -1461.95587672507
2007-03-19 23.2777940713 120.9156710787 2.3411803100000004 -1308.6982288918307 -1461.9558767978951
2007-03-20 23.2777940705 120.9156710741 2.34117794 -1308.6982289807866 -1461.9558772166465
2007-03-21 23.2777940543 120.91567106650001 2.3411779200000002 -1308.6982307821447 -1461.9558779084966
2007-03-22 23.2777940459 120.9156710785 2.34117854 -1308.6982317161821 -1461.955876816102
2007-03-23 23.2777940459 120.91567106209999 2.34118147 -1308.6982317161821 -1461.9558783090438
2007-03-28 23.2777940882 120.91567108219999 2.34117864 -1308.6982270126364 -1461.9558764792805
2007-03-29 23.2777940541 120.91567108109999 2.3411894699999998 -1308.6982308043837 -1461.9558765794172
2007-03-30 23.2777940762 120.91567107450001 2.34118601 -1308.6982283469756 -1461.9558771802326
2007-03-31 23.2777940701 120.91567109900001 2.3411903400000003 -1308.6982290252647 -1461.955874949925
2007-04-01 23.2777940721 120.9156710842 2.34119953 -1308.6982288028748 -1461.955876297214
2007-04-02 23.277794087 120.91567108589999 2.34119166 -1308.6982271460704 -1461.955876142459
2007-04-03 23.277794057 120.9156710863 2.34119468 -1308.698230481918 -1461.955876106045
2007-04-04 23.2777940467 120.9156710897 2.3411873599999997 -1308.698231627226 -1461.9558757965326
2007-04-05 23.2777940665 120.91567107469999 2.34118822 -1308.6982294255663 -1461.9558771620284
2007-04-06 23.2777940752 120.9156710901 2.34118506 -1308.6982284581707 -1461.9558757601187
2007-04-07 23.2777940674 120.915671097 2.34118429 -1308.6982293254912 -1461.9558751319917
2007-04-08 23.2777940443 120.91567110060001 2.3411837799999997 -1308.698231894094 -1461.9558748042723
2007-04-09 23.277794052 120.9156711096 2.34118512 -1308.6982310378928 -1461.9558739849763
2007-04-10 23.2777940428 120.91567110849999 2.34117951 -1308.698232060886 -1461.955874085113
2007-04-11 23.2777940228 120.91567108870001 2.34117726 -1308.6982342847848 -1461.9558758875646
2007-04-12 23.2777940495 120.91567108480001 2.34118552 -1308.6982313158803 -1461.9558762425931
2007-04-13 23.2777940483 120.91567113030001 2.3411837099999997 -1308.6982314493143 -1461.9558721005924
2007-04-14 23.2777940528 120.91567111340001 2.3411857300000003 -1308.6982309489367 -1461.95587363905
2007-04-15 23.277794065 120.9156711169 2.3411757200000003 -1308.698229592359 -1461.9558733204353
2007-04-16 23.2777940552 120.91567106439999 2.3411823899999997 -1308.698230682069 -1461.955878099668
2007-04-17 23.2777940904 120.91567111820001 2.3411838400000002 -1308.6982267680075 -1461.9558732020917
2007-04-18 23.2777940755 120.9156710867 2.34118234 -1308.698228424812 -1461.9558760696314
2007-04-19 23.2777940398 120.9156710929 2.34118417 -1308.698232394471 -1461.9558755052271
2007-04-20 23.2777940562 120.91567107610001 2.34118595 -1308.698230570874 -1461.95587703458
2007-04-21 23.2777940416 120.9156711043 2.34118955 -1308.69823219432 -1461.9558744674507
2007-04-22 23.2777940818 120.9156710737 2.34119594 -1308.6982277242842 -1461.9558772530604
2007-04-23 23.2777940365 120.91567110220001 2.3411818400000004 -1308.6982327614141 -1461.9558746586195
2007-04-24 23.2777940796 120.915671116 2.3412004299999998 -1308.698227968913 -1461.9558734023651
2007-04-25 23.2777940776 120.9156710828 2.34119327 -1308.6982281913029 -1461.9558764246597
2007-04-26 23.2777940885 120.9156710783 2.34118938 -1308.6982269792782 -1461.955876834309
2007-04-27 23.2777940549 120.9156710986 2.34117459 -1308.6982307154276 -1461.9558749863388
