date lat lon z km_lat km_lon
2015-01-01 23.6343283025 120.71938939060001 1.6024688599999999 -1269.0534312072728 -1479.8239837654849
2015-01-02 23.6343283032 120.71938938740001 1.60247402 -1269.0534311294361 -1479.8239840567906
2015-01-03 23.6343282977 120.71938939060001 1.6024751000000002 -1269.0534317410081 -1479.8239837654849
2015-01-04 23.6343282899 120.7193893951 1.60247516 -1269.0534326083286 -1479.8239833558382
2015-01-05 23.6343283082 120.71938938599999 1.60247642 -1269.0534305734616 -1479.823984184239
2015-01-06 23.6343283067 120.71938938599999 1.6024754 -1269.053430740254 -1479.823984184239
2015-01-07 23.6343283058 120.7193893759 1.6024706499999999 -1269.0534308403294 -1479.8239851036717
2015-01-08 23.6343283045 120.71938938439999 1.60247389 -1269.0534309848829 -1479.8239843298918
2015-01-09 23.6343283065 120.7193893848 1.60247356 -1269.053430762493 -1479.823984293478
2015-01-10 23.6343282901 120.7193893964 1.60247384 -1269.0534325860897 -1479.8239832374945
2015-01-11 23.6343282804 120.719389398 1.60247461 -1269.0534336646806 -1479.8239830918417
2015-01-12 23.6343282936 120.7193893884 1.60247109 -1269.0534321969076 -1479.8239839657585
2015-01-13 23.6343283209 120.71938939539999 1.60247244 -1269.053429161286 -1479.8239833285293
2015-01-14 23.6343282943 120.7193893749 1.60246982 -1269.053432119071 -1479.8239851947037
2015-01-15 23.6343283067 120.7193893902 1.6024742799999998 -1269.053430740254 -1479.8239838018987
2015-01-16 23.634328304 120.7193893902 1.60247768 -1269.0534310404803 -1479.8239838018987
2015-01-17 23.6343282949 120.71938938599999 1.60247458 -1269.0534320523539 -1479.823984184239
2015-01-18 23.6343282912 120.7193893678 1.60247462 -1269.0534324637754 -1479.8239858410377
2015-01-19 23.6343282979 120.7193893905 1.60246906 -1269.0534317187692 -1479.8239837745896
2015-01-20 23.6343283046 120.71938938939999 1.60247053 -1269.0534309737632 -1479.8239838747265
2015-01-21 23.6343283002 120.7193894017 1.6024739300000002 -1269.053431463021 -1479.8239827550203
2015-01-22 23.6343282919 120.71938939750001 1.60247262 -1269.0534323859388 -1479.8239831373578
2015-01-23 23.6343282915 120.7193893999 1.60247702 -1269.0534324304167 -1479.82398291888
2015-01-24 23.6343283092 120.719389399 1.6024770799999999 -1269.0534304622665 -1479.8239830008097
2015-01-25 23.6343283086 120.7193893953 1.60247572 -1269.0534305289834 -1479.8239833376313
2015-01-26 23.6343283183 120.71938938439999 1.6024796799999999 -1269.0534294503927 -1479.8239843298918
2015-01-27 23.6343283062 120.71938939290001 1.60247731 -1269.0534307958515 -1479.8239835561092
2015-01-28 23.6343282918 120.7193893925 1.6024729199999999 -1269.0534323970585 -1479.823983592523
2015-01-29 23.6343283065 120.71938940710001 1.6024704699999999 -1269.053430762493 -1479.8239822634412
2015-01-30 23.6343283173 120.7193893983 1.60247406 -1269.0534295615878 -1479.8239830645327
2015-01-31 23.6343283131 120.7193893948 1.60247044 -1269.0534300286065 -1479.8239833831474
2015-02-01 23.6343283026 120.7193893962 1.6024729500000001 -1269.053431196153 -1479.8239832557015
2015-02-02 23.6343283198 120.71938939270001 1.6024737199999999 -1269.0534292836003 -1479.8239835743161
