date lat lon z km_lat km_lon
2007-01-01 23.0751623748 121.30022258279999 0.35891774 -1331.2298455200107 -1426.9490074545567
2007-01-02 23.0751623697 121.30022256960001 0.35891662 -1331.229846087105 -1426.9490086561902
2007-01-03 23.0751623666 121.30022257620001 0.35891792 -1331.2298464318092 -1426.9490080553721
2007-01-04 23.0751623545 121.3002225836 0.35892184 -1331.2298477772677 -1426.949007381729
2007-01-05 23.0751623546 121.3002226044 0.3589144 -1331.2298477661484 -1426.9490054882428
2007-01-06 23.0751623682 121.30022258650001 0.35891321 -1331.2298462538972 -1426.9490071177327
2007-01-07 23.0751623624 121.3002225841 0.35891583000000005 -1331.2298468988279 -1426.949007336213
2007-01-08 23.0751623562 121.300222582 0.35890989 -1331.2298475882365 -1426.9490075273818
2007-01-09 23.0751623858 121.30022258 0.35891412 -1331.2298442968668 -1426.9490077094486
2007-01-10 23.0751623845 121.30022258279999 0.35891838000000004 -1331.22984444142 -1426.9490074545567
2007-01-11 23.0751623623 121.3002225596 0.35891345999999996 -1331.2298469099476 -1426.9490095665208
2007-01-12 23.0751623592 121.3002225859 0.35891405 -1331.2298472546515 -1426.9490071723533
2007-01-13 23.0751623944 121.3002225811 0.35892018000000003 -1331.2298433405904 -1426.9490076093116
2007-01-14 23.0751623831 121.3002225653 0.35891502000000003 -1331.2298445970928 -1426.9490090476324
2007-01-15 23.0751623802 121.300222579 0.35891695 -1331.2298449195584 -1426.9490078004806
2007-01-16 23.0751623884 121.3002225672 0.35892151 -1331.2298440077598 -1426.9490088746707
2007-01-17 23.0751623775 121.3002225701 0.35892255 -1331.2298452197845 -1426.9490086106741
2007-01-18 23.0751623858 121.30022257530001 0.35891482 -1331.2298442968668 -1426.9490081373021
2007-01-19 23.0751623792 121.30022258 0.35891965 -1331.2298450307533 -1426.9490077094486
2007-01-20 23.0751623699 121.3002225839 0.35891749 -1331.229846064866 -1426.94900735442
2007-01-21 23.0751623901 121.30022259169999 0.35891412 -1331.2298438187283 -1426.949006644363
2007-01-22 23.0751623868 121.30022258349999 0.35892154 -1331.2298441856717 -1426.949007390834
2007-01-23 23.0751623929 121.30022258529999 0.35891638 -1331.2298435073824 -1426.9490072269741
2007-01-24 23.0751623989 121.30022258860001 0.35892224 -1331.2298428402128 -1426.9490069265637
2007-01-25 23.0751623993 121.3002225843 0.35891456 -1331.2298427957348 -1426.9490073180061
2007-01-26 23.0751623756 121.30022258380001 0.35891982 -1331.2298454310546 -1426.949007363522
2007-01-27 23.07516238 121.30022260250001 0.35892476 -1331.2298449417974 -1426.9490056612049
2007-01-28 23.0751623789 121.3002225985 0.35891954 -1331.2298450641115 -1426.9490060253381
2007-01-29 23.0751623825 121.3002225848 0.35891926999999996 -1331.22984466381 -1426.94900727249
2007-01-30 23.0751624167 121.3002225893 0.35890921 -1331.2298408609433 -1426.9490068628409
2007-01-31 23.07516238 121.3002225758 0.358917 -1331.2298449417974 -1426.949008091786
2007-02-01 23.0751623922 121.30022258720001 0.35892901 -1331.2298435852192 -1426.9490070540096
2007-02-02 23.0751623934 121.3002226077 0.35891993 -1331.2298434517852 -1426.9490051878352
2007-02-03 23.0751623896 121.30022259590001 0.35892172 -1331.229843874326 -1426.9490062620227
2007-02-04 23.0751623719 121.3002226042 0.35891618999999997 -1331.2298458424762 -1426.9490055064498
2007-02-05 23.0751623807 121.300222604 0.35892177 -1331.2298448639606 -1426.9490055246567
2007-02-06 23.0751624055 121.30022260019999 0.35891924000000003 -1331.2298421063267 -1426.949005870583
2007-02-07 23.075162395 121.3002225969 0.35891897 -1331.2298432738733 -1426.9490061709907
2007-02-08 23.0751623733 121.300222591 0.35892235 -1331.2298456868032 -1426.949006708086
2007-02-09 23.0751623625 121.30022262739999 0.35892923000000004 -1331.2298468877086 -1426.9490033944858
2007-02-10 23.075162409 121.3002225919 0.35891601 -1331.2298417171442 -1426.949006626156
2007-02-11 23.0751623901 121.3002226005 0.35891616 -1331.2298438187283 -1426.9490058432714
2007-02-12 23.0751623951 121.30022262279999 0.35891458 -1331.2298432627535 -1426.9490038132371
2007-02-13 23.0751623988 121.3002226081 0.35891546 -1331.2298428513325 -1426.9490051514213
2007-02-14 23.0751623989 121.3002226156 0.35891561 -1331.2298428402128 -1426.9490044686734
2007-02-15 23.0751624142 121.30022259539999 0.35893031999999997 -1331.2298411389306 -1426.9490063075414
2007-02-16 23.0751624154 121.3002226035 0.35891852 -1331.2298410054966 -1426.9490055701729
2007-02-17 23.0751624051 121.3002226216 0.35891506 -1331.2298421508046 -1426.949003922476
2007-02-18 23.0751624026 121.3002225678 0.35891824 -1331.2298424287917 -1426.9490088200498
2007-02-19 23.0751623959 121.3002225942 0.35891497 -1331.2298431737977 -1426.9490064167803
2007-02-20 23.0751624143 121.3002225962 0.35891341 -1331.2298411278111 -1426.9490062347138
