date lat lon z km_lat km_lon
2007-01-02 23.9652107478 121.49358239989999 0.19503566 -1232.260981974167 -1409.3468871109797
2007-01-03 23.9652107148 121.49358243329999 0.1950308 -1232.2609856435993 -1409.3468840704782
2007-01-04 23.9652106836 121.49358251180001 0.19500613 -1232.2609891128814 -1409.346876924387
2007-01-05 23.9652106867 121.49358242849999 0.19503551 -1232.260988768177 -1409.3468845074365
2007-01-06 23.9652107142 121.49358251620001 0.19501354 -1232.2609857103164 -1409.3468765238426
2007-01-07 23.9652106946 121.49358242950001 0.19502602 -1232.260987889737 -1409.3468844164017
2007-01-08 23.9652106954 121.4935824625 0.19501727 -1232.260987800781 -1409.3468814123141
2007-01-09 23.9652107341 121.49358247149999 0.19502581 -1232.2609834975374 -1409.3468805930183
2007-01-10 23.9652107158 121.4935824593 0.19501722000000002 -1232.2609855324044 -1409.3468817036198
2007-01-11 23.9652106846 121.4935824341 0.19500473 -1232.2609890016863 -1409.3468839976504
2007-01-12 23.9652106857 121.4935824472 0.19501769 -1232.2609888793718 -1409.346882805119
2007-01-13 23.9652107061 121.4935824943 0.19502649 -1232.2609866109956 -1409.3468785174655
2007-01-14 23.9652107047 121.49358246009999 0.19501896 -1232.2609867666683 -1409.3468816307948
2007-01-15 23.9652107023 121.4935824705 0.19502467999999998 -1232.2609870335361 -1409.3468806840503
2007-01-16 23.965210739 121.4935824385 0.19502426 -1232.2609829526823 -1409.346883597106
2007-01-17 23.9652107229 121.4935824849 0.19502609 -1232.2609847429205 -1409.3468793731754
2007-01-18 23.9652107166 121.493582436 0.19503697 -1232.2609854434484 -1409.3468838246886
2007-01-19 23.9652106736 121.49358248210001 0.19501216 -1232.2609902248303 -1409.346879628067
2007-01-20 23.9652107371 121.49358248659999 0.1949988 -1232.2609831639525 -1409.3468792184203
2007-01-21 23.9652107071 121.4935824605 0.19503182000000002 -1232.2609864998005 -1409.3468815943809
2007-01-22 23.9652106498 121.49358247609999 0.19501521 -1232.2609928712698 -1409.346880174267
2007-01-23 23.9652107151 121.4935824604 0.19501879 -1232.260985610241 -1409.346881603483
2007-01-24 23.965210674 121.493582452 0.19497768 -1232.2609901803523 -1409.3468823681608
2007-01-25 23.9652107097 121.49358252249999 0.19501562 -1232.2609862106938 -1409.3468759503362
2007-01-26 23.9652106699 121.4935824973 0.19500837999999998 -1232.2609906362518 -1409.346878244367
2007-01-27 23.9652107248 121.4935824991 0.19501562 -1232.2609845316504 -1409.3468780805072
2007-01-28 23.9652106524 121.4935825227 0.19502482000000002 -1232.260992582163 -1409.3468759321293
2007-01-29 23.9652106898 121.4935825131 0.19501272 -1232.2609884234728 -1409.346876806046
2007-01-30 23.9652107113 121.493582484 0.19500537 -1232.2609860327818 -1409.3468794551052
