date lat lon z km_lat km_lon
2008-10-17 23.1868431687 120.52633880210001 0.34161347000000003 -1318.811507834694 -1497.3979541081335
2008-10-18 23.1868431752 120.5263387796 0.34160975000000005 -1318.811507111927 -1497.3979561563772
2008-10-19 23.1868431587 120.52633882960001 0.34160343 -1318.8115089466435 -1497.3979516047273
2008-10-20 23.1868431626 120.5263388002 0.34160407 -1318.8115085129834 -1497.397954281098
2008-10-21 23.1868431609 120.52633882239999 0.34160287 -1318.8115087020146 -1497.397952260166
2008-10-22 23.1868431593 120.52633880299999 0.3416203 -1318.8115088799264 -1497.3979540262062
2008-10-23 23.1868431582 120.5263388136 0.34160774 -1318.811509002241 -1497.397953061255
2008-10-24 23.1868431481 120.526338807 0.34159944999999997 -1318.8115101253097 -1497.397953662073
2008-10-25 23.1868431397 120.5263388114 0.34161534 -1318.8115110593471 -1497.3979532615285
2008-10-26 23.1868431453 120.5263388047 0.34161807 -1318.8115104366555 -1497.3979538714486
2008-10-27 23.186843141 120.5263388315 0.34160412 -1318.8115109147936 -1497.3979514317653
2008-10-28 23.1868431378 120.52633880440001 0.34160879 -1318.8115112706173 -1497.3979538987578
2008-10-29 23.186843136 120.5263388073 0.34160478 -1318.8115114707682 -1497.397953634764
2008-10-30 23.1868431681 120.5263387764 0.34161484000000003 -1318.811507901411 -1497.3979564476826
2008-10-31 23.1868431629 120.52633880280001 0.34160722 -1318.8115084796248 -1497.3979540444107
2008-11-01 23.1868431393 120.52633884350001 0.34160372 -1318.811511103825 -1497.3979503393682
2008-11-02 23.1868431461 120.52633884689999 0.34159965 -1318.8115103476996 -1497.3979500298583
2008-11-03 23.1868431426 120.52633882520001 0.34161876999999996 -1318.8115107368817 -1497.3979520052717
2008-11-04 23.1868431503 120.5263388338 0.34161699 -1318.811509880681 -1497.3979512223896
2008-11-05 23.1868431688 120.52633880030001 0.3416153 -1318.8115078235749 -1497.3979542719933
2008-11-06 23.1868431601 120.5263388152 0.34160768 -1318.8115087909705 -1497.3979529156022
