date lat lon z km_lat km_lon
2014-07-09 23.6075070428 120.88519506950001 0.9424984 -1272.035819212129 -1464.730198730837
2014-09-24 23.6075070478 120.8851950801 0.94249059 -1272.0358186561543 -1464.730197765888
2014-09-25 23.6075070252 120.885195127 0.94247994 -1272.0358211691594 -1464.7301934964414
2014-09-26 23.6075070207 120.8851951412 0.94246902 -1272.0358216695365 -1464.7301922037734
2014-09-27 23.6075070269 120.8851950909 0.94246822 -1272.0358209801282 -1464.7301967827325
2014-09-28 23.607507024 120.88519513169999 0.94247977 -1272.0358213025934 -1464.7301930685878
2014-09-29 23.6075070242 120.8851951179 0.94247517 -1272.0358212803544 -1464.7301943248422
2014-09-30 23.6075070331 120.88519509490001 0.94247301 -1272.0358202907196 -1464.7301964185992
2014-10-01 23.6075070452 120.885195111 0.94248029 -1272.035818945261 -1464.7301949529692
2014-10-02 23.6075070301 120.8851950918 0.94247848 -1272.0358206243045 -1464.7301967008027
2014-10-03 23.6075070387 120.8851951177 0.9424582 -1272.0358196680281 -1464.730194343049
2014-10-04 23.6075070392 120.88519513579999 0.9424593 -1272.0358196124303 -1464.7301926953526
2014-10-05 23.6075070387 120.88519511070001 0.94247329 -1272.0358196680281 -1464.7301949802784
2014-10-06 23.6075070363 120.885195119 0.9424710700000001 -1272.035819934896 -1464.7301942247054
2014-10-07 23.6075070484 120.88519514289999 0.94247142 -1272.0358185894374 -1464.7301920490186
2014-10-08 23.6075070234 120.88519512740001 0.94247023 -1272.0358213693103 -1464.7301934600277
2014-10-09 23.6075070448 120.8851951444 0.94248055 -1272.035818989739 -1464.730191912468
2014-10-10 23.6075070477 120.8851951273 0.9424805300000001 -1272.0358186672736 -1464.7301934691325
2014-10-11 23.6075070381 120.8851951009 0.9424734 -1272.035819734745 -1464.730195872402
2014-10-12 23.6075070357 120.8851951179 0.9424623599999999 -1272.0358200016128 -1464.7301943248422
2014-10-13 23.6075070517 120.88519512990001 0.94246259 -1272.0358182224938 -1464.7301932324451
2014-10-14 23.6075070166 120.8851951423 0.9424688200000001 -1272.035822125436 -1464.7301921036367
2014-10-15 23.6075070302 120.88519514469999 0.94247456 -1272.0358206131848 -1464.7301918851588
2014-10-16 23.6075070486 120.8851951257 0.94247465 -1272.0358185671985 -1464.730193614785
2014-10-17 23.607507047 120.88519513790001 0.9424767000000001 -1272.0358187451102 -1464.730192504181
2014-10-18 23.6075070349 120.88519513169999 0.94247961 -1272.0358200905687 -1464.7301930685878
2014-10-19 23.6075070345 120.8851951547 0.9424721100000001 -1272.0358201350468 -1464.7301909748282
2014-10-20 23.6075070352 120.8851951517 0.94248002 -1272.03582005721 -1464.730191247927
2014-10-21 23.6075070338 120.8851951426 0.9424742199999999 -1272.035820212883 -1464.7301920763275
2014-10-22 23.6075070311 120.88519512939999 0.94247495 -1272.0358205131095 -1464.7301932779637
2014-10-23 23.6075070381 120.8851951334 0.94247654 -1272.035819734745 -1464.7301929138305
