date lat lon z km_lat km_lon
2015-07-12 30.4631628966 130.196510444 0.06770751 -509.7216694484981 -617.093413399253
2015-07-13 30.4631628768 130.1965104556 0.06769285000000001 -509.7216716501578 -617.0934123432723
2015-07-14 30.4631628171 130.1965103942 0.06768613000000001 -509.7216782884949 -617.0934179326962
2015-07-15 30.4631628004 130.1965104057 0.06770265 -509.72168014545014 -617.0934168858176
2015-07-16 30.4631628577 130.1965103518 0.06771464 -509.7216737739809 -617.0934217924961
2015-07-17 30.4631628415 130.1965103844 0.06771315 -509.7216755753385 -617.0934188248198
2015-07-18 30.4631628432 130.1965104544 0.06770502 -509.7216753863073 -617.0934124525113
2015-07-19 30.4631628759 130.1965104551 0.06768003 -509.7216717502331 -617.0934123887884
2015-07-20 30.4631628966 130.1965104245 0.06769722 -509.7216694484981 -617.093415174398
2015-07-21 30.4631628654 130.1965104233 0.06772385 -509.7216729177797 -617.093415283637
2015-07-22 30.4631628611 130.1965104449 0.06770704999999999 -509.7216733959181 -617.0934133173232
2015-07-23 30.4631628307 130.1965103704 0.06771984 -509.7216767762438 -617.0934200992809
2015-07-24 30.4631628493 130.1965104041 0.06771098 -509.721674708018 -617.0934170314704
2015-07-25 30.4631629133 130.196510419 0.0677257 -509.7216675915429 -617.0934156750793
2015-07-26 30.4631628843 130.1965104673 0.0677178 -509.7216708161956 -617.0934112781869
2015-07-27 30.4631628729 130.1965104438 0.06769598 -509.7216720838179 -617.0934134174599
2015-07-28 30.4631628621 130.1965104319 0.06770296999999999 -509.7216732847232 -617.0934145007524
2015-07-29 30.4631628442 130.1965103762 0.06771556 -509.7216752751124 -617.0934195712906
2015-07-30 30.4631628493 130.1965104186 0.06772083999999999 -509.721674708018 -617.0934157114906
2015-07-31 30.4631628504 130.1965104161 0.06771017 -509.72167458570374 -617.0934159390732
2015-08-01 30.4631628713 130.1965104547 0.06770294 -509.7216722617298 -617.0934124252021
2015-08-02 30.4631628477 130.1965104515 0.06771457 -509.7216748859299 -617.0934127165077
2015-08-03 30.4631628545 130.1965104299 0.06771988000000001 -509.72167412980474 -617.093414682819
2015-08-04 30.4631628635 130.1965104359 0.06771186 -509.7216731290503 -617.0934141366217
2015-08-05 30.4631628382 130.1965104261 0.06770804 -509.721675942282 -617.0934150287453
2015-08-06 30.4631628537 130.1965104507 0.06769087 -509.72167421876065 -617.0934127893329
2015-08-07 30.4631628719 130.1965104525 0.06769453 -509.72167219501284 -617.0934126254731
2015-08-08 30.4631628689 130.1965104683 0.06770469 -509.72167252859765 -617.0934111871522
2015-08-09 30.4631628643 130.196510455 0.06769307000000001 -509.72167304009434 -617.0934123978905
2015-08-10 30.4631628878 130.1965104197 0.06770817999999999 -509.7216704270135 -617.0934156113565
