date lat lon z km_lat km_lon
2015-01-01 24.8617428863 121.7789376902 0.48703943 -1132.57115659917 -1383.3701447046744
2015-01-02 24.8617429018 121.77893770840001 0.48704576 -1132.5711548756487 -1383.370143047873
2015-01-03 24.8617428845 121.7789377048 0.48704123 -1132.571156799321 -1383.3701433755923
2015-01-04 24.8617428668 121.77893769939999 0.48704324000000004 -1132.5711587674712 -1383.3701438671715
2015-01-05 24.8617428895 121.7789376822 0.48704264999999997 -1132.5711562433462 -1383.3701454329382
2015-01-06 24.8617428998 121.77893768320001 0.48704987 -1132.5711550980386 -1383.3701453419037
2015-01-07 24.8617428961 121.778937686 0.48704147999999997 -1132.5711555094597 -1383.370145087012
2015-01-08 24.8617428956 121.77893769260001 0.48704865999999997 -1132.5711555650573 -1383.3701444861938
2015-01-09 24.8617428939 121.77893770380001 0.48704461 -1132.5711557540885 -1383.3701434666243
2015-01-10 24.8617428806 121.77893769229999 0.4870455 -1132.571157232981 -1383.3701445135055
2015-01-11 24.8617428825 121.7789376993 0.48704095999999997 -1132.5711570217109 -1383.3701438762737
2015-01-12 24.8617428744 121.7789376819 0.48704131 -1132.5711579223896 -1383.3701454602474
2015-01-13 24.8617428979 121.77893770099999 0.48703991 -1132.5711553093088 -1383.3701437215186
2015-01-14 24.8617428866 121.7789377011 0.48703914 -1132.5711565658119 -1383.370143712414
2015-01-15 24.8617428947 121.77893770399999 0.48704241000000004 -1132.5711556651327 -1383.37014344842
2015-01-16 24.8617428767 121.7789377011 0.48703816 -1132.5711576666415 -1383.370143712414
2015-01-17 24.861742882 121.7789376984 0.48703707 -1132.571157077308 -1383.3701439582035
2015-01-18 24.8617428903 121.7789376863 0.48704411 -1132.5711561543903 -1383.3701450597027
2015-01-19 24.8617428825 121.77893770040001 0.48703944 -1132.5711570217109 -1383.370143776137
2015-01-20 24.86174288 121.77893772799999 0.48704238 -1132.571157299698 -1383.3701412636283
2015-01-21 24.8617428882 121.7789377386 0.48704253 -1132.5711563879 -1383.3701402986771
2015-01-22 24.8617428907 121.7789376863 0.4870457 -1132.5711561099124 -1383.3701450597027
2015-01-23 24.8617428724 121.77893772019999 0.48704301 -1132.5711581447795 -1383.3701419736853
2015-01-24 24.8617428913 121.77893773100001 0.48704881 -1132.5711560431953 -1383.370140990527
2015-01-25 24.861742888 121.77893772350001 0.48704701 -1132.5711564101389 -1383.370141673275
2015-01-26 24.8617428955 121.77893771539999 0.48704407 -1132.5711555761766 -1383.3701424106437
2015-01-27 24.8617428815 121.7789377169 0.48704527999999997 -1132.5711571329057 -1383.370142274093
2015-01-28 24.8617428697 121.77893773279999 0.48703442 -1132.571158445006 -1383.37014082667
