date lat lon z km_lat km_lon
2010-12-19 23.321380901 121.30021116469999 0.19760933 -1303.8515945606703 -1426.9500468782246
2010-12-20 23.3213808984 121.3002111749 0.19761113 -1303.851594849777 -1426.9500459496871
2010-12-21 23.3213808789 121.3002111737 0.19761489000000002 -1303.851597018078 -1426.950046058926
2010-12-22 23.3213809023 121.3002111644 0.1976068 -1303.851594416117 -1426.9500469055338
2010-12-23 23.3213809095 121.300211184 0.19761844 -1303.8515936155136 -1426.9500451212866
2010-12-24 23.3213809071 121.3002111801 0.19761419 -1303.8515938823814 -1426.9500454763152
2010-12-25 23.3213808726 121.3002111918 0.19762385000000002 -1303.8515977186064 -1426.9500444112296
2010-12-26 23.3213809036 121.30021116149999 0.19760875 -1303.8515942715635 -1426.9500471695303
2010-12-27 23.3213809031 121.30021115139999 0.1976021 -1303.8515943271611 -1426.9500480889628
2010-12-28 23.3213808838 121.300211157 0.19759719999999997 -1303.8515964732233 -1426.950047579177
2010-12-29 23.3213808815 121.3002111817 0.19760881 -1303.8515967289713 -1426.9500453306623
2010-12-30 23.3213809104 121.3002111733 0.1976207 -1303.8515935154383 -1426.95004609534
2010-12-31 23.3213808849 121.3002111552 0.19760269 -1303.8515963509085 -1426.9500477430365
2011-01-01 23.3213808999 121.30021115119999 0.19760697 -1303.8515946829848 -1426.9500481071698
2011-01-02 23.3213809002 121.3002111866 0.19760709 -1303.8515946496261 -1426.9500448846018
2011-01-03 23.3213808903 121.30021119950001 0.19760664 -1303.8515957504562 -1426.9500437102747
2011-01-04 23.3213808899 121.30021118159999 0.19761337 -1303.8515957949342 -1426.950045339767
2011-01-07 23.3213809332 121.30021118280001 0.19759862 -1303.8515909801938 -1426.9500452305256
2011-01-08 23.3213809 121.30021114690001 0.19760593 -1303.8515946718653 -1426.9500484986095
2011-01-09 23.321380898 121.30021115349999 0.19760912 -1303.8515948942552 -1426.950047897794
2011-01-10 23.3213809076 121.30021117730001 0.19761755 -1303.851593826784 -1426.9500457312067
2011-01-11 23.3213809192 121.3002111785 0.19761330000000002 -1303.851592536923 -1426.9500456219678
2011-01-12 23.3213809114 121.30021116949999 0.19761451 -1303.8515934042434 -1426.9500464412663
2011-01-13 23.3213809023 121.3002111873 0.19761312 -1303.851594416117 -1426.950044820879
2011-01-14 23.3213808885 121.3002111413 0.19760606 -1303.8515959506071 -1426.9500490083956
2011-01-15 23.321380899 121.3002111742 0.19761262 -1303.8515947830601 -1426.9500460134102
2011-01-16 23.3213809013 121.30021114780001 0.19760067 -1303.851594527312 -1426.9500484166797
2011-01-17 23.3213809135 121.30021118120001 0.1976051 -1303.8515931707338 -1426.9500453761782
2011-01-18 23.3213809117 121.3002111806 0.19759813 -1303.8515933708848 -1426.950045430799
2011-01-19 23.3213809122 121.3002111628 0.19759801999999999 -1303.8515933152873 -1426.9500470511866
2011-01-20 23.321380916 121.3002111651 0.19759738 -1303.8515928927466 -1426.9500468418107
2011-01-21 23.3213809082 121.30021115689999 0.19760724999999998 -1303.851593760067 -1426.9500475882817
2011-01-22 23.321380937 121.30021118760001 0.19760531 -1303.851590557653 -1426.9500447935673
2011-01-23 23.3213809176 121.30021117519999 0.19761049 -1303.8515927148346 -1426.9500459223782
2011-01-24 23.321380913 121.30021115900001 0.19760387 -1303.8515932263315 -1426.9500473971102
2011-01-25 23.3213809421 121.30021114440001 0.19759406999999998 -1303.851589990559 -1426.950048726192
2011-01-26 23.3213809342 121.3002111426 0.19759533999999998 -1303.8515908689988 -1426.950048890052
2011-01-27 23.3213808798 121.3002111538 0.19760457 -1303.851596918003 -1426.9500478704824
2011-01-28 23.3213809217 121.30021114159999 0.19760237 -1303.8515922589354 -1426.9500489810864
2011-01-29 23.3213808702 121.30021117449999 0.19760898 -1303.8515979854742 -1426.950045986101
2011-01-30 23.3213808861 121.3002111468 0.19760042000000003 -1303.851596217475 -1426.9500485077144
2011-01-31 23.3213808951 121.30021114319999 0.19760046 -1303.8515952167206 -1426.9500488354338
2011-02-01 23.321380903 121.3002111905 0.19761402 -1303.8515943382804 -1426.9500445295732
2011-02-02 23.32138091 121.3002111628 0.19760059000000002 -1303.8515935599162 -1426.9500470511866
2011-02-03 23.3213809116 121.30021114760001 0.19761123 -1303.8515933820042 -1426.9500484348866
2011-02-04 23.3213808925 121.30021114659999 0.19760429 -1303.8515955058274 -1426.9500485259211
2011-02-05 23.3213809168 121.3002111541 0.19759624 -1303.8515928037907 -1426.9500478431733
2011-02-06 23.3213809114 121.30021115880001 0.1976039 -1303.8515934042434 -1426.9500474153172
2011-02-07 23.3213808906 121.3002111529 0.19759519 -1303.8515957170976 -1426.9500479524122
2011-02-08 23.3213809207 121.30021116180001 0.19760646 -1303.8515923701302 -1426.9500471422186
2011-02-09 23.3213809051 121.3002111824 0.19760702 -1303.8515941047713 -1426.9500452669392
2011-02-10 23.3213809344 121.30021119829999 0.19762795 -1303.8515908467598 -1426.9500438195164
2011-02-11 23.3213809321 121.30021115669999 0.19759881999999998 -1303.8515911025083 -1426.9500476064886
2011-02-12 23.3213809199 121.30021115439999 0.19760692 -1303.851592459086 -1426.9500478158643
2011-02-13 23.3213809266 121.3002111538 0.19761056999999999 -1303.8515917140803 -1426.9500478704824
2011-02-14 23.3213809206 121.30021117109999 0.19760265999999999 -1303.85159238125 -1426.9500462956134
2011-02-15 23.3213809238 121.30021115849999 0.19760348 -1303.851592025426 -1426.9500474426288
2011-02-16 23.321380925 121.3002111392 0.19760303999999998 -1303.8515918919923 -1426.9500491995643
2011-02-17 23.3213809177 121.30021114659999 0.19760559 -1303.8515927037151 -1426.9500485259211
2011-02-18 23.3213809271 121.30021112489999 0.19761167000000002 -1303.8515916584827 -1426.9500505013373
2011-02-19 23.3213809363 121.30021107939999 0.1975994 -1303.8515906354896 -1426.950054643338
2011-02-20 23.3213809205 121.3002111836 0.19760382999999998 -1303.8515923923692 -1426.9500451577003
2011-02-21 23.3213809302 121.3002111731 0.19760283999999997 -1303.8515913137785 -1426.950046113547
2011-02-22 23.3213809029 121.30021115720001 0.19760773 -1303.8515943494 -1426.95004756097
2011-02-23 23.3213809197 121.30021115720001 0.19760684 -1303.8515924813253 -1426.95004756097
2011-02-24 23.3213809189 121.30021115010001 0.19760881 -1303.8515925702811 -1426.950048207304
2011-02-25 23.3213809016 121.3002111669 0.19760152 -1303.8515944939534 -1426.9500466779511
2011-02-26 23.3213809179 121.30021117230001 0.19761013 -1303.851592681476 -1426.950046186372
2011-02-27 23.3213809207 121.30021117640001 0.19760761999999998 -1303.8515923701302 -1426.9500458131365
2011-02-28 23.3213809326 121.3002111568 0.1976062 -1303.8515910469107 -1426.950047597384
2011-03-01 23.3213809322 121.30021115599999 0.19760624000000002 -1303.8515910913886 -1426.9500476702115
2011-03-02 23.3213809263 121.3002111559 0.19759997999999998 -1303.8515917474385 -1426.9500476793137
2011-03-03 23.3213809217 121.3002111511 0.19760513 -1303.8515922589354 -1426.950048116272
2011-03-04 23.3213809106 121.3002111545 0.19759626 -1303.8515934931993 -1426.9500478067596
2011-03-05 23.321380927 121.30021116789999 0.19760064 -1303.8515916696024 -1426.9500465869191
2011-03-06 23.3213809153 121.3002112206 0.19760677999999998 -1303.851592970583 -1426.9500417894794
2011-03-07 23.3213809166 121.30021115299999 0.19761437 -1303.8515928260297 -1426.9500479433102
2011-03-08 23.3213809091 121.30021118740001 0.19761421999999998 -1303.8515936599915 -1426.950044811774
2011-03-09 23.3213809333 121.3002111582 0.19759975 -1303.8515909690743 -1426.950047469938
2011-03-10 23.3213809302 121.3002111786 0.19760554 -1303.8515913137785 -1426.9500456128656
2011-03-11 23.3213809142 121.3002112017 0.19760781 -1303.8515930928975 -1426.9500435100038
2011-03-12 23.321380914 121.30021119829999 0.1976061 -1303.8515931151364 -1426.9500438195164
2011-03-13 23.3213809197 121.3002111859 0.19760893999999998 -1303.8515924813253 -1426.9500449483246
2011-03-14 23.3213809089 121.30021118779999 0.19759649999999998 -1303.8515936822305 -1426.9500447753628
2011-03-15 23.3213809275 121.3002111868 0.19760166 -1303.8515916140047 -1426.9500448663948
2011-03-16 23.3213809272 121.30021120110001 0.19760867999999998 -1303.8515916473634 -1426.950043564622
2011-03-17 23.3213809244 121.3002112071 0.19760985 -1303.8515919587092 -1426.9500430184246
2011-03-18 23.3213809274 121.3002111941 0.19760801 -1303.8515916251245 -1426.9500442018539
2011-03-19 23.3213809262 121.30021119880001 0.19760910999999998 -1303.8515917585582 -1426.9500437739978
2011-03-20 23.3213809101 121.30021119380001 0.19760486 -1303.8515935487965 -1426.950044229163
2011-03-21 23.3213809435 121.30021119930001 0.19760842 -1303.851589834886 -1426.9500437284817
2011-03-22 23.3213809212 121.30021119099999 0.19759639999999998 -1303.851592314533 -1426.9500444840573
2011-03-23 23.3213809157 121.30021120289999 0.19760502 -1303.851592926105 -1426.9500434007648
2011-03-24 23.3213809434 121.3002111866 0.19760524000000002 -1303.8515898460055 -1426.9500448846018
2011-03-25 23.3213809487 121.3002112037 0.19761438999999997 -1303.8515892566725 -1426.9500433279372
