date lat lon z km_lat km_lon
2007-01-01 23.8838890493 120.7985779004 0.25098793 -1241.3035422734854 -1472.615217744533
2007-01-02 23.8838890406 120.79857788710001 0.25099133 -1241.3035432408813 -1472.6152189552713
2007-01-03 23.8838890448 120.79857789799999 0.25099518 -1241.3035427738625 -1472.6152179630135
2007-01-04 23.8838890427 120.7985778965 0.25098681 -1241.3035430073717 -1472.6152180995614
2007-01-05 23.8838890408 120.79857790540001 0.25098185 -1241.3035432186423 -1472.6152172893678
2007-01-06 23.8838890592 120.7985778931 0.250987 -1241.3035411726555 -1472.615218409074
2007-01-07 23.8838890348 120.79857790630001 0.25098764 -1241.303543885812 -1472.6152172074378
2007-01-08 23.8838890404 120.79857790610001 0.25099033 -1241.3035432631202 -1472.6152172256448
2007-01-09 23.8838890563 120.7985779094 0.25098419 -1241.303541495121 -1472.615216925237
2007-01-10 23.8838890617 120.79857789319999 0.25098905 -1241.3035408946682 -1472.6152183999718
2007-01-11 23.8838890379 120.79857787809999 0.25098826 -1241.3035435411073 -1472.6152197745698
2007-01-12 23.8838890388 120.79857790669999 0.25098767 -1241.3035434410322 -1472.6152171710266
2007-01-13 23.8838890584 120.79857789280001 0.25098859 -1241.3035412616114 -1472.615218436383
2007-01-14 23.8838890443 120.79857789600001 0.25099065 -1241.3035428294602 -1472.6152181450775
2007-01-15 23.8838890421 120.7985779007 0.2509909 -1241.3035430740886 -1472.615217717224
2007-01-16 23.8838890442 120.79857789600001 0.25098948 -1241.3035428405794 -1472.6152181450775
2007-01-17 23.8838890619 120.79857790560001 0.25099261 -1241.3035408724293 -1472.6152172711609
2007-01-18 23.8838890571 120.7985779114 0.2509948 -1241.303541406165 -1472.6152167431705
2007-01-19 23.8838890647 120.79857790049999 0.25099185 -1241.3035405610835 -1472.6152177354309
2007-01-20 23.8838890423 120.7985778924 0.25098703 -1241.3035430518496 -1472.6152184727969
2007-01-21 23.8838890525 120.7985779041 0.25098761999999997 -1241.3035419176617 -1472.6152174077115
2007-01-22 23.8838890511 120.7985778991 0.25099134 -1241.3035420733347 -1472.6152178628768
2007-01-23 23.88388905 120.7985779224 0.25099306 -1241.3035421956488 -1472.615215741808
2007-01-24 23.8838890624 120.7985779107 0.25099291 -1241.3035408168316 -1472.6152168068934
2007-01-25 23.8838890565 120.79857790930001 0.25099038 -1241.303541472882 -1472.6152169343393
2007-01-26 23.8838890503 120.79857791660001 0.2509894 -1241.3035421622906 -1472.6152162697983
2007-01-27 23.8838890491 120.79857793810001 0.25098524 -1241.3035422957246 -1472.6152143125892
2007-01-28 23.88388903 120.7985779249 0.25098904 -1241.3035444195475 -1472.6152155142254
2007-01-29 23.883889035 120.79857791559999 0.2509943 -1241.303543863573 -1472.6152163608328
2007-01-30 23.8838890624 120.79857791180001 0.2509938 -1241.3035408168316 -1472.6152167067567
2007-01-31 23.8838890407 120.7985779235 0.25099328 -1241.3035432297615 -1472.615215641671
2007-02-01 23.8838890468 120.79857792000001 0.25099677 -1241.3035425514727 -1472.6152159602857
2007-02-02 23.8838890417 120.79857793260001 0.25099637 -1241.3035431185665 -1472.6152148132705
2007-02-03 23.8838890387 120.79857794610001 0.25099667999999997 -1241.3035434521514 -1472.6152135843254
2007-02-04 23.8838890204 120.79857793139999 0.250998 -1241.3035454870185 -1472.615214922512
2007-02-05 23.8838890337 120.798577938 0.25099736 -1241.303544008126 -1472.6152143216939
2007-02-06 23.883889044 120.7985779238 0.25099341000000003 -1241.3035428628184 -1472.6152156143621
2007-02-07 23.8838890351 120.79857791680001 0.25098774 -1241.3035438524532 -1472.6152162515914
2007-02-08 23.8838890195 120.7985779139 0.25099063 -1241.3035455870943 -1472.615216515588
2007-02-09 23.8838890309 120.7985779382 0.25099586 -1241.303544319472 -1472.615214303487
2007-02-10 23.8838890475 120.7985779288 0.25098899 -1241.3035424736363 -1472.6152151591969
2007-02-11 23.8838890284 120.7985779245 0.25099398 -1241.3035445974594 -1472.615215550639
2007-02-12 23.8838890255 120.7985779391 0.25099212 -1241.3035449199247 -1472.6152142215572
2007-02-13 23.883889044 120.79857794770001 0.25099568 -1241.3035428628184 -1472.6152134386725
2007-02-14 23.8838890483 120.7985779261 0.25099084 -1241.3035423846804 -1472.6152154049864
2007-02-15 23.8838890497 120.79857792639999 0.25099797 -1241.3035422290075 -1472.6152153776773
2007-02-16 23.8838890366 120.798577924 0.25099994000000003 -1241.303543685661 -1472.6152155961552
2007-02-17 23.8838890284 120.79857792249999 0.25100165 -1241.3035445974594 -1472.6152157327058
2007-02-18 23.8838890291 120.7985778915 0.25100779 -1241.3035445196228 -1472.6152185547267
2007-02-19 23.8838890329 120.79857795960001 0.25099952999999997 -1241.303544097082 -1472.6152123553802
2007-02-20 23.8838890529 120.79857794329999 0.25099201 -1241.3035418731838 -1472.6152138392197
2007-02-21 23.883889041 120.7985779105 0.25099604 -1241.3035431964033 -1472.6152168251003
2007-02-22 23.8838890357 120.79857791449999 0.25100105 -1241.303543785736 -1472.6152164609696
2007-02-23 23.8838890284 120.7985779322 0.2509847 -1241.3035445974594 -1472.6152148496842
2007-02-24 23.8838890364 120.79857790560001 0.25099639 -1241.3035437079 -1472.6152172711609
2007-02-25 23.8838890303 120.7985779279 0.25099448 -1241.3035443861888 -1472.6152152411266
2007-02-26 23.8838890265 120.7985779357 0.25099569 -1241.3035448087296 -1472.6152145310696
2007-02-27 23.8838890428 120.7985779311 0.25099586 -1241.3035429962524 -1472.6152149498212
2007-02-28 23.8838890373 120.79857792569999 0.25099436 -1241.3035436078244 -1472.6152154414
2007-03-01 23.883889039 120.7985779219 0.25099833 -1241.3035434187932 -1472.615215787324
2007-03-02 23.883889027 120.79857791660001 0.25099944 -1241.3035447531324 -1472.6152162697983
2007-03-03 23.8838890224 120.7985779315 0.25098739000000003 -1241.303545264629 -1472.6152149134073
2007-03-04 23.8838890615 120.7985779158 0.25099564 -1241.3035409169072 -1472.615216342626
2007-03-05 23.8838890394 120.79857792320001 0.25098268 -1241.3035433743153 -1472.6152156689802
2007-03-06 23.883889054 120.7985779153 0.25099105 -1241.303541750869 -1472.615216388142
2007-03-07 23.8838890382 120.7985779176 0.25098757 -1241.303543507749 -1472.6152161787663
2007-03-08 23.8838890365 120.7985779288 0.25099026 -1241.3035436967803 -1472.6152151591969
2007-03-09 23.8838890373 120.7985779334 0.25099119999999997 -1241.3035436078244 -1472.6152147404455
2007-03-10 23.8838890323 120.7985779281 0.25099107 -1241.303544163799 -1472.6152152229197
2007-03-11 23.8838890458 120.7985779274 0.25098929999999997 -1241.3035426626675 -1472.6152152866428
2007-03-12 23.8838890353 120.79857791410001 0.25099107 -1241.3035438302143 -1472.615216497381
2007-03-13 23.8838890465 120.7985779096 0.25099534 -1241.3035425848313 -1472.6152169070301
2007-03-14 23.8838890507 120.7985779066 0.2510058 -1241.3035421178126 -1472.6152171801289
2007-03-15 23.8838890527 120.79857792210001 0.25099646000000003 -1241.3035418954228 -1472.615215769117
2007-03-16 23.8838890615 120.79857791629999 0.25099563 -1241.3035409169072 -1472.61521629711
2007-03-17 23.8838890552 120.79857790739999 0.25099192 -1241.3035416174353 -1472.6152171073038
2007-03-18 23.8838890742 120.79857791430001 0.2509921 -1241.3035395047318 -1472.615216479174
