date lat lon z km_lat km_lon
2007-01-01 23.487304456 120.9591432361 3.87966802 -1285.4017370338408 -1457.9984767670808
2007-01-02 23.4873044547 120.9591432043 3.8796647600000003 -1285.4017371783946 -1457.9984796619297
2007-01-03 23.4873044523 120.9591432071 3.87966616 -1285.4017374452624 -1457.9984794070378
2007-01-04 23.4873044475 120.9591431886 3.87966583 -1285.4017379789977 -1457.9984810911483
2007-01-05 23.4873044401 120.9591432146 3.87966388 -1285.4017388018403 -1457.99847872429
2007-01-06 23.4873044642 120.9591431945 3.8796607 -1285.4017361220424 -1457.9984805540532
2007-01-07 23.4873044383 120.95914321309999 3.87965751 -1285.401739001991 -1457.9984788608406
2007-01-08 23.4873044445 120.95914321750001 3.87965682 -1285.4017383125824 -1457.9984784602934
2007-01-09 23.4873044641 120.95914322050001 3.87965515 -1285.401736133162 -1457.998478187195
2007-01-10 23.4873044727 120.95914320829999 3.87966268 -1285.4017351768857 -1457.998479297799
2007-01-11 23.4873044517 120.9591431922 3.87965971 -1285.4017375119795 -1457.998480763429
2007-01-12 23.4873044485 120.9591432062 3.87965652 -1285.4017378678027 -1457.9984794889676
2007-01-13 23.4873044599 120.9591432 3.8796594100000004 -1285.4017366001808 -1457.9984800533718
2007-01-14 23.4873044623 120.9591432014 3.8796596500000002 -1285.401736333313 -1457.998479925926
2007-01-15 23.4873044551 120.9591432114 3.8796578399999997 -1285.4017371339166 -1457.9984790155954
2007-01-16 23.4873044328 120.95914321679999 3.87966427 -1285.4017396135634 -1457.998478524019
2007-01-17 23.487304466 120.9591432407 3.87966224 -1285.4017359218917 -1457.9984763483294
2007-01-18 23.4873044701 120.95914322109999 3.87966046 -1285.4017354659925 -1457.9984781325766
2007-01-19 23.4873044497 120.95914326709999 3.87966858 -1285.401737734369 -1457.99847394506
2007-01-20 23.487304452 120.95914322070001 3.8796635999999998 -1285.4017374786206 -1457.998478168988
2007-01-21 23.4873044604 120.95914320130001 3.8796687299999997 -1285.4017365445832 -1457.9984799350282
2007-01-22 23.4873044568 120.9591432002 3.87966059 -1285.401736944885 -1457.998480035165
2007-01-23 23.4873044469 120.9591432249 3.8796610300000003 -1285.4017380457146 -1457.9984777866503
2007-01-24 23.4873044652 120.9591432203 3.87966257 -1285.4017360108476 -1457.9984782054019
2007-01-25 23.4873044614 120.95914321020001 3.87966308 -1285.4017364333884 -1457.9984791248344
2007-01-26 23.487304447 120.9591432297 3.87966134 -1285.4017380345954 -1457.998477349692
2007-01-27 23.487304469 120.95914323420001 3.87966187 -1285.4017355883068 -1457.9984769400428
2007-01-28 23.4873044292 120.95914322070001 3.87965999 -1285.4017400138648 -1457.998478168988
2007-01-29 23.4873044469 120.9591432169 3.87966194 -1285.4017380457146 -1457.9984785149143
2007-01-30 23.48730447 120.95914320349999 3.87966126 -1285.401735477112 -1457.9984797347572
2007-01-31 23.4873044466 120.95914320950001 3.87966244 -1285.4017380790733 -1457.9984791885574
2007-02-01 23.4873044634 120.9591432128 3.87966846 -1285.4017362109985 -1457.9984788881497
2007-02-02 23.4873044548 120.95914323560001 3.87966322 -1285.4017371672749 -1457.998476812597
2007-02-03 23.4873044515 120.95914322990001 3.879663 -1285.4017375342185 -1457.998477331485
2007-02-04 23.4873044207 120.95914324130001 3.87966807 -1285.401740959022 -1457.9984762937088
2007-02-05 23.4873044372 120.9591432364 3.8796670399999997 -1285.4017391243058 -1457.9984767397718
2007-02-06 23.4873044493 120.95914321699999 3.87966179 -1285.4017377788468 -1457.998478505812
2007-02-07 23.487304443 120.95914322760001 3.8796619900000002 -1285.4017384793751 -1457.9984775408607
2007-02-08 23.4873044212 120.9591432268 3.8796643 -1285.4017409034243 -1457.9984776136885
2007-02-09 23.4873044519 120.95914324489999 3.87966855 -1285.4017374897403 -1457.998475965992
2007-02-10 23.4873044576 120.95914321890001 3.8796651 -1285.4017368559291 -1457.9984783328475
2007-02-11 23.4873044303 120.9591432295 3.8796664599999997 -1285.4017398915505 -1457.9984773678989
2007-02-12 23.4873044382 120.9591432357 3.87966049 -1285.4017390131107 -1457.9984768034947
2007-02-13 23.4873044547 120.9591432489 3.87966172 -1285.4017371783946 -1457.9984756018587
2007-02-14 23.4873044541 120.9591432247 3.87966667 -1285.4017372451115 -1457.9984778048572
2007-02-15 23.4873044571 120.95914321679999 3.8796694200000004 -1285.4017369115268 -1457.998478524019
2007-02-16 23.4873044293 120.9591432066 3.87967194 -1285.4017400027456 -1457.9984794525537
2007-02-17 23.487304433 120.9591432162 3.87967586 -1285.4017395913245 -1457.998478578637
2007-02-18 23.4873044388 120.95914319260001 3.8796705900000004 -1285.4017389463938 -1457.998480727015
2007-02-19 23.4873044462 120.9591432137 3.87966881 -1285.4017381235512 -1457.9984788062197
2007-02-20 23.487304456 120.9591432126 3.87967538 -1285.4017370338408 -1457.9984789063565
2007-02-21 23.4873044428 120.9591432 3.87967535 -1285.401738501614 -1457.9984800533718
2007-02-22 23.4873044173 120.95914324329999 3.8796745 -1285.4017413370848 -1457.9984761116445
2007-02-23 23.4873044244 120.959143232 3.87967082 -1285.4017405476006 -1457.9984771403163
2007-02-24 23.487304433 120.9591432126 3.8796709799999998 -1285.4017395913245 -1457.9984789063565
2007-02-25 23.4873043783 120.9591432723 3.8796765 -1285.401745673687 -1457.9984734716877
2007-02-26 23.4873044261 120.9591432224 3.87966903 -1285.4017403585694 -1457.998478014233
2007-02-27 23.4873044466 120.95914322300001 3.87966466 -1285.4017380790733 -1457.9984779596123
2007-02-28 23.4873044416 120.95914322530001 3.87965989 -1285.401738635048 -1457.9984777502366
2007-03-01 23.4873044376 120.9591432256 3.8796624299999998 -1285.4017390798278 -1457.9984777229274
2007-03-02 23.4873044386 120.95914320559999 3.87966389 -1285.4017389686328 -1457.9984795435885
2007-03-03 23.4873044412 120.9591432222 3.87966496 -1285.401738679526 -1457.9984780324398
