date lat lon z km_lat km_lon
2009-01-02 33.2021811006 132.3603876469 0.043399679999999996 -205.15674117660703 -420.1092234810877
2009-01-03 33.2021810998 132.3603876675 0.043400060000000004 -205.15674126556297 -420.1092216058085
2009-01-04 33.2021811268 132.3603876628 0.04339644 -205.1567382633001 -420.1092220336621
2009-01-05 33.2021810964 132.3603876442 0.043395380000000004 -205.15674164362616 -420.10922372687725
2009-01-06 33.202181121 132.3603876509 0.0433961 -205.15673890823035 -420.10922311695447
2009-01-07 33.202181111 132.3603876379 0.043399209999999994 -205.1567400201797 -420.10922430038363
2009-01-08 33.2021810955 132.3603876217 0.04339033 -205.15674174370102 -420.1092257751183
2009-01-09 33.2021811037 132.360387631 0.04340377 -205.15674083190294 -420.10922492851074
2009-01-10 33.202181125 132.3603876382 0.04339982 -205.1567384634506 -420.1092242730745
2009-01-11 33.2021811335 132.3603876677 0.04340169 -205.15673751829422 -420.10922158760155
2009-01-12 33.2021811276 132.3603876537 0.04339735 -205.15673817434416 -420.1092228620627
2009-01-13 33.2021811233 132.360387652 0.04339499 -205.15673865248218 -420.1092230168203
2009-01-14 33.2021811239 132.3603876271 0.04339715 -205.15673858576562 -420.1092252835392
2009-01-15 33.2021811283 132.3603876377 0.04339667 -205.1567380965079 -420.1092243185905
2009-01-16 33.2021811278 132.3603876346 0.04338642 -205.15673815210477 -420.10922460079394
2009-01-17 33.2021811099 132.3603876459 0.0433962 -205.15674014249393 -420.10922357211973
2009-01-18 33.202181102 132.3603876203 0.04339735 -205.1567410209345 -420.1092259025642
2009-01-19 33.2021811201 132.360387651 0.04340626 -205.15673900830598 -420.1092231078523
2009-01-20 33.2021811114 132.3603876056 0.04338982 -205.15673997570173 -420.1092272407483
2009-01-21 33.2021811068 132.3603876343 0.043403170000000005 -205.15674048719882 -420.10922462810305
2009-01-22 33.2021811212 132.3603876572 0.04341384 -205.15673888599176 -420.1092225434481
2009-01-23 33.2021811154 132.3603876551 0.04340896 -205.15673953092198 -420.1092227346169
2009-01-24 33.202181092 132.3603876675 0.04340108 -205.15674213288386 -420.1092216058085
2009-01-25 33.2021810971 132.3603876506 0.04341085 -205.1567415657891 -420.10922314426614
2009-01-26 33.202181107 132.360387632 0.04339675 -205.15674046495943 -420.10922483747873
2009-01-27 33.2021811276 132.3603876394 0.04340057 -205.15673817434416 -420.1092241638356
2009-01-28 33.2021811228 132.3603876298 0.04339611 -205.15673870807984 -420.10922503775225
2009-01-29 33.2021811094 132.3603876315 0.04340253 -205.1567401980916 -420.10922488299474
2009-01-30 33.2021811086 132.3603876127 0.04340204 -205.15674028704754 -420.1092265944143
2009-01-31 33.2021811471 132.3603876005 0.043410449999999996 -205.1567360060431 -420.1092277050183
2009-02-01 33.2021811122 132.3603876264 0.04340463 -205.15673988674578 -420.10922534726217
2009-02-02 33.2021811309 132.3603876399 0.043403449999999996 -205.15673780740067 -420.109224118317
2009-02-03 33.2021811272 132.3603876338 0.0434002 -205.15673821882214 -420.10922467361905
2009-02-04 33.2021811257 132.3603876307 0.0433967 -205.15673838561435 -420.1092249558224
2009-02-05 33.2021811277 132.3603876228 0.043399900000000005 -205.15673816322447 -420.1092256749816
2009-02-06 33.2021811228 132.3603876455 0.043398780000000005 -205.15673870807984 -420.10922360853357
2009-02-07 33.2021811253 132.360387625 0.04340226 -205.1567384300923 -420.1092254747106
2009-02-08 33.2021811172 132.3603876268 0.04339944 -205.1567393307715 -420.1092253108509
2009-02-09 33.2021811376 132.3603876201 0.04340331 -205.1567370623948 -420.1092259207711
2009-02-10 33.2021811288 132.3603876391 0.04339699 -205.15673804091023 -420.1092241911447
2009-02-11 33.2021811432 132.360387662 0.04340521 -205.15673643970317 -420.10922210648977
2009-02-12 33.2021811021 132.3603876234 0.04339259 -205.15674100981482 -420.1092256203634
2009-02-13 33.2021811321 132.3603876114 0.04339617 -205.15673767396675 -420.10922671275796
2009-02-14 33.2021811024 132.3603876368 0.04339425 -205.15674097645655 -420.1092244005204
2009-02-15 33.202181119 132.3603876102 0.04339602 -205.15673913062022 -420.1092268219969
2009-02-16 33.2021811239 132.3603876147 0.043396880000000006 -205.15673858576562 -420.1092264123502
2009-02-17 33.2021811029 132.3603876351 0.04340163 -205.15674092085888 -420.1092245552753
2009-02-18 33.2021811174 132.3603876327 0.04339149 -205.1567393085321 -420.1092247737558
2009-02-19 33.202181115 132.360387655 0.04339793 -205.15673957539997 -420.10922274371904
2009-02-20 33.2021810943 132.360387627 0.04340364 -205.15674187713492 -420.109225292644
2009-02-21 33.2021811572 132.3603876479 0.04341024 -205.15673488297406 -420.1092233900531
2009-02-22 33.2021811149 132.3603876357 0.04340422 -205.15673958651965 -420.10922450065715
2009-02-23 33.2021811222 132.3603876339 0.04340001 -205.15673877479642 -420.1092246645169
2009-02-24 33.202181103 132.3603876549 0.04340249 -205.15674090973917 -420.1092227528238
2009-02-25 33.2021810903 132.3603876372 0.04339197 -205.15674232191466 -420.1092243641066
2009-02-26 33.2021811129 132.360387635 0.04339975 -205.15673980890952 -420.1092245643801
2009-02-27 33.2021811063 132.360387643 0.043398189999999996 -205.1567405427957 -420.1092238361162
2009-02-28 33.2021811056 132.3603876394 0.043395180000000005 -205.15674062063275 -420.1092241638356
2009-03-01 33.2021811192 132.3603876297 0.04339335 -205.15673910838163 -420.1092250468544
2009-03-02 33.2021811231 132.3603876531 0.043399679999999996 -205.15673867472157 -420.1092229166835
2009-03-03 33.2021810831 132.3603876477 0.04339574 -205.1567431225182 -420.10922340826005
2009-03-04 33.2021810994 132.3603876338 0.043403750000000005 -205.15674131004096 -420.10922467361905
2009-03-05 33.2021811105 132.3603876674 0.04340059 -205.15674007577735 -420.10922161491067
2009-03-06 33.2021811013 132.3603876481 0.0434108 -205.15674109877077 -420.10922337184877
2009-03-07 33.2021811245 132.3603876589 0.04340602 -205.15673851904825 -420.10922238869057
2009-03-08 33.2021811001 132.3603876516 0.04340513 -205.1567412322047 -420.1092230532315
2009-03-09 33.2021811098 132.3603876417 0.04340526 -205.1567401536136 -420.1092239544599
2009-03-10 33.2021811094 132.3603876409 0.04340634 -205.1567401980916 -420.109224027285
2009-03-11 33.2021810914 132.3603876334 0.04339114 -205.15674219960044 -420.1092247100329
2009-03-12 33.2021811188 132.3603876523 0.04340015 -205.1567391528596 -420.1092229895086
2009-03-13 33.2021811006 132.3603876535 0.04340758 -205.15674117660703 -420.10922288026967
2009-03-14 33.2021811009 132.360387648 0.04340806 -205.15674114324875 -420.10922338095094
2009-03-15 33.2021811013 132.3603876558 0.04340206 -205.15674109877077 -420.109222670894
2009-03-16 33.2021811097 132.3603876452 0.043404319999999996 -205.15674016473332 -420.1092236358427
2009-03-17 33.202181105 132.360387678 0.04340393 -205.1567406873493 -420.10922064996197
2009-03-18 33.2021811145 132.3603876511 0.043401249999999995 -205.1567396309976 -420.1092230987475
2009-03-19 33.2021811077 132.360387656 0.04339818 -205.1567403871232 -420.10922265268704
2009-03-20 33.2021811281 132.3603876594 0.043413020000000004 -205.1567381187465 -420.10922234317457
2009-03-21 33.2021811154 132.3603876441 0.04340362 -205.15673953092198 -420.1092237359794
2009-03-22 33.202181102 132.3603876313 0.04340775 -205.1567410209345 -420.1092249012017
2009-03-23 33.202181103 132.3603876753 0.04340306 -205.15674090973917 -420.1092208957515
2009-03-24 33.2021811435 132.3603876556 0.043410130000000005 -205.15673640634486 -420.1092226891009
2009-03-25 33.2021811021 132.3603876787 0.043406820000000006 -205.15674100981482 -420.109220586239
2009-03-26 33.2021811127 132.36038767 0.04339249 -205.15673983114812 -420.10922137822587
2009-03-27 33.2021811113 132.360387634 0.04339821 -205.1567399868214 -420.1092246554121
2009-03-28 33.202181125 132.3603876552 0.04339776 -205.1567384634506 -420.1092227255147
2009-03-29 33.2021811109 132.3603876477 0.0434016 -205.1567400312994 -420.10922340826005
2009-03-30 33.2021811291 132.3603876492 0.04340224 -205.15673800755195 -420.109223271712
2009-03-31 33.2021811022 132.3603876452 0.04340252 -205.15674099869514 -420.1092236358427
2009-04-01 33.2021811042 132.360387647 0.04340201 -205.15674077630527 -420.10922347198294
2009-04-02 33.20218112 132.3603876542 0.04339692 -205.15673901942566 -420.1092228165467
2009-04-03 33.2021811125 132.3603876382 0.04339284 -205.15673985338748 -420.1092242730745
2009-04-04 33.2021811146 132.360387668 0.04341221 -205.15673961987792 -420.1092215602925
2009-04-05 33.2021811007 132.3603876519 0.043398479999999996 -205.15674116548735 -420.10922302592246
2009-04-06 33.2021811076 132.3603876603 0.043404780000000004 -205.15674039824287 -420.1092222612447
2009-04-07 33.2021811276 132.3603876434 0.04339652 -205.15673817434416 -420.10922379970236
2009-04-08 33.2021811126 132.3603876364 0.04338923 -205.1567398422678 -420.10922443693426
2009-04-09 33.2021811266 132.3603876394 0.04339585 -205.1567382855387 -420.1092241638356
2009-04-10 33.2021811286 132.3603876377 0.04340195 -205.15673806314882 -420.1092243185905
2009-04-11 33.2021811435 132.3603876393 0.043402140000000006 -205.15673640634486 -420.1092241729378
2009-04-12 33.2021810917 132.3603876489 0.0433942 -205.15674216624217 -420.1092232990211
2009-04-13 33.2021811199 132.3603876312 0.04341006 -205.15673903054537 -420.10922491030385
2009-04-14 33.2021811001 132.3603876386 0.04340161 -205.1567412322047 -420.1092242366607
2009-04-15 33.2021811073 132.3603876327 0.04340685 -205.15674043160115 -420.1092247737558
2009-04-16 33.2021811143 132.3603876624 0.04340192 -205.156739653237 -420.10922207007593
2009-04-17 33.202181105 132.3603876639 0.04339886 -205.1567406873493 -420.1092219335253
2009-04-18 33.202181134 132.3603876458 0.04340003 -205.15673746269655 -420.10922358122446
2009-04-19 33.202181133 132.3603876425 0.04339726 -205.15673757389112 -420.1092238816322
2009-04-20 33.2021810975 132.3603876581 0.04340727 -205.15674152131115 -420.10922246151824
2009-04-21 33.2021811156 132.36038765 0.04340362 -205.1567395086834 -420.1092231988843
2009-04-22 33.2021811224 132.3603876385 0.04339245 -205.15673875255783 -420.10922424576546
2009-04-23 33.2021811196 132.3603876248 0.04339815 -205.15673906390364 -420.10922549291496
2009-04-24 33.2021811343 132.3603876229 0.04341046 -205.15673742933828 -420.1092256658794
2009-04-25 33.2021811004 132.3603876112 0.04339007 -205.15674119884642 -420.10922673096485
2009-04-26 33.2021811202 132.3603876435 0.04339986 -205.1567389971863 -420.1092237906002
2009-04-27 33.2021811234 132.3603876415 0.043404519999999995 -205.1567386413625 -420.1092239726642
2009-04-28 33.2021811228 132.360387636 0.043402630000000005 -205.15673870807984 -420.1092244733455
2009-04-29 33.2021811315 132.3603876382 0.04339804 -205.1567377406841 -420.1092242730745
2009-04-30 33.202181105 132.3603876283 0.04339441 -205.1567406873493 -420.1092251743003
2009-05-01 33.2021811065 132.3603876009 0.04338644 -205.1567405205571 -420.1092276686045
2009-05-02 33.2021811166 132.3603876234 0.04339271 -205.15673939748805 -420.1092256203634
2009-05-03 33.2021811075 132.3603876358 0.04339776 -205.1567404093618 -420.1092244915524
2009-05-04 33.2021811106 132.3603876446 0.04339697 -205.15674006465767 -420.1092236904634
2009-05-05 33.2021811223 132.3603876231 0.04340034 -205.1567387636775 -420.1092256476725
2009-05-06 33.2021811235 132.3603876187 0.04340459 -205.15673863024358 -420.109226048217
2009-05-07 33.2021811081 132.3603876181 0.0433995 -205.1567403426452 -420.10922610283774
2009-05-08 33.2021811232 132.360387636 0.043400060000000004 -205.15673866360189 -420.1092244733455
2009-05-09 33.2021811279 132.3603876216 0.04340469 -205.15673814098588 -420.1092257842205
2009-05-10 33.2021811297 132.3603876202 0.04340206 -205.1567379408346 -420.10922591166894
2009-05-11 33.2021811216 132.3603876168 0.04340112 -205.15673884151377 -420.10922622117886
2009-05-12 33.2021811299 132.3603876116 0.04339531 -205.156737918596 -420.109226694551
2009-05-13 33.2021810929 132.3603876211 0.04339593 -205.15674203280824 -420.1092258297391
2009-05-14 33.2021811066 132.3603876298 0.04340611 -205.1567405094374 -420.10922503775225
2009-05-15 33.2021811197 132.3603876378 0.04339638 -205.15673905278396 -420.10922430948835
2009-05-16 33.2021811226 132.3603876231 0.04340694 -205.15673873031844 -420.1092256476725
2009-05-17 33.2021810771 132.3603876173 0.0434028 -205.15674378968782 -420.10922617566285
2009-05-18 33.2021811117 132.3603876251 0.043396590000000006 -205.15673994234345 -420.10922546560585
2009-05-19 33.2021811164 132.3603876332 0.04339905 -205.15673941972744 -420.1092247282398
2009-05-20 33.2021811386 132.3603876363 0.043398769999999996 -205.15673695120026 -420.1092244460364
2009-05-21 33.2021811473 132.3603876503 0.043400089999999995 -205.1567359838037 -420.10922317157525
2009-05-22 33.2021811154 132.3603876415 0.0434035 -205.15673953092198 -420.1092239726642
2009-05-23 33.2021811183 132.3603876212 0.04340077 -205.15673920845725 -420.1092258206344
2009-05-24 33.2021811003 132.3603876266 0.04339453 -205.1567412099653 -420.10922532905784
2009-05-25 33.2021811051 132.3603875939 0.043401260000000004 -205.15674067622962 -420.1092283058364
2009-05-26 33.2021811065 132.3603876217 0.0433985 -205.1567405205571 -420.1092257751183
2009-05-27 33.2021811414 132.3603876209 0.04339636 -205.15673663985444 -420.10922584794343
2009-05-28 33.2021811192 132.3603876175 0.043404229999999995 -205.15673910838163 -420.1092261574559
2009-05-29 33.2021810915 132.3603876219 0.04340133 -205.15674218848076 -420.1092257569114
2009-05-30 33.2021810961 132.3603876193 0.04340202 -205.15674167698444 -420.1092259935962
2009-05-31 33.2021811084 132.3603876153 0.04339948 -205.15674030928693 -420.1092263577295
2009-06-01 33.2021811194 132.3603876166 0.04340329 -205.15673908614224 -420.10922623938575
2009-06-02 33.202181118 132.3603876283 0.04340981 -205.15673924181553 -420.1092251743003
2009-06-03 33.202181115 132.3603876429 0.0434028 -205.15673957539997 -420.10922384521837
